Orthogroup	Prbj	Syal
OG0000000	Prbj.g_00164, Prbj.g_00166, Prbj.g_00165	Syal.g_01111, Syal.g_01832
OG0000001	Prbj.g_00672, Prbj.g_00169	Syal.g_02193
OG0000001	Prbj.g_01549, Prbj.g_02662	Syal.g_00874, Syal.g_01184
OG0000004	Prbj.g_00754	Syal.g_01809
OG0000004	Prbj.g_01777	Syal.g_02718, Syal.g_00691
OG0000005	Prbj.g_00883	Syal.g_00565
OG0000006	Prbj.g_02699	Syal.g_00674
OG0000007	Prbj.g_01610	Syal.g_02918
OG0000007	Prbj.g_00857	Syal.g_00587
OG0000008	Prbj.g_00929	Syal.g_02512
OG0000008	Prbj.g_00928	Syal.g_01783
OG0000009	Prbj.g_01300, Prbj.g_00618	Syal.g_00818
OG0000010	Prbj.g_00129	Syal.g_00464
OG0000013	Prbj.g_00359	Syal.g_00322, Syal.g_00310, Syal.g_00315
OG0000014	Prbj.g_01442	Syal.g_01305
OG0000017	Prbj.g_01761	Syal.g_02745
OG0000017	Prbj.g_01769	Syal.g_02752
OG0000018	Prbj.g_00641	Syal.g_00410
OG0000019	Prbj.g_00025	Syal.g_01209
OG0000022	Prbj.g_01572, Prbj.g_00050	Syal.g_02587
OG0000023	Prbj.g_02392	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Prbj.g_00773	Syal.g_02597
OG0000025	Prbj.g_02475	Syal.g_02459
OG0000026	Prbj.g_01204	Syal.g_00132
OG0000028	Prbj.g_01457	Syal.g_01319
OG0000029	Prbj.g_00378	Syal.g_03014
OG0000030	Prbj.g_01288	Syal.g_01511
OG0000030	Prbj.g_01287	Syal.g_01512
OG0000032	Prbj.g_00659	Syal.g_00428
OG0000032	Prbj.g_01468	Syal.g_00183
OG0000033	Prbj.g_00518	Syal.g_00912
OG0000034	Prbj.g_01740	Syal.g_00881, Syal.g_01586
OG0000035	Prbj.g_01056	Syal.g_00020, Syal.g_00370
OG0000037	Prbj.g_00624	Syal.g_00824
OG0000038	Prbj.g_01959	Syal.g_01071
OG0000038	Prbj.g_01961	Syal.g_01073
OG0000039	Prbj.g_00278	Syal.g_01097
OG0000041	Prbj.g_00450	Syal.g_00649
OG0000042	Prbj.g_01808, Prbj.g_00001	Syal.g_01705, Syal.g_01508
OG0000045	Prbj.g_00563	Syal.g_01563
OG0000046	Prbj.g_00358	Syal.g_00309, Syal.g_00316, Syal.g_00321
OG0000047	Prbj.g_02509, Prbj.g_00666	Syal.g_01568
OG0000048	Prbj.g_01393	Syal.g_01250
OG0000051	Prbj.g_00705	Syal.g_01550
OG0000052	Prbj.g_01487	Syal.g_01338
OG0000053	Prbj.g_00638	Syal.g_00406
OG0000054	Prbj.g_01758	Syal.g_02739
OG0000056	Prbj.g_02533, Prbj.g_00371, Prbj.g_01125	Syal.g_02054
OG0000057	Prbj.g_00758	Syal.g_01812
OG0000059	Prbj.g_01521	Syal.g_00225
OG0000060	Prbj.g_01633	Syal.g_02895
OG0000061	Prbj.g_00971	Syal.g_01653
OG0000062	Prbj.g_00881	Syal.g_00567, Syal.g_02113
OG0000063	Prbj.g_01208	Syal.g_00136
OG0000065	Prbj.g_00620	Syal.g_00820, Syal.g_02528
OG0000066	Prbj.g_02141	Syal.g_02828
OG0000067	Prbj.g_02412	Syal.g_02414
OG0000068	Prbj.g_01639	Syal.g_02888
OG0000070	Prbj.g_00118	Syal.g_00509
OG0000071	Prbj.g_01728	Syal.g_01601
OG0000072	Prbj.g_00516	Syal.g_00914
OG0000073	Prbj.g_01608	Syal.g_02920
OG0000075	Prbj.g_01502	Syal.g_01350
OG0000076	Prbj.g_01598	Syal.g_01459
OG0000077	Prbj.g_00576	Syal.g_00763
OG0000077	Prbj.g_01900	Syal.g_00506
OG0000078	Prbj.g_02614	Syal.g_00680
OG0000079	Prbj.g_01353	Syal.g_01213
OG0000081	Prbj.g_00799, Prbj.g_00765	Syal.g_02555
OG0000082	Prbj.g_01789	Syal.g_02769
OG0000084	Prbj.g_01052	Syal.g_00023
OG0000085	Prbj.g_00869	Syal.g_00575
OG0000086	Prbj.g_00589	Syal.g_00784
OG0000087	Prbj.g_01547	Syal.g_00871
OG0000088	Prbj.g_00912, Prbj.g_00521	Syal.g_00908
OG0000089	Prbj.g_00064	Syal.g_00555
OG0000090	Prbj.g_02127	Syal.g_02838
OG0000091	Prbj.g_02581	Syal.g_02628
OG0000093	Prbj.g_02388	Syal.g_02233
OG0000095	Prbj.g_01838	Syal.g_01823
OG0000097	Prbj.g_02152	Syal.g_01735
OG0000098	Prbj.g_00669	Syal.g_02196
OG0000099	Prbj.g_01464	Syal.g_01323
OG0000100	Prbj.g_00185, Prbj.g_02442	Syal.g_02448
OG0000101	Prbj.g_00981	Syal.g_00275
OG0000102	Prbj.g_01819	Syal.g_01488
OG0000103	Prbj.g_02055	Syal.g_01897, Syal.g_00077
OG0000104	Prbj.g_02069	Syal.g_00092
OG0000105	Prbj.g_01397	Syal.g_01255
OG0000106	Prbj.g_00875	Syal.g_02577
OG0000107	Prbj.g_02659	Syal.g_00194
OG0000108	Prbj.g_01630	Syal.g_02897
OG0000109	Prbj.g_01614	Syal.g_02913
OG0000110	Prbj.g_01801	Syal.g_02782
OG0000111	Prbj.g_00759	Syal.g_01813
OG0000112	Prbj.g_02276	Syal.g_02000
