Orthogroup	Syad	Syaq
OG0000001	Syad.g_02863, Syad.g_02862	Syaq.g_01436
OG0000001	Syad.g_02864	Syaq.g_00118, Syaq.g_01435, Syaq.g_00115
OG0000001	Syad.g_02865	Syaq.g_01434
OG0000001	Syad.g_01238, Syad.g_00611	Syaq.g_02178, Syaq.g_02413
OG0000004	Syad.g_01304	Syaq.g_02603
OG0000004	Syad.g_02184	Syaq.g_02042
OG0000004	Syad.g_00810	Syaq.g_01567
OG0000005	Syad.g_02639	Syaq.g_01658
OG0000005	Syad.g_02596	Syaq.g_01692
OG0000005	Syad.g_02028	Syaq.g_00236
OG0000006	Syad.g_02130	Syaq.g_02108
OG0000006	Syad.g_00588, Syad.g_00829	Syaq.g_00696, Syaq.g_01590
OG0000007	Syad.g_00923	Syaq.g_01793
OG0000007	Syad.g_02623	Syaq.g_01673
OG0000008	Syad.g_01371	Syaq.g_02575
OG0000009	Syad.g_02799	Syaq.g_01489
OG0000010	Syad.g_02354	Syaq.g_00443
OG0000011	Syad.g_02680	Syaq.g_01038
OG0000012	Syad.g_02176	Syaq.g_02059
OG0000012	Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008	Syaq.g_00077
OG0000013	Syad.g_00729, Syad.g_00737, Syad.g_00724	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Syad.g_00480	Syaq.g_00862
OG0000014	Syad.g_00260	Syaq.g_00933
OG0000015	Syad.g_00142	Syaq.g_00121, Syaq.g_01171
OG0000015	Syad.g_01600, Syad.g_01601	Syaq.g_02255
OG0000016	Syad.g_00176	Syaq.g_01136
OG0000016	Syad.g_01460	Syaq.g_00169
OG0000017	Syad.g_01084	Syaq.g_01992
OG0000017	Syad.g_01091	Syaq.g_01999
OG0000018	Syad.g_02306	Syaq.g_00401
OG0000019	Syad.g_00569	Syaq.g_00717
OG0000022	Syad.g_02090	Syaq.g_02126
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Syaq.g_02540
OG0000025	Syad.g_01241	Syaq.g_02381
OG0000026	Syad.g_00198	Syaq.g_01114
OG0000028	Syad.g_00463	Syaq.g_00878
OG0000030	Syad.g_00328	Syaq.g_01047
OG0000030	Syad.g_00327	Syaq.g_01048
OG0000031	Syad.g_00458	Syaq.g_01009
OG0000032	Syad.g_02326	Syaq.g_00421
OG0000033	Syad.g_02903	Syaq.g_01399
OG0000034	Syad.g_02420, Syad.g_02872	Syaq.g_00312, Syaq.g_01431
OG0000035	Syad.g_02275	Syaq.g_00372, Syaq.g_00371
OG0000037	Syad.g_02805	Syaq.g_01483
OG0000038	Syad.g_03038	Syaq.g_01260
OG0000039	Syad.g_01111	Syaq.g_01241
OG0000041	Syad.g_01281	Syaq.g_02688
OG0000042	Syad.g_00333	Syaq.g_00200, Syaq.g_01044
OG0000043	Syad.g_02119	Syaq.g_01920
OG0000044	Syad.g_02214	Syaq.g_00107, Syaq.g_02701
OG0000045	Syad.g_00964	Syaq.g_02047
OG0000046	Syad.g_00723	Syaq.g_00570, Syaq.g_00573
OG0000048	Syad.g_00534	Syaq.g_00749
OG0000052	Syad.g_00434	Syaq.g_00969
OG0000053	Syad.g_02302	Syaq.g_00397
OG0000054	Syad.g_02209	Syaq.g_02005
OG0000055	Syad.g_01255	Syaq.g_02700
OG0000057	Syad.g_01301	Syaq.g_02541, Syaq.g_02605
OG0000058	Syad.g_00452	Syaq.g_00944
