Orthogroup	Prbh	Prax
OG0000000	Prbh.g_01016, Prbh.g_01022	Prax.g_01870
OG0000000	Prbh.g_00912, Prbh.g_00199, Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317	Prax.g_00964
OG0000002	Prbh.g_00001, Prbh.g_00863	Prax.g_00522
OG0000003	Prbh.g_01901, Prbh.g_01319	Prax.g_01919, Prax.g_01606, Prax.g_00494
OG0000004	Prbh.g_01350	Prax.g_00437
OG0000005	Prbh.g_01903	Prax.g_01608, Prax.g_00496
OG0000006	Prbh.g_00334	Prax.g_00704
OG0000006	Prbh.g_01782	Prax.g_01559
OG0000009	Prbh.g_01307	Prax.g_00393
OG0000009	Prbh.g_00530	Prax.g_00926
OG0000010	Prbh.g_01909, Prbh.g_01948	Prax.g_00500, Prax.g_00141, Prax.g_01936
OG0000012	Prbh.g_00225, Prbh.g_00232	Prax.g_00057
OG0000013	Prbh.g_01869, Prbh.g_00840	Prax.g_00523
OG0000015	Prbh.g_01817, Prbh.g_01945, Prbh.g_00806	Prax.g_00793
OG0000016	Prbh.g_01333, Prbh.g_00194	Prax.g_01867
OG0000018	Prbh.g_00538	Prax.g_01972
OG0000019	Prbh.g_00938	Prax.g_01587, Prax.g_00808
OG0000020	Prbh.g_00508	Prax.g_00173, Prax.g_00799, Prax.g_00512
OG0000021	Prbh.g_01870, Prbh.g_00788	Prax.g_00391
OG0000022	Prbh.g_01853	Prax.g_01917
OG0000023	Prbh.g_00377, Prbh.g_01841	Prax.g_01950
OG0000023	Prbh.g_00193	Prax.g_01617
OG0000024	Prbh.g_00472	Prax.g_00869
OG0000025	Prbh.g_00850	Prax.g_00448
OG0000028	Prbh.g_00096	Prax.g_01733
OG0000028	Prbh.g_00099	Prax.g_01728
OG0000029	Prbh.g_00376	Prax.g_01616
OG0000032	Prbh.g_00064	Prax.g_01831
OG0000036	Prbh.g_01855	Prax.g_00045
OG0000037	Prbh.g_01460	Prax.g_00082
OG0000038	Prbh.g_00190	Prax.g_00415
OG0000039	Prbh.g_00616	Prax.g_01052
OG0000040	Prbh.g_00833	Prax.g_00813
OG0000041	Prbh.g_01827	Prax.g_00772
OG0000042	Prbh.g_00945	Prax.g_00485
OG0000043	Prbh.g_01048	Prax.g_00388
OG0000044	Prbh.g_01283	Prax.g_00200
OG0000045	Prbh.g_00030	Prax.g_01823
OG0000046	Prbh.g_01408	Prax.g_01566
OG0000047	Prbh.g_01581	Prax.g_01394
OG0000048	Prbh.g_01573	Prax.g_01401
OG0000050	Prbh.g_00749	Prax.g_00282, Prax.g_00458
OG0000051	Prbh.g_00625	Prax.g_01061
OG0000052	Prbh.g_00821	Prax.g_00803
OG0000053	Prbh.g_01856	Prax.g_00662
OG0000054	Prbh.g_01897	Prax.g_00457
OG0000055	Prbh.g_00976	Prax.g_00351
OG0000057	Prbh.g_00543	Prax.g_00981, Prax.g_01581
OG0000058	Prbh.g_00356	Prax.g_00727
OG0000059	Prbh.g_00936	Prax.g_00944
OG0000060	Prbh.g_00775	Prax.g_00439
OG0000062	Prbh.g_01868	Prax.g_00161
OG0000063	Prbh.g_01255	Prax.g_01959
OG0000065	Prbh.g_01373	Prax.g_01899
OG0000066	Prbh.g_00031	Prax.g_01832
OG0000067	Prbh.g_01835	Prax.g_00454
OG0000068	Prbh.g_01644	Prax.g_01338
OG0000071	Prbh.g_01953	Prax.g_01974
OG0000072	Prbh.g_00457	Prax.g_00853, Prax.g_00852, Prax.g_01783
OG0000073	Prbh.g_01182	Prax.g_00973
OG0000074	Prbh.g_00926	Prax.g_00951
OG0000075	Prbh.g_00960	Prax.g_00366
OG0000076	Prbh.g_01031	Prax.g_01204
OG0000078	Prbh.g_00032	Prax.g_01825
OG0000079	Prbh.g_00184	Prax.g_01650
OG0000080	Prbh.g_01860	Prax.g_01600
OG0000081	Prbh.g_01609	Prax.g_01368
OG0000083	Prbh.g_01473	Prax.g_01493
OG0000084	Prbh.g_01470	Prax.g_01496
OG0000085	Prbh.g_00757	Prax.g_00290
OG0000086	Prbh.g_01826	Prax.g_00274
OG0000087	Prbh.g_00731	Prax.g_00624
OG0000088	Prbh.g_00668	Prax.g_01106
OG0000089	Prbh.g_00659	Prax.g_01097
OG0000090	Prbh.g_00642	Prax.g_01079
OG0000091	Prbh.g_00613	Prax.g_01049
OG0000092	Prbh.g_00612	Prax.g_01048
OG0000093	Prbh.g_00599	Prax.g_01034
OG0000094	Prbh.g_00580	Prax.g_01016
OG0000095	Prbh.g_00575	Prax.g_01011
OG0000096	Prbh.g_00528	Prax.g_00488, Prax.g_00924
OG0000097	Prbh.g_00505	Prax.g_00901
OG0000099	Prbh.g_00484	Prax.g_00881
OG0000100	Prbh.g_00481	Prax.g_00878
OG0000101	Prbh.g_00413	Prax.g_01573, Prax.g_00816
OG0000102	Prbh.g_01825	Prax.g_00792
OG0000103	Prbh.g_00355	Prax.g_00726
OG0000104	Prbh.g_00351	Prax.g_00722
OG0000105	Prbh.g_00330	Prax.g_00702
OG0000106	Prbh.g_00297	Prax.g_00669
OG0000107	Prbh.g_00296	Prax.g_00668
OG0000108	Prbh.g_00287	Prax.g_00004
OG0000109	Prbh.g_00278	Prax.g_00013
OG0000110	Prbh.g_00260	Prax.g_00029
OG0000111	Prbh.g_01202	Prax.g_00110
OG0000112	Prbh.g_01201	Prax.g_00111
OG0000113	Prbh.g_01149	Prax.g_00463
OG0000114	Prbh.g_00951	Prax.g_00375
OG0000115	Prbh.g_01086	Prax.g_01129
OG0000116	Prbh.g_01090	Prax.g_01133
OG0000117	Prbh.g_01034	Prax.g_01201
OG0000118	Prbh.g_01328	Prax.g_01254, Prax.g_01759
OG0000119	Prbh.g_01865	Prax.g_00164
OG0000120	Prbh.g_01276	Prax.g_00206
OG0000121	Prbh.g_01253	Prax.g_00225
OG0000122	Prbh.g_01233	Prax.g_00244
OG0000123	Prbh.g_01450	Prax.g_00257
OG0000124	Prbh.g_01397	Prax.g_01789
OG0000125	Prbh.g_01385	Prax.g_01887
OG0000126	Prbh.g_00009	Prax.g_01863
OG0000127	Prbh.g_00084	Prax.g_01746
OG0000128	Prbh.g_00100	Prax.g_01727
OG0000129	Prbh.g_00136	Prax.g_01691
OG0000130	Prbh.g_01785	Prax.g_01561
OG0000131	Prbh.g_01745	Prax.g_01523
OG0000132	Prbh.g_01742	Prax.g_01520
OG0000133	Prbh.g_01686	Prax.g_01297
OG0000134	Prbh.g_01650	Prax.g_01333
OG0000135	Prbh.g_01648	Prax.g_01335
OG0000136	Prbh.g_01597	Prax.g_01379
OG0000137	Prbh.g_01563	Prax.g_01411
OG0000138	Prbh.g_01528	Prax.g_01447
OG0000139	Prbh.g_01497	Prax.g_01473
OG0000140	Prbh.g_01475	Prax.g_01491
OG0000141	Prbh.g_01474	Prax.g_01492
OG0000142	Prbh.g_01472	Prax.g_01494
OG0000143	Prbh.g_01471	Prax.g_01495
OG0000144	Prbh.g_01469	Prax.g_01497
OG0000145	Prbh.g_01468	Prax.g_01498
OG0000146	Prbh.g_01467	Prax.g_01499
OG0000147	Prbh.g_01466	Prax.g_01975
OG0000148	Prbh.g_01952	Prax.g_01973
OG0000149	Prbh.g_00766	Prax.g_00299
OG0000150	Prbh.g_00765	Prax.g_00298
OG0000151	Prbh.g_00764	Prax.g_00297
OG0000152	Prbh.g_00763	Prax.g_00296
OG0000153	Prbh.g_00762	Prax.g_00295
OG0000154	Prbh.g_00761	Prax.g_00294
OG0000155	Prbh.g_00760	Prax.g_00293
OG0000156	Prbh.g_00759	Prax.g_00292
OG0000157	Prbh.g_00758	Prax.g_00291
OG0000158	Prbh.g_00756	Prax.g_00289
OG0000159	Prbh.g_00755	Prax.g_00288
OG0000160	Prbh.g_00754	Prax.g_00287
OG0000161	Prbh.g_00753	Prax.g_00286
OG0000162	Prbh.g_00752	Prax.g_00285
OG0000163	Prbh.g_00751	Prax.g_00284
OG0000164	Prbh.g_00748	Prax.g_00281
OG0000165	Prbh.g_00746	Prax.g_00278
OG0000166	Prbh.g_00745	Prax.g_00277
OG0000167	Prbh.g_00744	Prax.g_00276
OG0000168	Prbh.g_00743	Prax.g_00273
OG0000169	Prbh.g_00741	Prax.g_00271
OG0000170	Prbh.g_00739	Prax.g_00270
OG0000171	Prbh.g_00738	Prax.g_00269
OG0000172	Prbh.g_00737	Prax.g_00261
OG0000173	Prbh.g_00734	Prax.g_00621
OG0000174	Prbh.g_00733	Prax.g_00622
OG0000175	Prbh.g_00732	Prax.g_00623
OG0000176	Prbh.g_00730	Prax.g_00625
OG0000177	Prbh.g_00729	Prax.g_00626
OG0000178	Prbh.g_00728	Prax.g_00627
OG0000179	Prbh.g_00719	Prax.g_00635
OG0000180	Prbh.g_00718	Prax.g_00636
OG0000181	Prbh.g_00717	Prax.g_00637
OG0000182	Prbh.g_00713	Prax.g_00640
OG0000183	Prbh.g_00712	Prax.g_00641
OG0000184	Prbh.g_00709	Prax.g_00644
OG0000185	Prbh.g_00705	Prax.g_00648
OG0000186	Prbh.g_00704	Prax.g_00649
OG0000187	Prbh.g_01878	Prax.g_00650
OG0000188	Prbh.g_00703	Prax.g_00651
OG0000189	Prbh.g_00702	Prax.g_00652
OG0000190	Prbh.g_00701	Prax.g_00653
OG0000191	Prbh.g_00700	Prax.g_00654
OG0000192	Prbh.g_00699	Prax.g_00655
OG0000193	Prbh.g_00698	Prax.g_00656
OG0000194	Prbh.g_00697	Prax.g_00657
OG0000195	Prbh.g_00695	Prax.g_00659
OG0000196	Prbh.g_00694	Prax.g_00660
OG0000197	Prbh.g_00693	Prax.g_01128
