Orthogroup	Syao	Prba
OG0000001	Syao.g_00314, Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Prba.g_00211
OG0000004	Syao.g_02374	Prba.g_01622
OG0000004	Syao.g_01271, Syao.g_01007	Prba.g_00451
OG0000005	Syao.g_01680	Prba.g_00607
OG0000005	Syao.g_01578	Prba.g_00312
OG0000006	Syao.g_00919, Syao.g_01518	Prba.g_00460
OG0000007	Syao.g_00105	Prba.g_00964
OG0000007	Syao.g_01554	Prba.g_00226
OG0000009	Syao.g_02598	Prba.g_01893
OG0000010	Syao.g_02683	Prba.g_01256
OG0000011	Syao.g_01282	Prba.g_01132
OG0000012	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201	Prba.g_01694
OG0000013	Syao.g_01910, Syao.g_01222, Syao.g_01844	Prba.g_00543
OG0000014	Syao.g_02027	Prba.g_00522
OG0000015	Syao.g_02339, Syao.g_00302	Prba.g_01538
OG0000016	Syao.g_01955	Prba.g_01806
OG0000017	Syao.g_00997, Syao.g_01064	Prba.g_01719
OG0000018	Syao.g_00071	Prba.g_00083
OG0000019	Syao.g_02108	Prba.g_00468, Prba.g_01519
OG0000021	Syao.g_01002	Prba.g_00245, Prba.g_00858
OG0000022	Syao.g_01218	Prba.g_00101
OG0000023	Syao.g_01266	Prba.g_00854
OG0000025	Syao.g_00436, Syao.g_00437	Prba.g_00547, Prba.g_01464
OG0000026	Syao.g_02234	Prba.g_01824, Prba.g_01249
OG0000027	Syao.g_01286, Syao.g_00202	Prba.g_00991, Prba.g_01175
OG0000028	Syao.g_02012	Prba.g_01126, Prba.g_00536
OG0000030	Syao.g_02189, Syao.g_02188	Prba.g_00778
OG0000031	Syao.g_02008, Syao.g_01083	Prba.g_00173
OG0000032	Syao.g_01135	Prba.g_00149
OG0000035	Syao.g_01483, Syao.g_01486	Prba.g_00713
OG0000037	Syao.g_00374	Prba.g_01897
OG0000038	Syao.g_02440, Syao.g_02442	Prba.g_00819
OG0000039	Syao.g_00704	Prba.g_01631
OG0000040	Syao.g_00711	Prba.g_00084
OG0000042	Syao.g_00019, Syao.g_01941	Prba.g_00775
OG0000045	Syao.g_00148	Prba.g_00865
OG0000047	Syao.g_01899	Prba.g_00913
OG0000048	Syao.g_02077	Prba.g_00868
OG0000052	Syao.g_01085	Prba.g_00160
OG0000053	Syao.g_00067	Prba.g_00693
OG0000054	Syao.g_00295, Syao.g_00625	Prba.g_01711
OG0000055	Syao.g_00498	Prba.g_01518
OG0000057	Syao.g_00377	Prba.g_01619
OG0000058	Syao.g_01978, Syao.g_01080	Prba.g_00153
OG0000059	Syao.g_01959	Prba.g_00127
OG0000059	Syao.g_01801	Prba.g_00381
OG0000061	Syao.g_00123	Prba.g_00064
OG0000062	Syao.g_01576	Prba.g_00310
OG0000063	Syao.g_02230	Prba.g_01826
OG0000065	Syao.g_02600	Prba.g_01895
OG0000066	Syao.g_01422	Prba.g_00922
OG0000067	Syao.g_00756	Prba.g_01499
OG0000068	Syao.g_00868, Syao.g_00036	Prba.g_00196
OG0000069	Syao.g_01265, Syao.g_01460, Syao.g_00313	Prba.g_00275
OG0000070	Syao.g_00330	Prba.g_01011
OG0000071	Syao.g_01433	Prba.g_01192
OG0000072	Syao.g_02509, Syao.g_01749	Prba.g_00627
OG0000073	Syao.g_00103	Prba.g_00962
OG0000075	Syao.g_02257	Prba.g_01071
OG0000076	Syao.g_01949	Prba.g_00768
OG0000077	Syao.g_02629	Prba.g_01866
OG0000078	Syao.g_01709	Prba.g_00458
OG0000079	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105	Prba.g_00471
OG0000082	Syao.g_01035	Prba.g_01731
OG0000084	Syao.g_01509, Syao.g_02606	Prba.g_00717
OG0000085	Syao.g_01569	Prba.g_00233
OG0000086	Syao.g_02653, Syao.g_01240	Prba.g_01876
OG0000087	Syao.g_02555	Prba.g_01927
OG0000088	Syao.g_02503	Prba.g_00622
OG0000089	Syao.g_01716	Prba.g_00850
OG0000090	Syao.g_01412	Prba.g_00928
OG0000091	Syao.g_00902	Prba.g_01675
OG0000092	Syao.g_00656	Prba.g_01057
OG0000093	Syao.g_00739	Prba.g_01369
OG0000094	Syao.g_00458	Prba.g_01283
OG0000095	Syao.g_00331	Prba.g_01264
OG0000097	Syao.g_00973	Prba.g_00022
OG0000098	Syao.g_01374	Prba.g_00214
OG0000099	Syao.g_02019	Prba.g_00155
OG0000100	Syao.g_00787	Prba.g_00314
OG0000101	Syao.g_01840	Prba.g_00429
OG0000102	Syao.g_01945	Prba.g_00773
OG0000103	Syao.g_02340	Prba.g_01781
OG0000104	Syao.g_02157	Prba.g_01789
OG0000105	Syao.g_02071, Syao.g_02072	Prba.g_00491
OG0000106	Syao.g_01385	Prba.g_00864
OG0000107	Syao.g_01935	Prba.g_00880
OG0000108	Syao.g_00028	Prba.g_00981
OG0000109	Syao.g_00110	Prba.g_00967
OG0000110	Syao.g_01051	Prba.g_01741
OG0000111	Syao.g_00378	Prba.g_01618
OG0000112	Syao.g_00683, Syao.g_00303	Prba.g_01534
OG0000113	Syao.g_00782	Prba.g_01477
OG0000114	Syao.g_00965	Prba.g_01395
OG0000115	Syao.g_01464, Syao.g_00065	Prba.g_00743
OG0000116	Syao.g_00137	Prba.g_00074
OG0000117	Syao.g_00169	Prba.g_01135
OG0000118	Syao.g_01475	Prba.g_01204
OG0000120	Syao.g_02009	Prba.g_00175
OG0000121	Syao.g_01489	Prba.g_00711
OG0000122	Syao.g_01247	Prba.g_00348
OG0000123	Syao.g_01832	Prba.g_00436
OG0000124	Syao.g_02179	Prba.g_00784
OG0000125	Syao.g_02444	Prba.g_01089, Prba.g_00821
OG0000126	Syao.g_02198	Prba.g_01788
OG0000127	Syao.g_01312, Syao.g_02375, Syao.g_01143	Prba.g_01118
OG0000128	Syao.g_02149	Prba.g_01804
OG0000129	Syao.g_02434	Prba.g_01838
OG0000130	Syao.g_02617	Prba.g_01857
OG0000131	Syao.g_02480	Prba.g_01933
OG0000132	Syao.g_02501	Prba.g_01952
OG0000133	Syao.g_00678	Prba.g_00538
OG0000134	Syao.g_01719	Prba.g_00851
OG0000135	Syao.g_00147	Prba.g_00877
OG0000136	Syao.g_01614, Syao.g_01613	Prba.g_01020
OG0000137	Syao.g_02682	Prba.g_00986
OG0000138	Syao.g_00108	Prba.g_00966
OG0000139	Syao.g_01418, Syao.g_02005	Prba.g_00924
OG0000140	Syao.g_01373, Syao.g_01372	Prba.g_00923
OG0000141	Syao.g_01202	Prba.g_01710
OG0000142	Syao.g_00894	Prba.g_01682
OG0000143	Syao.g_00898	Prba.g_01678
OG0000145	Syao.g_00102	Prba.g_01541
OG0000146	Syao.g_00684, Syao.g_00304	Prba.g_01533
OG0000147	Syao.g_00305, Syao.g_00685	Prba.g_01532
OG0000148	Syao.g_00776	Prba.g_01483
OG0000149	Syao.g_00534	Prba.g_01452
OG0000150	Syao.g_01203	Prba.g_01444
OG0000151	Syao.g_00975	Prba.g_01385
OG0000152	Syao.g_00674	Prba.g_01337
OG0000153	Syao.g_00818, Syao.g_01176	Prba.g_01318
OG0000154	Syao.g_00447	Prba.g_01290
OG0000155	Syao.g_00178	Prba.g_00043
OG0000156	Syao.g_00151	Prba.g_01181
OG0000157	Syao.g_00152	Prba.g_01182
OG0000158	Syao.g_01141, Syao.g_02267	Prba.g_00154
OG0000159	Syao.g_02276	Prba.g_00152
OG0000160	Syao.g_01488	Prba.g_00712
OG0000161	Syao.g_01494	Prba.g_00706
OG0000162	Syao.g_01515	Prba.g_00700
OG0000163	Syao.g_01745	Prba.g_00341
OG0000164	Syao.g_01663	Prba.g_00596
OG0000165	Syao.g_01655	Prba.g_00589
OG0000166	Syao.g_01790	Prba.g_00393
OG0000167	Syao.g_01960	Prba.g_01069
OG0000168	Syao.g_02128	Prba.g_01079
OG0000169	Syao.g_02139	Prba.g_00761
OG0000170	Syao.g_02148	Prba.g_00763
OG0000171	Syao.g_02181	Prba.g_00783
OG0000172	Syao.g_02170	Prba.g_00792
OG0000173	Syao.g_02212	Prba.g_00807
OG0000174	Syao.g_02364, Syao.g_02355	Prba.g_00835
OG0000175	Syao.g_02327, Syao.g_00308	Prba.g_00845
OG0000176	Syao.g_02165	Prba.g_01797
OG0000177	Syao.g_02156	Prba.g_01798
OG0000178	Syao.g_02155	Prba.g_01799
OG0000179	Syao.g_02250	Prba.g_01809
OG0000180	Syao.g_02249	Prba.g_01810
OG0000181	Syao.g_02248	Prba.g_01811
OG0000182	Syao.g_02247	Prba.g_01812
OG0000183	Syao.g_02243	Prba.g_01816
OG0000184	Syao.g_02423	Prba.g_01840
OG0000185	Syao.g_02410	Prba.g_01843
OG0000186	Syao.g_02613	Prba.g_01852
OG0000187	Syao.g_02615	Prba.g_01853
OG0000188	Syao.g_02637	Prba.g_01870
OG0000189	Syao.g_02672	Prba.g_01884
OG0000190	Syao.g_01015	Prba.g_01885
OG0000191	Syao.g_02573	Prba.g_01905
OG0000192	Syao.g_02579	Prba.g_01909
OG0000193	Syao.g_02481	Prba.g_01934
OG0000194	Syao.g_02484	Prba.g_01937
OG0000195	Syao.g_02486	Prba.g_01939
OG0000196	Syao.g_02498	Prba.g_01949
OG0000197	Syao.g_02499	Prba.g_01950
OG0000198	Syao.g_02500	Prba.g_01951
OG0000199	Syao.g_02508	Prba.g_00626
OG0000200	Syao.g_02524	Prba.g_00640
OG0000201	Syao.g_02540	Prba.g_00648
OG0000202	Syao.g_02454	Prba.g_00649
OG0000203	Syao.g_02455	Prba.g_00650
OG0000204	Syao.g_02456	Prba.g_00651
OG0000205	Syao.g_02464	Prba.g_00658
OG0000206	Syao.g_02469	Prba.g_00663
OG0000207	Syao.g_02471	Prba.g_00665
OG0000208	Syao.g_02472	Prba.g_00666
OG0000209	Syao.g_02394	Prba.g_00675
OG0000210	Syao.g_02395	Prba.g_00439
OG0000211	Syao.g_01700	Prba.g_00452
OG0000212	Syao.g_01710	Prba.g_00459
OG0000213	Syao.g_02098	Prba.g_00476
OG0000214	Syao.g_02081	Prba.g_00485
OG0000215	Syao.g_02050	Prba.g_00509
OG0000216	Syao.g_02045	Prba.g_00510
OG0000217	Syao.g_02041	Prba.g_00513
OG0000218	Syao.g_02039	Prba.g_00515
OG0000219	Syao.g_02038	Prba.g_00516
OG0000220	Syao.g_02037	Prba.g_00517
OG0000221	Syao.g_02034	Prba.g_00518
OG0000222	Syao.g_02023	Prba.g_00526
OG0000223	Syao.g_00291	Prba.g_00539
OG0000224	Syao.g_01973	Prba.g_00541
OG0000225	Syao.g_01751	Prba.g_00562
OG0000226	Syao.g_01758	Prba.g_00221
OG0000227	Syao.g_01760	Prba.g_00223
OG0000228	Syao.g_01715	Prba.g_00849
OG0000229	Syao.g_01736	Prba.g_01025
OG0000230	Syao.g_01738	Prba.g_01023
OG0000231	Syao.g_01513	Prba.g_01012
OG0000232	Syao.g_00057	Prba.g_01003
OG0000233	Syao.g_02698	Prba.g_00998
OG0000234	Syao.g_02680	Prba.g_00985
OG0000235	Syao.g_00029	Prba.g_00982
OG0000236	Syao.g_00111	Prba.g_00968
OG0000237	Syao.g_00166	Prba.g_00955
OG0000238	Syao.g_00161	Prba.g_00949
OG0000239	Syao.g_01398	Prba.g_00936
OG0000240	Syao.g_01399	Prba.g_00935
OG0000241	Syao.g_00887	Prba.g_00931
OG0000242	Syao.g_01410	Prba.g_00929
OG0000243	Syao.g_00873	Prba.g_01772
OG0000244	Syao.g_00865	Prba.g_01769
OG0000245	Syao.g_00863	Prba.g_01767
OG0000246	Syao.g_00859	Prba.g_01763
OG0000247	Syao.g_00847	Prba.g_01753
OG0000248	Syao.g_00844	Prba.g_01751
OG0000249	Syao.g_00842	Prba.g_01749
OG0000250	Syao.g_00835	Prba.g_01744
OG0000251	Syao.g_01026	Prba.g_01726
OG0000252	Syao.g_01020	Prba.g_01723
OG0000253	Syao.g_01003	Prba.g_01722
OG0000254	Syao.g_01053	Prba.g_01706
OG0000255	Syao.g_01009	Prba.g_01700
OG0000256	Syao.g_01328	Prba.g_01690
OG0000257	Syao.g_00884	Prba.g_01687
OG0000258	Syao.g_00907	Prba.g_01674
OG0000259	Syao.g_00933, Syao.g_00932	Prba.g_01657
OG0000260	Syao.g_00936	Prba.g_01654
OG0000261	Syao.g_00941	Prba.g_01652
OG0000262	Syao.g_00946	Prba.g_01648
OG0000263	Syao.g_00247	Prba.g_01636
OG0000264	Syao.g_00699	Prba.g_01626
OG0000265	Syao.g_00049	Prba.g_01594
OG0000266	Syao.g_00480	Prba.g_01584
OG0000267	Syao.g_00589	Prba.g_01573
OG0000268	Syao.g_00588	Prba.g_01572
OG0000269	Syao.g_00751	Prba.g_01504
OG0000270	Syao.g_00754	Prba.g_01501
OG0000271	Syao.g_00762	Prba.g_01493
OG0000272	Syao.g_00763	Prba.g_01492
OG0000273	Syao.g_00791	Prba.g_01469
OG0000274	Syao.g_00792	Prba.g_01468
OG0000275	Syao.g_00438	Prba.g_01465
OG0000276	Syao.g_00558	Prba.g_01460
OG0000277	Syao.g_00557	Prba.g_01459
OG0000278	Syao.g_00554	Prba.g_01456
OG0000279	Syao.g_00529	Prba.g_01449
OG0000280	Syao.g_00608	Prba.g_01448
OG0000281	Syao.g_01377	Prba.g_01443
OG0000282	Syao.g_00967	Prba.g_01393
OG0000283	Syao.g_00640	Prba.g_01360
OG0000284	Syao.g_00634	Prba.g_01355
OG0000285	Syao.g_00706	Prba.g_01350
