Orthogroup	Syap	Prbn
OG0000004	Syap.g_01987	Prbn.g_00318
OG0000005	Syap.g_01218	Prbn.g_00899
OG0000007	Syap.g_00275	Prbn.g_00617
OG0000007	Syap.g_00621	Prbn.g_01745
OG0000010	Syap.g_02757	Prbn.g_01939, Prbn.g_01357, Prbn.g_00640
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Prbn.g_00092
OG0000014	Syap.g_01675	Prbn.g_00074
OG0000016	Syap.g_00404	Prbn.g_01131
OG0000017	Syap.g_00449	Prbn.g_00517
OG0000018	Syap.g_02010	Prbn.g_01167, Prbn.g_01518
OG0000019	Syap.g_01586	Prbn.g_00015, Prbn.g_01165
OG0000025	Syap.g_01846	Prbn.g_01510
OG0000027	Syap.g_01440	Prbn.g_01664, Prbn.g_00139
OG0000028	Syap.g_01658	Prbn.g_01644
OG0000030	Syap.g_00787, Syap.g_00788	Prbn.g_00985
OG0000031	Syap.g_00722	Prbn.g_00171
OG0000033	Syap.g_01198	Prbn.g_00178, Prbn.g_01244
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Prbn.g_01073
OG0000035	Syap.g_02465	Prbn.g_00212
OG0000037	Syap.g_02492	Prbn.g_01310
OG0000038	Syap.g_00139	Prbn.g_00946
OG0000039	Syap.g_01749, Syap.g_01748	Prbn.g_01577
OG0000042	Syap.g_01891, Syap.g_01120	Prbn.g_00988
OG0000043	Syap.g_01998	Prbn.g_01168
OG0000045	Syap.g_02525	Prbn.g_01145
OG0000046	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973	Prbn.g_00093
OG0000048	Syap.g_02340	Prbn.g_01097, Prbn.g_00038
OG0000051	Syap.g_01574	Prbn.g_00809
OG0000053	Syap.g_02006	Prbn.g_01690, Prbn.g_00233
OG0000054	Syap.g_00678	Prbn.g_00508
OG0000059	Syap.g_01082, Syap.g_02478	Prbn.g_01833
OG0000061	Syap.g_00228	Prbn.g_01189
OG0000062	Syap.g_01220, Syap.g_01365	Prbn.g_00897
OG0000063	Syap.g_01796	Prbn.g_00130
OG0000066	Syap.g_01972	Prbn.g_00577, Prbn.g_01657
OG0000067	Syap.g_00194	Prbn.g_01546
OG0000068	Syap.g_00108, Syap.g_00144	Prbn.g_01240
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Prbn.g_00663
OG0000072	Syap.g_00555	Prbn.g_00383
OG0000073	Syap.g_00273	Prbn.g_00614
OG0000075	Syap.g_01064, Syap.g_00664	Prbn.g_01917
OG0000076	Syap.g_01111	Prbn.g_00996
OG0000079	Syap.g_01589	Prbn.g_00018
OG0000085	Syap.g_00611	Prbn.g_01737, Prbn.g_00144
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Prbn.g_01278
OG0000088	Syap.g_01202	Prbn.g_01247
OG0000089	Syap.g_00115, Syap.g_02042	Prbn.g_00696
OG0000090	Syap.g_01451	Prbn.g_00583
OG0000091	Syap.g_01861	Prbn.g_00434
OG0000095	Syap.g_01556	Prbn.g_01471
OG0000098	Syap.g_01975	Prbn.g_01216
OG0000099	Syap.g_01385	Prbn.g_00173
OG0000101	Syap.g_00472	Prbn.g_01881
OG0000102	Syap.g_01116	Prbn.g_00991
OG0000103	Syap.g_02607, Syap.g_02608	Prbn.g_00907
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Prbn.g_00296
OG0000105	Syap.g_01369, Syap.g_01368	Prbn.g_00041
OG0000107	Syap.g_02496	Prbn.g_01810
OG0000108	Syap.g_00733, Syap.g_02255	Prbn.g_00634
OG0000109	Syap.g_00279, Syap.g_02237	Prbn.g_00620
OG0000110	Syap.g_01313	Prbn.g_00541
OG0000111	Syap.g_01566, Syap.g_01568	Prbn.g_01561
OG0000112	Syap.g_02023	Prbn.g_00468
OG0000113	Syap.g_02714	Prbn.g_01523
OG0000114	Syap.g_01255	Prbn.g_01621
OG0000115	Syap.g_02004	Prbn.g_01120
OG0000116	Syap.g_00241	Prbn.g_01178
OG0000117	Syap.g_01889	Prbn.g_00389
OG0000118	Syap.g_02286	Prbn.g_01071
OG0000120	Syap.g_02075	Prbn.g_00170
OG0000121	Syap.g_02471	Prbn.g_00214
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Prbn.g_01888
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Prbn.g_00979
OG0000125	Syap.g_01046, Syap.g_01047	Prbn.g_00944
OG0000126	Syap.g_02317, Syap.g_02576, Syap.g_02316	Prbn.g_00295
OG0000128	Syap.g_00069	Prbn.g_00002, Prbn.g_00003
OG0000129	Syap.g_00130, Syap.g_00129	Prbn.g_00737
OG0000130	Syap.g_01688, Syap.g_01689	Prbn.g_00708
OG0000131	Syap.g_02189	Prbn.g_01269
OG0000132	Syap.g_01205	Prbn.g_01249
OG0000133	Syap.g_02017	Prbn.g_00088
OG0000134	Syap.g_02047	Prbn.g_00694
OG0000135	Syap.g_02090	Prbn.g_01102
OG0000136	Syap.g_00089	Prbn.g_00672
OG0000137	Syap.g_02756	Prbn.g_00639
OG0000138	Syap.g_00278	Prbn.g_00619
OG0000139	Syap.g_00410	Prbn.g_00579
OG0000140	Syap.g_01976	Prbn.g_00578
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Prbn.g_00507
OG0000142	Syap.g_00895, Syap.g_00894	Prbn.g_00426
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Prbn.g_00430
