locus_tag	ftype	length_bp	gene	EC_number	COG	product
Praf.g_00001	gene	1167	dnaN			
Praf.g_00001	CDS	1167	dnaN		COG0592	Beta sliding clamp
Praf.g_00002	gene	777				
Praf.g_00002	CDS	777				hypothetical protein
Praf.g_00003	gene	2403	purL			
Praf.g_00003	CDS	2403	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
Praf.g_00004	gene	1458	purF			
Praf.g_00004	CDS	1458	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
Praf.g_00005	gene	2490	gyrA_1			
Praf.g_00005	CDS	2490	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
Praf.g_00006	gene	894				
Praf.g_00006	CDS	894				hypothetical protein
Praf.g_00007	gene	975	queG			
Praf.g_00007	CDS	975	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
Praf.g_00008	gene	615				
Praf.g_00008	CDS	615				hypothetical protein
Praf.g_00009	gene	750				
Praf.g_00009	CDS	750				hypothetical protein
Praf.g_00010	gene	636	nusB			
Praf.g_00010	CDS	636	nusB			Transcription antitermination protein NusB
Praf.g_00011	gene	1455	ftsY			
Praf.g_00011	CDS	1455	ftsY			Signal recognition particle receptor FtsY
Praf.g_00012	gene	1344				
Praf.g_00012	CDS	1344				hypothetical protein
Praf.g_00013	gene	1413	argH			
Praf.g_00013	CDS	1413	argH	4.3.2.1	COG0165	Argininosuccinate lyase
Praf.g_00014	gene	609				
Praf.g_00014	CDS	609				hypothetical protein
Praf.g_00015	gene	1005	dusA			
Praf.g_00015	CDS	1005	dusA	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
Praf.g_00016	gene	507	msrB_1			
Praf.g_00016	CDS	507	msrB_1	1.8.4.12		Peptide methionine sulfoxide reductase MsrB
Praf.g_00017	gene	1278	baiN			
Praf.g_00017	CDS	1278	baiN	1.3.1.114	COG2081	3-dehydro-bile acid delta(4,6)-reductase
Praf.g_00018	gene	1281	epsF			
Praf.g_00018	CDS	1281	epsF		COG1459	Type II secretion system protein F
Praf.g_00019	gene	1077	pilT			
Praf.g_00019	CDS	1077	pilT		COG2805	Twitching mobility protein
Praf.g_00020	gene	1818				
Praf.g_00020	CDS	1818				hypothetical protein
Praf.g_00021	gene	714	grpE			
Praf.g_00021	CDS	714	grpE			Protein GrpE
Praf.g_00022	gene	1137	dnaJ_1			
Praf.g_00022	CDS	1137	dnaJ_1		COG0484	Chaperone protein DnaJ
Praf.g_00023	gene	246				
Praf.g_00023	CDS	246				hypothetical protein
Praf.g_00024	gene	933	rsgA			
Praf.g_00024	CDS	933	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
Praf.g_00025	gene	342	ybaB			
Praf.g_00025	CDS	342	ybaB		COG0718	Nucleoid-associated protein YbaB
Praf.g_00026	gene	924	murB			
Praf.g_00026	CDS	924	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
Praf.g_00027	gene	1386	murC			
Praf.g_00027	CDS	1386	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
Praf.g_00028	gene	1065	gap2			
Praf.g_00028	CDS	1065	gap2	1.2.1.59	COG0057	Glyceraldehyde-3-phosphate dehydrogenase 2
Praf.g_00029	gene	984	thiL			
Praf.g_00029	CDS	984	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
Praf.g_00030	gene	1083				
Praf.g_00030	CDS	1083				hypothetical protein
Praf.g_00031	gene	588	efp			
Praf.g_00031	CDS	588	efp		COG0231	Elongation factor P
Praf.g_00032	gene	495	accB			
Praf.g_00032	CDS	495	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
Praf.g_00033	gene	1032	pdxA2			
Praf.g_00033	CDS	1032	pdxA2	1.1.1.408	COG1995	D-threonate 4-phosphate dehydrogenase
Praf.g_00034	gene	210				
Praf.g_00034	CDS	210				hypothetical protein
Praf.g_00035	gene	921				
Praf.g_00035	CDS	921				hypothetical protein
Praf.g_00036	gene	246				
Praf.g_00036	CDS	246				hypothetical protein
Praf.g_00037	gene	402				
Praf.g_00037	CDS	402				hypothetical protein
Praf.g_00038	gene	1629				
Praf.g_00038	CDS	1629				hypothetical protein
Praf.g_00039	gene	414				
Praf.g_00039	CDS	414				hypothetical protein
Praf.g_00040	gene	447				
Praf.g_00040	CDS	447				hypothetical protein
Praf.g_00041	gene	516				
Praf.g_00041	CDS	516				hypothetical protein
Praf.g_00042	gene	297				
Praf.g_00042	CDS	297				hypothetical protein
Praf.g_00043	gene	231				
Praf.g_00043	CDS	231				hypothetical protein
Praf.g_00044	gene	72				
Praf.g_00044	tRNA	72				tRNA-Gly(ccc)
Praf.g_00045	gene	1149				
Praf.g_00045	CDS	1149		1.12.-.-		Soluble hydrogenase 42 kDa subunit
Praf.g_00046	gene	1161	cbiD			
Praf.g_00046	CDS	1161	cbiD	2.1.1.195		Cobalt-precorrin-5B C(1)-methyltransferase
Praf.g_00047	gene	1587	guaA			
Praf.g_00047	CDS	1587	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
Praf.g_00048	gene	804				
Praf.g_00048	CDS	804				hypothetical protein
Praf.g_00049	gene	99				
Praf.g_00049	CDS	99				hypothetical protein
Praf.g_00050	gene	612				
Praf.g_00050	CDS	612				hypothetical protein
Praf.g_00051	gene	402				
Praf.g_00051	CDS	402				hypothetical protein
Praf.g_00052	gene	1803	mrdA			
Praf.g_00052	CDS	1803	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
Praf.g_00053	gene	1146	mgtA			
Praf.g_00053	CDS	1146	mgtA	2.4.1.-	COG0438	GDP-mannose-dependent alpha-mannosyltransferase
Praf.g_00054	gene	1146				
Praf.g_00054	CDS	1146				hypothetical protein
Praf.g_00055	gene	168				
Praf.g_00055	CDS	168				hypothetical protein
Praf.g_00056	gene	927	thiG			
Praf.g_00056	CDS	927	thiG	2.8.1.10	COG2022	Thiazole synthase
Praf.g_00057	gene	522				
Praf.g_00057	CDS	522				hypothetical protein
Praf.g_00058	gene	564				
Praf.g_00058	CDS	564				hypothetical protein
Praf.g_00059	gene	141				
Praf.g_00059	CDS	141				hypothetical protein
Praf.g_00060	gene	348	rplT			
Praf.g_00060	CDS	348	rplT		COG0292	50S ribosomal protein L20
Praf.g_00061	gene	198	rpmI			
Praf.g_00061	CDS	198	rpmI			50S ribosomal protein L35
Praf.g_00062	gene	1539				
Praf.g_00062	CDS	1539				hypothetical protein
Praf.g_00063	gene	1332				
Praf.g_00063	CDS	1332		2.4.1.336		Beta-monoglucosyldiacylglycerol synthase
Praf.g_00064	gene	1815				
Praf.g_00064	CDS	1815				hypothetical protein
Praf.g_00065	gene	681				
Praf.g_00065	CDS	681				hypothetical protein
Praf.g_00066	gene	3252				
Praf.g_00066	CDS	3252				hypothetical protein
Praf.g_00067	gene	1359	clpX			
Praf.g_00067	CDS	1359	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
Praf.g_00068	gene	675	clpP_1			
Praf.g_00068	CDS	675	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
Praf.g_00069	gene	1440	tig_1			
Praf.g_00069	CDS	1440	tig_1	5.2.1.8		Trigger factor
Praf.g_00070	gene	987	asd			
Praf.g_00070	CDS	987	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
Praf.g_00071	gene	909	dapA			
Praf.g_00071	CDS	909	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
Praf.g_00072	gene	2004	rnjA			
Praf.g_00072	CDS	2004	rnjA	3.1.-.-	COG0595	Ribonuclease J1
Praf.g_00073	gene	1110				
Praf.g_00073	CDS	1110				hypothetical protein
Praf.g_00074	gene	1032	tilS			
Praf.g_00074	CDS	1032	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
Praf.g_00075	gene	777				
Praf.g_00075	CDS	777				hypothetical protein
Praf.g_00076	gene	420				
Praf.g_00076	CDS	420				hypothetical protein
Praf.g_00077	gene	2040	uvrB			
Praf.g_00077	CDS	2040	uvrB			UvrABC system protein B
Praf.g_00078	gene	99				
Praf.g_00078	CDS	99				hypothetical protein
Praf.g_00079	gene	174				
Praf.g_00079	CDS	174				hypothetical protein
Praf.g_00080	gene	201				
Praf.g_00080	CDS	201				hypothetical protein
Praf.g_00081	gene	1788				
Praf.g_00081	CDS	1788				hypothetical protein
Praf.g_00082	gene	1011				
Praf.g_00082	CDS	1011				hypothetical protein
Praf.g_00083	gene	636	cobH			
Praf.g_00083	CDS	636	cobH	5.4.99.61		Precorrin-8X methylmutase
Praf.g_00084	gene	1176	hlyD			
Praf.g_00084	CDS	1176	hlyD			Hemolysin secretion protein D, plasmid
Praf.g_00085	gene	2928	btuD_1			
Praf.g_00085	CDS	2928	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
Praf.g_00086	gene	762	surA			
Praf.g_00086	CDS	762	surA	5.2.1.8		Chaperone SurA
Praf.g_00087	gene	2814	mutS			
Praf.g_00087	CDS	2814	mutS		COG0249	DNA mismatch repair protein MutS
Praf.g_00088	gene	201				
Praf.g_00088	CDS	201				hypothetical protein
Praf.g_00089	gene	495	ribH			
Praf.g_00089	CDS	495	ribH	2.5.1.78		6,7-dimethyl-8-ribityllumazine synthase
Praf.g_00090	gene	72				
Praf.g_00090	tRNA	72				tRNA-Gly(gcc)
Praf.g_00091	gene	483				
Praf.g_00091	CDS	483				hypothetical protein
Praf.g_00092	gene	180	rffH			
Praf.g_00092	CDS	180	rffH	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 2
Praf.g_00093	gene	678	rmlA			
Praf.g_00093	CDS	678	rmlA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase
Praf.g_00094	gene	606	rfbC			
Praf.g_00094	CDS	606	rfbC	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
Praf.g_00095	gene	1194				
Praf.g_00095	CDS	1194				hypothetical protein
Praf.g_00096	gene	936	rmlD			
Praf.g_00096	CDS	936	rmlD	1.1.1.133		dTDP-4-dehydrorhamnose reductase
Praf.g_00097	gene	663	hisB_1			
Praf.g_00097	CDS	663	hisB_1	3.1.3.15		Histidine biosynthesis bifunctional protein HisB
Praf.g_00098	gene	759	cugP_1			
Praf.g_00098	CDS	759	cugP_1	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
Praf.g_00099	gene	669	gmhA			
Praf.g_00099	CDS	669	gmhA	5.3.1.28		Phosphoheptose isomerase
Praf.g_00100	gene	1512	hldE			
Praf.g_00100	CDS	1512	hldE	2.7.7.70		Bifunctional protein HldE
Praf.g_00101	gene	975	galE1_1			
Praf.g_00101	CDS	975	galE1_1	5.1.3.2	COG1088	UDP-glucose 4-epimerase
Praf.g_00102	gene	1122	moaA			
Praf.g_00102	CDS	1122	moaA			GTP 3',8-cyclase
Praf.g_00103	gene	897	acoA_1			
Praf.g_00103	CDS	897	acoA_1	1.1.1.-	COG1071	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
Praf.g_00104	gene	1080	bfmBAB_1			
Praf.g_00104	CDS	1080	bfmBAB_1	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
Praf.g_00105	gene	249				
Praf.g_00105	CDS	249				hypothetical protein
Praf.g_00106	gene	1164				
Praf.g_00106	CDS	1164				hypothetical protein
Praf.g_00107	gene	1503	hisF_1			
Praf.g_00107	CDS	1503	hisF_1	4.3.2.10		Imidazole glycerol phosphate synthase subunit HisF
Praf.g_00108	gene	1371				
Praf.g_00108	CDS	1371				hypothetical protein
Praf.g_00109	gene	1170				
Praf.g_00109	CDS	1170		3.2.1.184	COG0381	UDP-N,N'-diacetylbacillosamine 2-epimerase (hydrolyzing)
Praf.g_00110	gene	1008	legI			
Praf.g_00110	CDS	1008	legI	2.5.1.101	COG2089	N,N'-diacetyllegionaminic acid synthase
Praf.g_00111	gene	597	pglD			
Praf.g_00111	CDS	597	pglD	2.3.1.203	COG0110	UDP-N-acetylbacillosamine N-acetyltransferase
Praf.g_00112	gene	1188	rfbE			
Praf.g_00112	CDS	1188	rfbE	2.6.1.102	COG0399	GDP-perosamine synthase
Praf.g_00113	gene	1020	strE_1			
Praf.g_00113	CDS	1020	strE_1	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
Praf.g_00114	gene	783	linC			
Praf.g_00114	CDS	783	linC	1.1.1.-	COG1028	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase
Praf.g_00115	gene	717	legF			
Praf.g_00115	CDS	717	legF	2.7.7.82	COG1083	CMP-N,N'-diacetyllegionaminic acid synthase
Praf.g_00116	gene	999	iolG_1			
Praf.g_00116	CDS	999	iolG_1	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
Praf.g_00117	gene	1071	cugP_2			
Praf.g_00117	CDS	1071	cugP_2	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
Praf.g_00118	gene	1095	rffG			
Praf.g_00118	CDS	1095	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
Praf.g_00119	gene	1650				
Praf.g_00119	CDS	1650				hypothetical protein
Praf.g_00120	gene	1596				
Praf.g_00120	CDS	1596				hypothetical protein
Praf.g_00121	gene	2022				
Praf.g_00121	CDS	2022				hypothetical protein
Praf.g_00122	gene	1464				
Praf.g_00122	CDS	1464				hypothetical protein
Praf.g_00123	gene	2022				
Praf.g_00123	CDS	2022				hypothetical protein
Praf.g_00124	gene	2001				
Praf.g_00124	CDS	2001				hypothetical protein
Praf.g_00125	gene	1695				
Praf.g_00125	CDS	1695				hypothetical protein
Praf.g_00126	gene	1239				
Praf.g_00126	CDS	1239				hypothetical protein
Praf.g_00127	gene	1242				
Praf.g_00127	CDS	1242				hypothetical protein
Praf.g_00128	gene	1044				
Praf.g_00128	CDS	1044				hypothetical protein
Praf.g_00129	gene	234				
Praf.g_00129	CDS	234				hypothetical protein
Praf.g_00130	gene	2961	btuD_2			
Praf.g_00130	CDS	2961	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
Praf.g_00131	gene	771				
Praf.g_00131	CDS	771				hypothetical protein
Praf.g_00132	gene	1071				
Praf.g_00132	CDS	1071				hypothetical protein
Praf.g_00133	gene	186				
Praf.g_00133	CDS	186				hypothetical protein
Praf.g_00134	gene	3006				
Praf.g_00134	CDS	3006				hypothetical protein
Praf.g_00135	gene	819				
Praf.g_00135	CDS	819				hypothetical protein
Praf.g_00136	gene	2310				
Praf.g_00136	CDS	2310				hypothetical protein
Praf.g_00137	gene	813				
Praf.g_00137	CDS	813				hypothetical protein
Praf.g_00138	gene	705	tagH			
Praf.g_00138	CDS	705	tagH	7.5.2.4	COG1134	Teichoic acids export ATP-binding protein TagH
Praf.g_00139	gene	831				
Praf.g_00139	CDS	831				hypothetical protein
Praf.g_00140	gene	768	rfbF			
Praf.g_00140	CDS	768	rfbF	2.7.7.33	COG1208	Glucose-1-phosphate cytidylyltransferase
Praf.g_00141	gene	1098	rfbG			
