Orthogroup	Pran	Prbm
OG0000000	Pran.g_01500	Prbm.g_00712, Prbm.g_01581, Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576
OG0000002	Pran.g_01395	Prbm.g_01940, Prbm.g_00496, Prbm.g_01426
OG0000003	Pran.g_00894, Pran.g_00580	Prbm.g_01140, Prbm.g_01231, Prbm.g_00433, Prbm.g_01384, Prbm.g_01313, Prbm.g_01814
OG0000004	Pran.g_01436	Prbm.g_00081, Prbm.g_01988, Prbm.g_01436
OG0000005	Pran.g_00601, Pran.g_00931, Pran.g_01423	Prbm.g_01808, Prbm.g_01406, Prbm.g_00435, Prbm.g_01116, Prbm.g_00436, Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407
OG0000006	Pran.g_01681	Prbm.g_00522
OG0000006	Pran.g_00970	Prbm.g_01841
OG0000009	Pran.g_01363	Prbm.g_00792
OG0000010	Pran.g_00603, Pran.g_00114	Prbm.g_01359
OG0000011	Pran.g_01864	Prbm.g_00390
OG0000012	Pran.g_01580	Prbm.g_00635, Prbm.g_00628
OG0000013	Pran.g_01394	Prbm.g_01427, Prbm.g_01149
OG0000015	Pran.g_01813	Prbm.g_01164, Prbm.g_01415
OG0000016	Pran.g_00845	Prbm.g_01653
OG0000017	Pran.g_00713	Prbm.g_01729
OG0000018	Pran.g_01951	Prbm.g_01588, Prbm.g_01236, Prbm.g_00302
OG0000020	Pran.g_01772	Prbm.g_00329
OG0000021	Pran.g_01361	Prbm.g_01262, Prbm.g_01017, Prbm.g_01016, Prbm.g_01091
OG0000022	Pran.g_00582	Prbm.g_01115, Prbm.g_00437, Prbm.g_01381, Prbm.g_01228, Prbm.g_01312, Prbm.g_01408
OG0000024	Pran.g_01888	Prbm.g_00362, Prbm.g_02126
OG0000025	Pran.g_00936, Pran.g_01789	Prbm.g_00118, Prbm.g_01485
OG0000026	Pran.g_00391	Prbm.g_01947
OG0000027	Pran.g_01464	Prbm.g_01110, Prbm.g_01461, Prbm.g_01445, Prbm.g_01124
OG0000028	Pran.g_00733	Prbm.g_01710
OG0000029	Pran.g_00614	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753
OG0000031	Pran.g_00944	Prbm.g_01267
OG0000033	Pran.g_00620	Prbm.g_01944
OG0000034	Pran.g_00777	Prbm.g_00114
OG0000035	Pran.g_00415	Prbm.g_01482
OG0000036	Pran.g_01593	Prbm.g_01900
OG0000037	Pran.g_01555	Prbm.g_01106
OG0000038	Pran.g_01401	Prbm.g_01204
OG0000039	Pran.g_00266	Prbm.g_00225
OG0000040	Pran.g_01834	Prbm.g_01284, Prbm.g_01297, Prbm.g_01444
OG0000041	Pran.g_01778	Prbm.g_01351
OG0000042	Pran.g_01460	Prbm.g_00742
OG0000043	Pran.g_01358	Prbm.g_00950
OG0000044	Pran.g_00060	Prbm.g_01549
OG0000046	Pran.g_00963	Prbm.g_01834
OG0000047	Pran.g_01160	Prbm.g_02094
OG0000048	Pran.g_01167	Prbm.g_02102
OG0000050	Pran.g_00393, Pran.g_00930	Prbm.g_00031
OG0000051	Pran.g_00275	Prbm.g_00216
OG0000052	Pran.g_01824	Prbm.g_01172, Prbm.g_01237
OG0000053	Pran.g_01639	Prbm.g_00572
OG0000054	Pran.g_01379	Prbm.g_00047
OG0000055	Pran.g_01321	Prbm.g_00838, Prbm.g_01191
OG0000056	Pran.g_00108, Pran.g_00935	Prbm.g_00048
OG0000057	Pran.g_00195	Prbm.g_00297
OG0000058	Pran.g_01703	Prbm.g_00500
OG0000059	Pran.g_01480	Prbm.g_00735
OG0000061	Pran.g_00095, Pran.g_00507	Prbm.g_01648
OG0000062	Pran.g_00093	Prbm.g_01910
OG0000063	Pran.g_01466	Prbm.g_01522
OG0000065	Pran.g_00938, Pran.g_00876	Prbm.g_00468, Prbm.g_01611
OG0000066	Pran.g_00752	Prbm.g_00707
OG0000067	Pran.g_01384	Prbm.g_01174
OG0000068	Pran.g_01105	Prbm.g_02033
OG0000071	Pran.g_01268	Prbm.g_00011
OG0000072	Pran.g_01872	Prbm.g_00377
OG0000073	Pran.g_01509	Prbm.g_00702
OG0000074	Pran.g_01487	Prbm.g_00728
OG0000075	Pran.g_01336	Prbm.g_00821
OG0000076	Pran.g_00568, Pran.g_00903	Prbm.g_01064
OG0000078	Pran.g_00806	Prbm.g_00394
OG0000079	Pran.g_00655	Prbm.g_01792
OG0000080	Pran.g_00912, Pran.g_00575	Prbm.g_01182
OG0000081	Pran.g_01135	Prbm.g_02067
OG0000082	Pran.g_01222	Prbm.g_02188
OG0000083	Pran.g_01260	Prbm.g_00003
OG0000084	Pran.g_01263	Prbm.g_00006
OG0000085	Pran.g_00401	Prbm.g_00023
OG0000086	Pran.g_00386	Prbm.g_00063, Prbm.g_01170
OG0000087	Pran.g_00376	Prbm.g_00058
OG0000088	Pran.g_00320	Prbm.g_00172
OG0000089	Pran.g_00312	Prbm.g_00181
OG0000090	Pran.g_00295	Prbm.g_00198
OG0000091	Pran.g_00263	Prbm.g_00228
OG0000092	Pran.g_00262	Prbm.g_00229
OG0000093	Pran.g_00248	Prbm.g_00243
OG0000094	Pran.g_00230	Prbm.g_00262
OG0000095	Pran.g_00225	Prbm.g_00266
OG0000096	Pran.g_01941	Prbm.g_00310
OG0000097	Pran.g_01920	Prbm.g_00331
OG0000099	Pran.g_01900	Prbm.g_00350
OG0000100	Pran.g_01897	Prbm.g_00353
OG0000101	Pran.g_01838	Prbm.g_00425
OG0000102	Pran.g_01812	Prbm.g_01389
OG0000103	Pran.g_01702	Prbm.g_00501
OG0000104	Pran.g_01698	Prbm.g_00506
OG0000105	Pran.g_01679	Prbm.g_00533
OG0000106	Pran.g_01646	Prbm.g_00565
OG0000107	Pran.g_01645	Prbm.g_00566
OG0000108	Pran.g_01635	Prbm.g_00576
OG0000109	Pran.g_01626	Prbm.g_00585
OG0000110	Pran.g_01609	Prbm.g_00601
OG0000111	Pran.g_01527	Prbm.g_00682
OG0000112	Pran.g_01526	Prbm.g_00683
OG0000113	Pran.g_01438	Prbm.g_00766
OG0000114	Pran.g_01345	Prbm.g_00812
OG0000115	Pran.g_00487	Prbm.g_00988
OG0000116	Pran.g_00491	Prbm.g_00992
OG0000117	Pran.g_00565	Prbm.g_01061
OG0000118	Pran.g_00135	Prbm.g_01210
OG0000119	Pran.g_00090	Prbm.g_01913
OG0000120	Pran.g_00054	Prbm.g_01542
OG0000121	Pran.g_00035	Prbm.g_01519
OG0000122	Pran.g_00016	Prbm.g_01499
OG0000123	Pran.g_00003	Prbm.g_01489
OG0000124	Pran.g_00918	Prbm.g_01054
OG0000125	Pran.g_00864	Prbm.g_01622
OG0000126	Pran.g_00841	Prbm.g_01660
OG0000127	Pran.g_00746	Prbm.g_01696
OG0000128	Pran.g_00732	Prbm.g_01711
OG0000129	Pran.g_00696	Prbm.g_01745
OG0000130	Pran.g_00968	Prbm.g_01839
OG0000131	Pran.g_01006	Prbm.g_01876
OG0000132	Pran.g_01009	Prbm.g_01878
OG0000133	Pran.g_01063	Prbm.g_01991
OG0000134	Pran.g_01100	Prbm.g_02027
OG0000135	Pran.g_01102	Prbm.g_02029
OG0000136	Pran.g_01145	Prbm.g_02079
OG0000137	Pran.g_01177	Prbm.g_02114
OG0000138	Pran.g_01212	Prbm.g_02176
OG0000139	Pran.g_01239	Prbm.g_02212
OG0000140	Pran.g_01258	Prbm.g_00001
OG0000141	Pran.g_01259	Prbm.g_00002
OG0000142	Pran.g_01261	Prbm.g_00004
OG0000143	Pran.g_01262	Prbm.g_00005
OG0000144	Pran.g_01264	Prbm.g_00007
OG0000145	Pran.g_01265	Prbm.g_00008
OG0000146	Pran.g_01266	Prbm.g_00009
OG0000147	Pran.g_01267	Prbm.g_00010
OG0000148	Pran.g_01269	Prbm.g_00012
OG0000149	Pran.g_00410	Prbm.g_00014
OG0000150	Pran.g_00409	Prbm.g_00015
OG0000151	Pran.g_00408	Prbm.g_00016
OG0000152	Pran.g_00407	Prbm.g_00017
OG0000153	Pran.g_00406	Prbm.g_00018
OG0000154	Pran.g_00405	Prbm.g_00019
OG0000155	Pran.g_00404	Prbm.g_00020
OG0000156	Pran.g_00403	Prbm.g_00021
OG0000157	Pran.g_00402	Prbm.g_00022
OG0000158	Pran.g_00400	Prbm.g_00024
OG0000159	Pran.g_00399	Prbm.g_00025
OG0000160	Pran.g_00398	Prbm.g_00026
OG0000161	Pran.g_00397	Prbm.g_00027
OG0000162	Pran.g_00396	Prbm.g_00028
OG0000163	Pran.g_00395	Prbm.g_00029
OG0000164	Pran.g_00392	Prbm.g_00032
OG0000165	Pran.g_00389	Prbm.g_00033
OG0000166	Pran.g_00388	Prbm.g_00034
OG0000167	Pran.g_00387	Prbm.g_00035
OG0000168	Pran.g_00385	Prbm.g_00049
OG0000169	Pran.g_00383	Prbm.g_00051
OG0000170	Pran.g_00382	Prbm.g_00052
