Orthogroup	Prbj	Prbf
OG0000000	Prbj.g_02517	Prbf.g_01182, Prbf.g_01177
OG0000000	Prbj.g_00030	Prbf.g_01285, Prbf.g_00260, Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883
OG0000002	Prbj.g_01549, Prbj.g_02662, Prbj.g_02690, Prbj.g_00672, Prbj.g_00169	Prbf.g_00068
OG0000003	Prbj.g_00165	Prbf.g_00880
OG0000004	Prbj.g_00697, Prbj.g_01897, Prbj.g_00073	Prbf.g_00052
OG0000006	Prbj.g_01610	Prbf.g_01780
OG0000006	Prbj.g_00857	Prbf.g_00693
OG0000007	Prbj.g_00928, Prbj.g_00929	Prbf.g_00793, Prbf.g_00792
OG0000009	Prbj.g_01349	Prbf.g_00894, Prbf.g_01588
OG0000011	Prbj.g_02509	Prbf.g_01707
OG0000012	Prbj.g_01761	Prbf.g_01887
OG0000012	Prbj.g_01769	Prbf.g_01880
OG0000013	Prbj.g_02502	Prbf.g_00708
OG0000016	Prbj.g_00740	Prbf.g_00864
OG0000016	Prbj.g_00778	Prbf.g_00254
OG0000017	Prbj.g_00638	Prbf.g_00748, Prbf.g_00178
OG0000018	Prbj.g_02699	Prbf.g_01580
OG0000019	Prbj.g_01774	Prbf.g_01259
OG0000020	Prbj.g_01393	Prbf.g_00039
OG0000024	Prbj.g_01442	Prbf.g_01647
OG0000026	Prbj.g_01208	Prbf.g_00808
OG0000028	Prbj.g_01056	Prbf.g_00157
OG0000031	Prbj.g_00705	Prbf.g_00340
OG0000032	Prbj.g_01522, Prbj.g_01527	Prbf.g_00116
OG0000034	Prbj.g_01487	Prbf.g_01380
OG0000036	Prbj.g_01789	Prbf.g_01867, Prbf.g_00704
OG0000037	Prbj.g_02552	Prbf.g_01905, Prbf.g_00272
OG0000038	Prbj.g_00050	Prbf.g_00248
OG0000039	Prbj.g_00521	Prbf.g_01500
OG0000040	Prbj.g_02392	Prbf.g_00287
OG0000042	Prbj.g_02178, Prbj.g_00913	Prbf.g_01253
OG0000043	Prbj.g_00023, Prbj.g_00025	Prbf.g_01153
OG0000044	Prbj.g_00971	Prbf.g_00918
OG0000045	Prbj.g_01467	Prbf.g_00117
OG0000046	Prbj.g_00869	Prbf.g_00822, Prbf.g_00701
OG0000047	Prbj.g_01598	Prbf.g_00496
OG0000048	Prbj.g_01808, Prbj.g_00001	Prbf.g_00487
OG0000050	Prbj.g_01204	Prbf.g_01354
OG0000051	Prbj.g_00530	Prbf.g_01491
OG0000052	Prbj.g_00875	Prbf.g_00320
OG0000053	Prbj.g_02141	Prbf.g_01820
OG0000054	Prbj.g_01324	Prbf.g_01922
OG0000055	Prbj.g_02437	Prbf.g_01222
OG0000056	Prbj.g_00227	Prbf.g_00862
OG0000058	Prbj.g_00128	Prbf.g_01758
OG0000059	Prbj.g_00758	Prbf.g_01261
OG0000062	Prbj.g_01990	Prbf.g_00788
OG0000063	Prbj.g_01915	Prbf.g_00945
OG0000065	Prbj.g_01728	Prbf.g_00026
OG0000066	Prbj.g_01465	Prbf.g_00115
OG0000068	Prbj.g_00415, Prbj.g_00981	Prbf.g_00558
OG0000069	Prbj.g_00659	Prbf.g_00196
OG0000071	Prbj.g_02085	Prbf.g_00382
OG0000072	Prbj.g_01460	Prbf.g_01661
OG0000073	Prbj.g_00824	Prbf.g_01018
OG0000074	Prbj.g_00933	Prbf.g_01271
OG0000075	Prbj.g_02419	Prbf.g_01238
OG0000076	Prbj.g_01838	Prbf.g_01170
OG0000078	Prbj.g_01464	Prbf.g_00118
OG0000079	Prbj.g_00881	Prbf.g_00242
OG0000080	Prbj.g_01678	Prbf.g_00346
OG0000081	Prbj.g_01500	Prbf.g_00524
OG0000082	Prbj.g_01999	Prbf.g_00351
OG0000083	Prbj.g_02076	Prbf.g_00390
OG0000084	Prbj.g_02079	Prbf.g_00387
OG0000085	Prbj.g_01195	Prbf.g_01345
OG0000087	Prbj.g_01921	Prbf.g_01374
OG0000088	Prbj.g_01551	Prbf.g_01443
OG0000089	Prbj.g_01566	Prbf.g_01452
OG0000090	Prbj.g_01547	Prbf.g_01469
OG0000091	Prbj.g_00518	Prbf.g_01503
OG0000092	Prbj.g_00517	Prbf.g_01504
OG0000093	Prbj.g_01138	Prbf.g_01518
OG0000094	Prbj.g_01167	Prbf.g_01537
OG0000095	Prbj.g_00288	Prbf.g_01542
OG0000096	Prbj.g_01352	Prbf.g_01590
OG0000097	Prbj.g_01397	Prbf.g_01614
OG0000098	Prbj.g_01410	Prbf.g_01625
OG0000099	Prbj.g_01422	Prbf.g_01635
OG0000100	Prbj.g_01426	Prbf.g_01638
OG0000101	Prbj.g_00067	Prbf.g_01703
OG0000102	Prbj.g_02004	Prbf.g_00044
OG0000103	Prbj.g_00127	Prbf.g_01759
OG0000104	Prbj.g_01630	Prbf.g_01763
OG0000105	Prbj.g_01608	Prbf.g_01783
OG0000106	Prbj.g_02125	Prbf.g_01813
OG0000107	Prbj.g_02127	Prbf.g_01814
OG0000108	Prbj.g_02668	Prbf.g_01824
OG0000109	Prbj.g_01866	Prbf.g_01833
OG0000110	Prbj.g_01885	Prbf.g_01850
OG0000111	Prbj.g_00792	Prbf.g_00999
OG0000112	Prbj.g_00793	Prbf.g_01000
OG0000113	Prbj.g_02314	Prbf.g_01050
OG0000114	Prbj.g_02410	Prbf.g_01247
OG0000115	Prbj.g_02268	Prbf.g_01117
OG0000116	Prbj.g_02260	Prbf.g_01113
OG0000117	Prbj.g_01841	Prbf.g_01167
OG0000118	Prbj.g_02066	Prbf.g_00873
OG0000119	Prbj.g_01992	Prbf.g_00785
OG0000120	Prbj.g_00843	Prbf.g_00924
OG0000121	Prbj.g_00003	Prbf.g_00947
OG0000122	Prbj.g_02156	Prbf.g_00967
OG0000123	Prbj.g_00020	Prbf.g_01915
OG0000124	Prbj.g_01848	Prbf.g_00253
OG0000125	Prbj.g_01742	Prbf.g_00013
OG0000126	Prbj.g_01639	Prbf.g_00095
OG0000127	Prbj.g_01040	Prbf.g_00145
OG0000128	Prbj.g_01057	Prbf.g_00158
OG0000129	Prbj.g_00656	Prbf.g_00194
OG0000130	Prbj.g_00863	Prbf.g_00696
OG0000131	Prbj.g_00461	Prbf.g_00657
OG0000132	Prbj.g_00458	Prbf.g_00654
OG0000133	Prbj.g_01024	Prbf.g_00600
OG0000134	Prbj.g_00987	Prbf.g_00564
OG0000135	Prbj.g_00985	Prbf.g_00562
OG0000136	Prbj.g_01516	Prbf.g_00512
OG0000137	Prbj.g_01280	Prbf.g_00477
OG0000138	Prbj.g_01963	Prbf.g_00443
OG0000139	Prbj.g_02047	Prbf.g_00412
OG0000140	Prbj.g_02074	Prbf.g_00392
OG0000141	Prbj.g_02075	Prbf.g_00391
OG0000142	Prbj.g_02077	Prbf.g_00389
OG0000143	Prbj.g_02078	Prbf.g_00388
OG0000144	Prbj.g_02080	Prbf.g_00386
OG0000145	Prbj.g_02082	Prbf.g_00385
OG0000146	Prbj.g_02083	Prbf.g_00384
OG0000147	Prbj.g_02084	Prbf.g_00383
OG0000148	Prbj.g_02086	Prbf.g_00381
OG0000149	Prbj.g_01182	Prbf.g_01336
OG0000150	Prbj.g_01183	Prbf.g_01337
OG0000151	Prbj.g_01188	Prbf.g_01338
OG0000152	Prbj.g_01189	Prbf.g_01339
OG0000153	Prbj.g_01190	Prbf.g_01340
OG0000154	Prbj.g_01191	Prbf.g_01341
OG0000155	Prbj.g_01192	Prbf.g_01342
OG0000156	Prbj.g_01193	Prbf.g_01343
OG0000157	Prbj.g_01194	Prbf.g_01344
OG0000158	Prbj.g_01196	Prbf.g_01346
OG0000159	Prbj.g_01197	Prbf.g_01347
OG0000160	Prbj.g_01198	Prbf.g_01348
OG0000161	Prbj.g_01199	Prbf.g_01349
OG0000162	Prbj.g_01200	Prbf.g_01350
OG0000163	Prbj.g_01202	Prbf.g_01352
OG0000164	Prbj.g_01207	Prbf.g_01355
OG0000165	Prbj.g_01212	Prbf.g_01358
OG0000166	Prbj.g_01213	Prbf.g_01359
OG0000167	Prbj.g_01214	Prbf.g_01360
OG0000168	Prbj.g_01215	Prbf.g_01362
OG0000169	Prbj.g_01217	Prbf.g_01364
OG0000170	Prbj.g_01953	Prbf.g_01366
OG0000171	Prbj.g_01951	Prbf.g_01367
OG0000172	Prbj.g_01950	Prbf.g_01368
OG0000173	Prbj.g_01943	Prbf.g_01371
OG0000174	Prbj.g_01936	Prbf.g_01372
OG0000175	Prbj.g_01928	Prbf.g_01373
OG0000176	Prbj.g_01920	Prbf.g_01375
OG0000177	Prbj.g_01919	Prbf.g_01376
OG0000178	Prbj.g_01918	Prbf.g_01378
OG0000179	Prbj.g_00558	Prbf.g_01390
OG0000180	Prbj.g_00560	Prbf.g_01391
OG0000181	Prbj.g_00561	Prbf.g_01392
OG0000182	Prbj.g_00564	Prbf.g_01396
OG0000183	Prbj.g_00565	Prbf.g_01397
OG0000184	Prbj.g_00569	Prbf.g_01400
OG0000185	Prbj.g_00575	Prbf.g_01404
OG0000186	Prbj.g_00576	Prbf.g_01405
OG0000187	Prbj.g_00047	Prbf.g_00291
OG0000188	Prbj.g_00577	Prbf.g_01406
OG0000189	Prbj.g_00580	Prbf.g_01407
OG0000190	Prbj.g_00581	Prbf.g_01408
OG0000191	Prbj.g_00582	Prbf.g_01409
OG0000192	Prbj.g_00583	Prbf.g_01410
OG0000193	Prbj.g_00584	Prbf.g_01411
OG0000194	Prbj.g_00585	Prbf.g_01412
OG0000195	Prbj.g_00589	Prbf.g_01414
OG0000196	Prbj.g_00590	Prbf.g_01415
OG0000197	Prbj.g_00596	Prbf.g_01416
OG0000198	Prbj.g_00600	Prbf.g_01417
OG0000199	Prbj.g_00605	Prbf.g_01420
OG0000200	Prbj.g_00606	Prbf.g_01421
OG0000201	Prbj.g_00607	Prbf.g_01422
OG0000202	Prbj.g_00609	Prbf.g_01424
OG0000203	Prbj.g_00610	Prbf.g_01425
OG0000204	Prbj.g_00611	Prbf.g_01426
OG0000205	Prbj.g_00613	Prbf.g_01428
OG0000206	Prbj.g_00614	Prbf.g_01429
OG0000207	Prbj.g_00615	Prbf.g_01430
OG0000208	Prbj.g_00616	Prbf.g_01431
OG0000209	Prbj.g_00617	Prbf.g_01432
OG0000210	Prbj.g_00619	Prbf.g_01433
