Orthogroup	Prbb	Syan
OG0000001	Prbb.g_01611	Syan.g_02267, Syan.g_02266, Syan.g_01149, Syan.g_02528
OG0000004	Prbb.g_01450	Syan.g_00183
OG0000004	Prbb.g_00288	Syan.g_00989
OG0000005	Prbb.g_01393	Syan.g_01423
OG0000005	Prbb.g_01766	Syan.g_01378
OG0000006	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560	Syan.g_00791, Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Prbb.g_00501	Syan.g_02743
OG0000007	Prbb.g_01823	Syan.g_01400
OG0000008	Prbb.g_01884	Syan.g_00640, Syan.g_02532
OG0000008	Prbb.g_01885	Syan.g_00641, Syan.g_02531
OG0000010	Prbb.g_01072	Syan.g_02847
OG0000012	Prbb.g_01111	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485, Syan.g_00008, Syan.g_00942
OG0000013	Prbb.g_00378	Syan.g_02156, Syan.g_02159, Syan.g_00101
OG0000014	Prbb.g_00357	Syan.g_01987
OG0000015	Prbb.g_01158	Syan.g_01691, Syan.g_00248
OG0000016	Prbb.g_00014	Syan.g_01766
OG0000016	Prbb.g_01919	Syan.g_02598, Syan.g_00440
OG0000017	Prbb.g_00605	Syan.g_01006
OG0000018	Prbb.g_01539	Syan.g_02816
OG0000019	Prbb.g_00761	Syan.g_02088
OG0000021	Prbb.g_01914, Prbb.g_00099	Syan.g_01001
OG0000022	Prbb.g_01258	Syan.g_00089
OG0000023	Prbb.g_01411, Prbb.g_01373	Syan.g_00404
OG0000025	Prbb.g_00052, Prbb.g_00818	Syan.g_00374
OG0000026	Prbb.g_00032	Syan.g_01743
OG0000027	Prbb.g_01375	Syan.g_02678
OG0000028	Prbb.g_01635	Syan.g_01971
OG0000030	Prbb.g_02073	Syan.g_01884, Syan.g_01883
OG0000031	Prbb.g_00387	Syan.g_01967
OG0000032	Prbb.g_01723	Syan.g_02835
OG0000033	Prbb.g_00226	Syan.g_03036
OG0000034	Prbb.g_01596	Syan.g_01227, Syan.g_03003
OG0000035	Prbb.g_01686	Syan.g_01279, Syan.g_01276
OG0000037	Prbb.g_00164	Syan.g_00136, Syan.g_02978, Syan.g_00917
OG0000038	Prbb.g_02129	Syan.g_00064, Syan.g_01569, Syan.g_01571
OG0000039	Prbb.g_00692	Syan.g_02771, Syan.g_00535
OG0000041	Prbb.g_01868	Syan.g_00302, Syan.g_01465
OG0000042	Prbb.g_02069	Syan.g_00991, Syan.g_02643, Syan.g_01888
OG0000044	Prbb.g_00079	Syan.g_00431, Syan.g_00435, Syan.g_01065
OG0000045	Prbb.g_01347, Prbb.g_01094	Syan.g_00086
OG0000046	Prbb.g_00379	Syan.g_02157, Syan.g_02160
OG0000048	Prbb.g_00325	Syan.g_02036
OG0000052	Prbb.g_00112	Syan.g_01954, Syan.g_01953
OG0000053	Prbb.g_01705	Syan.g_02812
OG0000054	Prbb.g_00607	Syan.g_02503, Syan.g_00231, Syan.g_00506
OG0000055	Prbb.g_01897	Syan.g_00312
OG0000057	Prbb.g_01359, Prbb.g_00706	Syan.g_00643, Syan.g_02514, Syan.g_00186
OG0000058	Prbb.g_00851	Syan.g_01964, Syan.g_01128, Syan.g_01124
OG0000059	Prbb.g_01946	Syan.g_02255
OG0000060	Prbb.g_01153	Syan.g_02856, Syan.g_02250, Syan.g_00249, Syan.g_00277
OG0000061	Prbb.g_01517	Syan.g_02696
OG0000062	Prbb.g_01768	Syan.g_01380
OG0000063	Prbb.g_01921	Syan.g_01739
OG0000065	Prbb.g_00162	Syan.g_02974
OG0000066	Prbb.g_00542	Syan.g_01156
OG0000067	Prbb.g_00783	Syan.g_00690
OG0000068	Prbb.g_01639	Syan.g_00845, Syan.g_00257, Syan.g_02773
OG0000069	Prbb.g_01324, Prbb.g_01729	Syan.g_00459, Syan.g_00278
OG0000070	Prbb.g_00455	Syan.g_00289
OG0000071	Prbb.g_01586	Syan.g_01213
OG0000072	Prbb.g_00228	Syan.g_03038, Syan.g_02999
OG0000073	Prbb.g_00503	Syan.g_02741
OG0000075	Prbb.g_02036	Syan.g_00981, Syan.g_01937
OG0000076	Prbb.g_02061	Syan.g_01896
OG0000077	Prbb.g_00133	Syan.g_02919, Syan.g_02579
OG0000078	Prbb.g_00297	Syan.g_01509, Syan.g_01510, Syan.g_02437
OG0000079	Prbb.g_00308	Syan.g_02079, Syan.g_02067, Syan.g_02085
OG0000082	Prbb.g_01882	Syan.g_00952
OG0000084	Prbb.g_01683	Syan.g_01283
OG0000085	Prbb.g_01816	Syan.g_01387
OG0000086	Prbb.g_00143	Syan.g_02946, Syan.g_02515, Syan.g_00114
OG0000087	Prbb.g_00196	Syan.g_02268
OG0000088	Prbb.g_00223	Syan.g_03031
OG0000089	Prbb.g_00416	Syan.g_02316
OG0000090	Prbb.g_00536	Syan.g_01166
OG0000091	Prbb.g_00643	Syan.g_00235, Syan.g_00808
OG0000092	Prbb.g_00937	Syan.g_02502
OG0000093	Prbb.g_01606	Syan.g_02934
OG0000093	Prbb.g_00768	Syan.g_00708
OG0000094	Prbb.g_00892	Syan.g_00353, Syan.g_00065
OG0000095	Prbb.g_01070	Syan.g_00290
OG0000097	Prbb.g_01470	Syan.g_00160, Syan.g_00733
OG0000098	Prbb.g_01608	Syan.g_00043
OG0000099	Prbb.g_00388	Syan.g_01968
OG0000100	Prbb.g_01763	Syan.g_00658
OG0000101	Prbb.g_02001	Syan.g_02199
OG0000102	Prbb.g_02066	Syan.g_01891
OG0000103	Prbb.g_02174	Syan.g_01692
OG0000104	Prbb.g_02185	Syan.g_01792
OG0000105	Prbb.g_00327	Syan.g_02031
OG0000106	Prbb.g_01197, Prbb.g_01329	Syan.g_00076
OG0000107	Prbb.g_01923	Syan.g_02106
OG0000108	Prbb.g_00484, Prbb.g_00485	Syan.g_02764
