Orthogroup	Syah	Prbg
OG0000001	Syah.g_00726	Prbg.g_00502, Prbg.g_01069
OG0000002	Syah.g_01829	Prbg.g_01222, Prbg.g_01227, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694, Prbg.g_01119
OG0000004	Syah.g_02017	Prbg.g_01140
OG0000004	Syah.g_01967, Syah.g_00901	Prbg.g_01014
OG0000005	Syah.g_02363	Prbg.g_00674
OG0000006	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Prbg.g_01024
OG0000007	Syah.g_01016	Prbg.g_00216
OG0000007	Syah.g_02384	Prbg.g_01650
OG0000008	Syah.g_01994	Prbg.g_00744
OG0000008	Syah.g_01993	Prbg.g_00745
OG0000009	Syah.g_02457	Prbg.g_00686
OG0000010	Syah.g_01220	Prbg.g_01053, Prbg.g_01348, Prbg.g_00193
OG0000012	Syah.g_01960	Prbg.g_00342
OG0000013	Syah.g_00831, Syah.g_00817, Syah.g_00822	Prbg.g_00104
OG0000014	Syah.g_00127	Prbg.g_00086
OG0000015	Syah.g_01511, Syah.g_01510	Prbg.g_01589, Prbg.g_01635
OG0000016	Syah.g_01402, Syah.g_01859	Prbg.g_01544
OG0000017	Syah.g_01159	Prbg.g_00324
OG0000017	Syah.g_01152	Prbg.g_00317
OG0000018	Syah.g_01264	Prbg.g_01508, Prbg.g_01187
OG0000019	Syah.g_00669	Prbg.g_01032, Prbg.g_01510
OG0000022	Syah.g_01881	Prbg.g_00682
OG0000023	Syah.g_01330, Syah.g_02167, Syah.g_00930	Prbg.g_00013
OG0000024	Syah.g_01990	Prbg.g_01352, Prbg.g_01116
OG0000025	Syah.g_02082	Prbg.g_01195
OG0000026	Syah.g_00340	Prbg.g_00842
OG0000027	Syah.g_01541	Prbg.g_01569, Prbg.g_00721
OG0000028	Syah.g_00141	Prbg.g_00743
OG0000029	Syah.g_01292	Prbg.g_01740, Prbg.g_00734, Prbg.g_01581
OG0000030	Syah.g_00264, Syah.g_00265	Prbg.g_01858
OG0000031	Syah.g_00226, Syah.g_00322	Prbg.g_00550
OG0000032	Syah.g_01246	Prbg.g_00630
OG0000033	Syah.g_00211	Prbg.g_00557
OG0000033	Syah.g_00078	Prbg.g_00947
OG0000034	Syah.g_00048, Syah.g_02213	Prbg.g_00488
OG0000035	Syah.g_01293	Prbg.g_00591
OG0000037	Syah.g_02541, Syah.g_00956, Syah.g_01365	Prbg.g_00881
OG0000038	Syah.g_00508, Syah.g_00506	Prbg.g_01898
OG0000039	Syah.g_02074	Prbg.g_01128
OG0000041	Syah.g_02271	Prbg.g_01697
OG0000042	Syah.g_00261	Prbg.g_01855
OG0000045	Syah.g_01872	Prbg.g_01530
OG0000046	Syah.g_00816, Syah.g_00823, Syah.g_00830	Prbg.g_00105
OG0000047	Syah.g_00847	Prbg.g_00143
OG0000048	Syah.g_00637	Prbg.g_00464, Prbg.g_00050
OG0000052	Syah.g_00171	Prbg.g_00569
OG0000053	Syah.g_01267	Prbg.g_01595, Prbg.g_00612
OG0000054	Syah.g_01982	Prbg.g_00326
OG0000055	Syah.g_02071	Prbg.g_01535
OG0000055	Syah.g_01878	Prbg.g_01624
OG0000057	Syah.g_02020	Prbg.g_01143
OG0000058	Syah.g_00152	Prbg.g_00551
OG0000059	Syah.g_00737	Prbg.g_01737
OG0000061	Syah.g_02158	Prbg.g_01486
OG0000062	Syah.g_02365	Prbg.g_00676
OG0000063	Syah.g_00337	Prbg.g_00730
OG0000064	Syah.g_01353, Syah.g_02357	Prbg.g_00802
OG0000065	Syah.g_02443, Syah.g_02537	Prbg.g_00879
OG0000066	Syah.g_01073	Prbg.g_00256
OG0000067	Syah.g_01779	Prbg.g_01159
OG0000068	Syah.g_00986	Prbg.g_00529
OG0000069	Syah.g_01715	Prbg.g_00174
OG0000070	Syah.g_02217	Prbg.g_00170
OG0000071	Syah.g_02199	Prbg.g_00477
OG0000072	Syah.g_00080	Prbg.g_00949
OG0000073	Syah.g_01018	Prbg.g_00219
OG0000074	Syah.g_00951	Prbg.g_00021, Prbg.g_01064, Prbg.g_01123
OG0000075	Syah.g_00186	Prbg.g_01821
