Orthogroup	Syac	Prba
OG0000001	Syac.g_02154	Prba.g_00211, Prba.g_01081, Prba.g_01080
OG0000002	Syac.g_01084	Prba.g_00203, Prba.g_01639
OG0000004	Syac.g_00898	Prba.g_01622
OG0000004	Syac.g_00948, Syac.g_01975	Prba.g_00451
OG0000005	Syac.g_00527	Prba.g_00607
OG0000005	Syac.g_00569	Prba.g_00312
OG0000006	Syac.g_01958, Syac.g_01961, Syac.g_02194	Prba.g_00460
OG0000007	Syac.g_01885	Prba.g_00964
OG0000007	Syac.g_00544	Prba.g_00226
OG0000008	Syac.g_00921	Prba.g_01131
OG0000009	Syac.g_01004, Syac.g_00398	Prba.g_01893
OG0000010	Syac.g_01701	Prba.g_01256, Prba.g_00987
OG0000012	Syac.g_00758, Syac.g_01577, Syac.g_00955	Prba.g_01694
OG0000013	Syac.g_02046, Syac.g_02062, Syac.g_02056	Prba.g_00543
OG0000014	Syac.g_00253	Prba.g_00522
OG0000015	Syac.g_01408	Prba.g_01538
OG0000016	Syac.g_00014	Prba.g_01806
OG0000017	Syac.g_01749	Prba.g_01719
OG0000018	Syac.g_01660	Prba.g_00083, Prba.g_01472
OG0000019	Syac.g_02207	Prba.g_00468, Prba.g_01519
OG0000022	Syac.g_01031	Prba.g_01543, Prba.g_00101
OG0000023	Syac.g_00760	Prba.g_00854
OG0000024	Syac.g_00925	Prba.g_01558, Prba.g_01642
OG0000025	Syac.g_00847	Prba.g_01464, Prba.g_00547
OG0000026	Syac.g_00034	Prba.g_01824, Prba.g_01249
OG0000027	Syac.g_01095	Prba.g_00991, Prba.g_01175
OG0000028	Syac.g_00237	Prba.g_00536, Prba.g_01126
OG0000029	Syac.g_01942	Prba.g_00869, Prba.g_01551
OG0000030	Syac.g_00143, Syac.g_00142	Prba.g_00778
OG0000033	Syac.g_00304	Prba.g_00625
OG0000034	Syac.g_00334, Syac.g_00715	Prba.g_01202
OG0000035	Syac.g_01630	Prba.g_00713
OG0000037	Syac.g_01077	Prba.g_01897
OG0000038	Syac.g_02357, Syac.g_02358	Prba.g_00819
OG0000039	Syac.g_00856, Syac.g_02378	Prba.g_01631
OG0000040	Syac.g_01006	Prba.g_00251
OG0000042	Syac.g_00146	Prba.g_00775
OG0000043	Syac.g_01100	Prba.g_01138
OG0000045	Syac.g_01040	Prba.g_00865
OG0000047	Syac.g_02031	Prba.g_00913, Prba.g_00546
OG0000048	Syac.g_02240	Prba.g_00868
OG0000051	Syac.g_01073	Prba.g_01168
OG0000052	Syac.g_00207	Prba.g_00160
OG0000053	Syac.g_01657	Prba.g_00693
OG0000054	Syac.g_00933	Prba.g_01711
OG0000055	Syac.g_00859	Prba.g_01518
OG0000057	Syac.g_00894	Prba.g_01619
OG0000058	Syac.g_00226	Prba.g_00153
OG0000059	Syac.g_02142	Prba.g_00381, Prba.g_00127
OG0000061	Syac.g_00769	Prba.g_00064
OG0000063	Syac.g_00037	Prba.g_01826
OG0000065	Syac.g_00490, Syac.g_00396	Prba.g_01895
OG0000066	Syac.g_01827	Prba.g_00922
OG0000067	Syac.g_01341	Prba.g_01499
OG0000068	Syac.g_01916	Prba.g_00196
OG0000069	Syac.g_01272	Prba.g_00275
OG0000070	Syac.g_00711	Prba.g_01011
OG0000071	Syac.g_00729	Prba.g_01192
OG0000072	Syac.g_00302	Prba.g_00627
OG0000073	Syac.g_01883	Prba.g_00962
OG0000075	Syac.g_00191	Prba.g_01071
OG0000076	Syac.g_00156	Prba.g_00768
OG0000077	Syac.g_00439	Prba.g_01866
OG0000079	Syac.g_02211	Prba.g_00471
OG0000081	Syac.g_01954	Prba.g_00930
OG0000082	Syac.g_01766	Prba.g_01731
OG0000084	Syac.g_01627	Prba.g_00717
OG0000085	Syac.g_00560	Prba.g_00233
OG0000086	Syac.g_00423	Prba.g_01876
OG0000087	Syac.g_00343	Prba.g_01927
OG0000088	Syac.g_00308	Prba.g_00622
OG0000089	Syac.g_01988, Syac.g_01543	Prba.g_00850
OG0000090	Syac.g_01836	Prba.g_00928
OG0000091	Syac.g_00987	Prba.g_01675
OG0000094	Syac.g_01251	Prba.g_01283
OG0000097	Syac.g_01507	Prba.g_00022
OG0000098	Syac.g_02157	Prba.g_00214
OG0000099	Syac.g_00234	Prba.g_00155
OG0000100	Syac.g_01309	Prba.g_00314
OG0000101	Syac.g_02094	Prba.g_00429
OG0000102	Syac.g_00151	Prba.g_00773
OG0000103	Syac.g_02476	Prba.g_01781
OG0000104	Syac.g_02490	Prba.g_01789
OG0000105	Syac.g_02245	Prba.g_00491
OG0000106	Syac.g_01098	Prba.g_00864
OG0000107	Syac.g_02191	Prba.g_00880
OG0000108	Syac.g_01904	Prba.g_00981
OG0000109	Syac.g_01889	Prba.g_00967
OG0000110	Syac.g_01778	Prba.g_01741
OG0000112	Syac.g_01173	Prba.g_01534
OG0000113	Syac.g_01314	Prba.g_01477
OG0000114	Syac.g_01394	Prba.g_01395
OG0000115	Syac.g_01655	Prba.g_00743
OG0000116	Syac.g_00753	Prba.g_00074
OG0000117	Syac.g_01477	Prba.g_01135
OG0000118	Syac.g_01728	Prba.g_01204
OG0000120	Syac.g_00233	Prba.g_00175
OG0000121	Syac.g_01635	Prba.g_00711
OG0000122	Syac.g_01013	Prba.g_00348
OG0000123	Syac.g_02086	Prba.g_00436
OG0000124	Syac.g_00135	Prba.g_00784
OG0000125	Syac.g_02360	Prba.g_01089, Prba.g_00821
OG0000126	Syac.g_02488	Prba.g_01788
OG0000128	Syac.g_00012	Prba.g_01804
OG0000129	Syac.g_02349	Prba.g_01838
OG0000130	Syac.g_00450	Prba.g_01857
OG0000131	Syac.g_00330	Prba.g_01933
OG0000132	Syac.g_00310	Prba.g_01952
OG0000133	Syac.g_01178	Prba.g_00538
OG0000134	Syac.g_01985	Prba.g_00851
OG0000135	Syac.g_02398	Prba.g_00877
OG0000136	Syac.g_00701	Prba.g_01020
OG0000137	Syac.g_01700	Prba.g_00986
OG0000138	Syac.g_01888	Prba.g_00966
OG0000139	Syac.g_01830	Prba.g_00924
OG0000140	Syac.g_01829	Prba.g_00923
OG0000141	Syac.g_00934	Prba.g_01710
OG0000142	Syac.g_00979	Prba.g_01682
OG0000143	Syac.g_00983	Prba.g_01678
OG0000144	Syac.g_01090	Prba.g_01665
OG0000145	Syac.g_01882	Prba.g_01541
OG0000146	Syac.g_01172	Prba.g_01533
OG0000147	Syac.g_01171	Prba.g_01532
OG0000148	Syac.g_01320	Prba.g_01483
OG0000149	Syac.g_00832	Prba.g_01452
OG0000150	Syac.g_00935	Prba.g_01444
OG0000151	Syac.g_01383	Prba.g_01385
OG0000152	Syac.g_01182	Prba.g_01337
OG0000153	Syac.g_01217	Prba.g_01318
OG0000154	Syac.g_01241	Prba.g_01290
OG0000155	Syac.g_00804	Prba.g_00043
OG0000156	Syac.g_00743	Prba.g_01181
OG0000157	Syac.g_00742	Prba.g_01182
OG0000158	Syac.g_00182	Prba.g_00154
OG0000160	Syac.g_01633	Prba.g_00712
OG0000161	Syac.g_01641	Prba.g_00706
OG0000162	Syac.g_01648	Prba.g_00700
OG0000163	Syac.g_00619	Prba.g_00341
OG0000164	Syac.g_00508	Prba.g_00596
OG0000165	Syac.g_00674	Prba.g_00589
OG0000166	Syac.g_02132	Prba.g_00393
OG0000167	Syac.g_00194	Prba.g_01069
OG0000168	Syac.g_00179	Prba.g_01079
OG0000169	Syac.g_00168	Prba.g_00761
OG0000170	Syac.g_00161	Prba.g_00763
OG0000171	Syac.g_00136	Prba.g_00783
OG0000172	Syac.g_00084	Prba.g_00792
OG0000173	Syac.g_00057	Prba.g_00807
OG0000174	Syac.g_02401	Prba.g_00835
OG0000175	Syac.g_02465	Prba.g_00845
OG0000176	Syac.g_00004	Prba.g_01797
OG0000177	Syac.g_00005	Prba.g_01798
OG0000178	Syac.g_00006	Prba.g_01799
OG0000179	Syac.g_00019	Prba.g_01809
OG0000180	Syac.g_00020	Prba.g_01810
OG0000181	Syac.g_00021	Prba.g_01811
OG0000182	Syac.g_00022	Prba.g_01812
OG0000183	Syac.g_00026	Prba.g_01816
OG0000184	Syac.g_02339	Prba.g_01840
OG0000185	Syac.g_02336	Prba.g_01843
OG0000186	Syac.g_00454	Prba.g_01852
OG0000187	Syac.g_00453	Prba.g_01853
OG0000188	Syac.g_00433	Prba.g_01870
OG0000189	Syac.g_00408	Prba.g_01884
OG0000190	Syac.g_00406	Prba.g_01885
OG0000191	Syac.g_00373	Prba.g_01905
