Orthogroup	Syaa	Pral
OG0000004	Syaa.g_00892	Pral.g_01743
OG0000004	Syaa.g_01667, Syaa.g_02116	Pral.g_00809
OG0000005	Syaa.g_00573	Pral.g_01075
OG0000006	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Pral.g_00797
OG0000007	Syaa.g_02032	Pral.g_00593
OG0000007	Syaa.g_00551	Pral.g_00107
OG0000008	Syaa.g_00918	Pral.g_00020
OG0000008	Syaa.g_00919	Pral.g_00021
OG0000010	Syaa.g_01843	Pral.g_01832, Pral.g_01848, Pral.g_00618
OG0000013	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212	Pral.g_00712
OG0000014	Syaa.g_00222	Pral.g_00732
OG0000014	Syaa.g_00481	Pral.g_01261
OG0000015	Syaa.g_01079, Syaa.g_01989	Pral.g_01813
OG0000017	Syaa.g_01883	Pral.g_00484
OG0000017	Syaa.g_01890	Pral.g_00491
OG0000018	Syaa.g_01801	Pral.g_01346, Pral.g_01516
OG0000019	Syaa.g_00307	Pral.g_00790, Pral.g_01344
OG0000021	Syaa.g_02627	Pral.g_01738
OG0000022	Syaa.g_01571	Pral.g_00044
OG0000023	Syaa.g_01529, Syaa.g_01216	Pral.g_01687
OG0000024	Syaa.g_00922	Pral.g_01895
OG0000025	Syaa.g_00839	Pral.g_01523
OG0000026	Syaa.g_00038	Pral.g_01012
OG0000027	Syaa.g_01605, Syaa.g_00854	Pral.g_00039, Pral.g_01036
OG0000028	Syaa.g_00205	Pral.g_00719, Pral.g_00053
OG0000029	Syaa.g_01578	Pral.g_01890
OG0000030	Syaa.g_00099, Syaa.g_00098	Pral.g_00316
OG0000031	Syaa.g_00480	Pral.g_01193
OG0000032	Syaa.g_01818	Pral.g_01121
OG0000033	Syaa.g_02478	Pral.g_00874
OG0000034	Syaa.g_00722, Syaa.g_02444	Pral.g_01271
OG0000035	Syaa.g_01773	Pral.g_01165, Pral.g_01161
OG0000037	Syaa.g_02384	Pral.g_00938
OG0000038	Syaa.g_02596	Pral.g_00356
OG0000039	Syaa.g_00846	Pral.g_01755
OG0000041	Syaa.g_00660	Pral.g_00155
OG0000042	Syaa.g_00103	Pral.g_00313
OG0000045	Syaa.g_01560	Pral.g_01322
OG0000046	Syaa.g_02218, Syaa.g_02211, Syaa.g_02205	Pral.g_00711
OG0000047	Syaa.g_02189	Pral.g_00672
OG0000048	Syaa.g_02719, Syaa.g_00275	Pral.g_00768
OG0000050	Syaa.g_01591	Pral.g_01829
OG0000053	Syaa.g_01797	Pral.g_00066, Pral.g_01139
OG0000054	Syaa.g_01691	Pral.g_00482
OG0000055	Syaa.g_00852	Pral.g_01670
OG0000055	Syaa.g_01564	Pral.g_00082
OG0000057	Syaa.g_00889	Pral.g_01740
OG0000058	Syaa.g_00193	Pral.g_01202
OG0000059	Syaa.g_02315	Pral.g_00195
OG0000061	Syaa.g_00770	Pral.g_01367, Pral.g_00639
OG0000062	Syaa.g_00571	Pral.g_01073
OG0000063	Syaa.g_00042	Pral.g_00435
OG0000064	Syaa.g_01284, Syaa.g_02666, Syaa.g_01568, Syaa.g_00579	Pral.g_00980
OG0000065	Syaa.g_02380	Pral.g_00940
OG0000066	Syaa.g_01968	Pral.g_00551
OG0000067	Syaa.g_01154	Pral.g_01488
OG0000068	Syaa.g_02059	Pral.g_01222
OG0000069	Syaa.g_01256	Pral.g_01114, Pral.g_01164
OG0000070	Syaa.g_00718	Pral.g_00643
OG0000071	Syaa.g_00735	Pral.g_01281
OG0000072	Syaa.g_02480	Pral.g_00872
OG0000073	Syaa.g_02030	Pral.g_00591
OG0000074	Syaa.g_00372	Pral.g_01818, Pral.g_01760
OG0000075	Syaa.g_00157	Pral.g_00279
OG0000076	Syaa.g_00123	Pral.g_00305
OG0000077	Syaa.g_00341	Pral.g_00969
OG0000078	Syaa.g_02103	Pral.g_00800
OG0000079	Syaa.g_00303	Pral.g_00787
OG0000081	Syaa.g_02089	Pral.g_00559
OG0000082	Syaa.g_01905	Pral.g_00057
OG0000084	Syaa.g_01770	Pral.g_01169
OG0000085	Syaa.g_00564	Pral.g_00099
OG0000086	Syaa.g_00324	Pral.g_00959
OG0000087	Syaa.g_02433	Pral.g_00906
OG0000088	Syaa.g_02474	Pral.g_00878
OG0000089	Syaa.g_02149	Pral.g_00676
OG0000090	Syaa.g_01980	Pral.g_00557
OG0000091	Syaa.g_01625	Pral.g_01443
OG0000093	Syaa.g_01139	Pral.g_01472
OG0000097	Syaa.g_00979	Pral.g_01416
OG0000099	Syaa.g_00202	Pral.g_01201
OG0000100	Syaa.g_01201	Pral.g_01078
OG0000101	Syaa.g_02249	Pral.g_00243
OG0000102	Syaa.g_00118	Pral.g_00310
OG0000103	Syaa.g_02740	Pral.g_00397
OG0000104	Syaa.g_02754	Pral.g_00406
OG0000105	Syaa.g_00270	Pral.g_00765
OG0000106	Syaa.g_01439	Pral.g_01859
OG0000107	Syaa.g_02351	Pral.g_00171
OG0000108	Syaa.g_02051	Pral.g_00611
OG0000109	Syaa.g_02036	Pral.g_00596
OG0000110	Syaa.g_01918	Pral.g_00513
OG0000111	Syaa.g_00888	Pral.g_01739
OG0000112	Syaa.g_01366	Pral.g_01635
OG0000113	Syaa.g_01196	Pral.g_01511
OG0000114	Syaa.g_01094	Pral.g_01799
OG0000115	Syaa.g_01795	Pral.g_01141
OG0000116	Syaa.g_00757	Pral.g_01356
OG0000117	Syaa.g_01009	Pral.g_01398, Pral.g_01397, Pral.g_01396, Pral.g_01881
OG0000118	Syaa.g_01874	Pral.g_01269
OG0000119	Syaa.g_00785	Pral.g_01861, Pral.g_01063
OG0000120	Syaa.g_00201	Pral.g_00702
OG0000121	Syaa.g_01777	Pral.g_01159
OG0000122	Syaa.g_01598	Pral.g_01116
OG0000123	Syaa.g_02242	Pral.g_00250
OG0000124	Syaa.g_00092	Pral.g_00322
OG0000125	Syaa.g_02598	Pral.g_00358
OG0000126	Syaa.g_02752	Pral.g_00405
OG0000128	Syaa.g_00012	Pral.g_00421
OG0000129	Syaa.g_02586	Pral.g_01000
