Orthogroup	Species	Prbl	Orthologs
OG0000000	Prav	Prbl.g_01582	Prav.g_01466
OG0000000	Prag	Prbl.g_01582	Prag.g_01382
OG0000000	Praw	Prbl.g_01582	Praw.g_01009
OG0000000	Prad	Prbl.g_01582	Prad.g_00601
OG0000000	Prai	Prbl.g_01582	Prai.g_01363
OG0000000	Pras	Prbl.g_01582	Pras.g_00243
OG0000000	Prau	Prbl.g_01582	Prau.g_01402
OG0000000	Prax	Prbl.g_01582	Prax.g_01870
OG0000000	Prbd	Prbl.g_01582	Prbd.g_01771
OG0000000	Pray	Prbl.g_01582	Pray.g_01836
OG0000000	Praz	Prbl.g_01582	Praz.g_01146
OG0000000	Prba	Prbl.g_01582	Prba.g_00203
OG0000000	Prbi	Prbl.g_01582	Prbi.g_01432
OG0000000	Prac	Prbl.g_01582	Prac.g_00210
OG0000000	Praq	Prbl.g_01582	Praq.g_00168
OG0000000	Prar	Prbl.g_01582	Prar.g_00918
OG0000000	Prae	Prbl.g_01582	Prae.g_01361
OG0000000	Praa	Prbl.g_01582	Praa.g_01359
OG0000000	Prao	Prbl.g_01582	Prao.g_01246
OG0000000	Praj	Prbl.g_01582	Praj.g_00832
OG0000000	Prbc	Prbl.g_01582	Prbc.g_01920
OG0000000	Prbb	Prbl.g_01582	Prbb.g_00844
OG0000000	Prbm	Prbl.g_01582	Prbm.g_00874
OG0000000	Prak	Prbl.g_01582	Prak.g_00908, Prak.g_00913
OG0000000	Prap	Prbl.g_01582	Prap.g_00720, Prap.g_00715
OG0000000	Prbe	Prbl.g_01582	Prbe.g_01285, Prbe.g_01290
OG0000000	Prbf	Prbl.g_01582	Prbf.g_01182, Prbf.g_01177
OG0000000	Prbg	Prbl.g_01582	Prbg.g_01222, Prbg.g_01227
OG0000000	Prbn	Prbl.g_01582	Prbn.g_01483, Prbn.g_01478
OG0000000	Pram	Prbl.g_01582	Pram.g_00873, Pram.g_00879
OG0000000	Prbh	Prbl.g_01582	Prbh.g_01016, Prbh.g_01022
OG0000000	Pral	Prbl.g_01582	Pral.g_01549, Pral.g_01554
