Orthogroup	Prap	Syap
OG0000004	Prap.g_01480	Syap.g_01987
OG0000005	Prap.g_00204	Syap.g_01218
OG0000007	Prap.g_01270	Syap.g_00275
OG0000007	Prap.g_01779	Syap.g_00621
OG0000010	Prap.g_00669, Prap.g_00318, Prap.g_01293	Syap.g_02757
OG0000013	Prap.g_01385	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Prap.g_01403	Syap.g_01675
OG0000016	Prap.g_00514	Syap.g_00404
OG0000017	Prap.g_01170	Syap.g_00449
OG0000018	Prap.g_00478, Prap.g_00755	Syap.g_02010
OG0000019	Prap.g_01462, Prap.g_00480	Syap.g_01586
OG0000025	Prap.g_00747	Syap.g_01846
OG0000027	Prap.g_01860, Prap.g_01912	Syap.g_01440
OG0000028	Prap.g_01889	Syap.g_01658
OG0000030	Prap.g_01569	Syap.g_00787, Syap.g_00788
OG0000031	Prap.g_00080	Syap.g_00722
OG0000033	Prap.g_00087, Prap.g_01001	Syap.g_01198
OG0000034	Prap.g_00572	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Prap.g_00121	Syap.g_02465
OG0000037	Prap.g_01067	Syap.g_02492
OG0000038	Prap.g_01530	Syap.g_00139
OG0000039	Prap.g_00814	Syap.g_01749, Syap.g_01748
OG0000042	Prap.g_01572	Syap.g_01891, Syap.g_01120
OG0000043	Prap.g_00477	Syap.g_01998
OG0000045	Prap.g_00500	Syap.g_02525
OG0000046	Prap.g_01384	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973
OG0000048	Prap.g_00548, Prap.g_01439	Syap.g_02340
OG0000051	Prap.g_00611	Syap.g_01574
OG0000053	Prap.g_01834, Prap.g_00142	Syap.g_02006
OG0000054	Prap.g_01161	Syap.g_00678
OG0000059	Prap.g_01691	Syap.g_01082, Syap.g_02478
OG0000061	Prap.g_00456	Syap.g_00228
OG0000062	Prap.g_00206	Syap.g_01220, Syap.g_01365
OG0000063	Prap.g_01903	Syap.g_01796
OG0000066	Prap.g_01230, Prap.g_01867	Syap.g_01972
OG0000067	Prap.g_00783	Syap.g_00194
OG0000068	Prap.g_00059	Syap.g_00108, Syap.g_00144
OG0000070	Prap.g_01316	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000072	Prap.g_00999	Syap.g_00555
OG0000073	Prap.g_01267	Syap.g_00273
OG0000075	Prap.g_01606	Syap.g_01064, Syap.g_00664
OG0000076	Prap.g_01580	Syap.g_01111
OG0000079	Prap.g_01459	Syap.g_01589
OG0000085	Prap.g_01787, Prap.g_01917	Syap.g_00611
OG0000087	Prap.g_01035	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Prap.g_01004	Syap.g_01202
OG0000089	Prap.g_01349	Syap.g_00115, Syap.g_02042
OG0000090	Prap.g_01236	Syap.g_01451
OG0000091	Prap.g_00384	Syap.g_01861
OG0000095	Prap.g_00708	Syap.g_01556
OG0000098	Prap.g_01928	Syap.g_01975
OG0000099	Prap.g_00082	Syap.g_01385
OG0000101	Prap.g_01642	Syap.g_00472
OG0000102	Prap.g_01575	Syap.g_01116
OG0000103	Prap.g_01491	Syap.g_02607, Syap.g_02608
OG0000104	Prap.g_01869	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Prap.g_01436	Syap.g_01369, Syap.g_01368
OG0000107	Prap.g_01714	Syap.g_02496
OG0000108	Prap.g_01287	Syap.g_00733, Syap.g_02255
OG0000109	Prap.g_01273	Syap.g_00279, Syap.g_02237
OG0000110	Prap.g_01194	Syap.g_01313
OG0000111	Prap.g_00798	Syap.g_01566, Syap.g_01568
OG0000112	Prap.g_01121	Syap.g_02023
OG0000113	Prap.g_00760	Syap.g_02714
OG0000114	Prap.g_00858	Syap.g_01255
OG0000115	Prap.g_00525	Syap.g_02004
OG0000116	Prap.g_00467	Syap.g_00241
OG0000117	Prap.g_00429	Syap.g_01889
OG0000118	Prap.g_00574	Syap.g_02286
OG0000120	Prap.g_00079	Syap.g_02075
OG0000121	Prap.g_00123	Syap.g_02471
OG0000123	Prap.g_01635	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Prap.g_01563	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Prap.g_01528	Syap.g_01046, Syap.g_01047
OG0000126	Prap.g_01870	Syap.g_02317, Syap.g_02576, Syap.g_02316
OG0000128	Prap.g_00043	Syap.g_00069
OG0000129	Prap.g_00910	Syap.g_00130, Syap.g_00129
OG0000130	Prap.g_00881	Syap.g_01688, Syap.g_01689
OG0000131	Prap.g_01026	Syap.g_02189
OG0000132	Prap.g_01006	Syap.g_01205
OG0000133	Prap.g_01389	Syap.g_02017
OG0000134	Prap.g_01347	Syap.g_02047
OG0000135	Prap.g_00543	Syap.g_02090
OG0000136	Prap.g_01325	Syap.g_00089
OG0000137	Prap.g_01292	Syap.g_02756
OG0000138	Prap.g_01272	Syap.g_00278
OG0000139	Prap.g_01232	Syap.g_00410
OG0000140	Prap.g_01231	Syap.g_01976
OG0000141	Prap.g_01160	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Prap.g_00392	Syap.g_00895, Syap.g_00894
OG0000143	Prap.g_00388	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Prap.g_00374	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Prap.g_00545	Syap.g_01860, Syap.g_01859
OG0000146	Prap.g_01122	Syap.g_02024
OG0000147	Prap.g_01123	Syap.g_02025
OG0000148	Prap.g_00766	Syap.g_02720
OG0000149	Prap.g_00734	Syap.g_00824
OG0000150	Prap.g_00724	Syap.g_01540
OG0000151	Prap.g_00848	Syap.g_00142
OG0000152	Prap.g_00257	Syap.g_02012
OG0000153	Prap.g_00276	Syap.g_02682
OG0000154	Prap.g_00296	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Prap.g_00435	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Prap.g_00550	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Prap.g_00551	Syap.g_00249, Syap.g_00286
OG0000158	Prap.g_01598	Syap.g_01075
OG0000159	Prap.g_00890	Syap.g_00852
OG0000160	Prap.g_00122	Syap.g_02470, Syap.g_02469
OG0000161	Prap.g_00128	Syap.g_02476
OG0000162	Prap.g_00134	Syap.g_02531
OG0000164	Prap.g_01754	Syap.g_01391, Syap.g_01392
OG0000165	Prap.g_01747	Syap.g_01381, Syap.g_01382
OG0000166	Prap.g_01680	Syap.g_00512, Syap.g_01238
OG0000167	Prap.g_01608	Syap.g_02080
