Orthogroup	Pral	Pray
OG0000000	Pral.g_01331	Pray.g_01888
OG0000000	Pral.g_00037	Pray.g_01576, Pray.g_01603
OG0000001	Pral.g_01296	Pray.g_00247, Pray.g_00246
OG0000002	Pral.g_01549, Pral.g_01554	Pray.g_01836
OG0000002	Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052, Pral.g_01764	Pray.g_01085
OG0000004	Pral.g_01743	Pray.g_01068
OG0000004	Pral.g_00809	Pray.g_00713
OG0000005	Pral.g_01075	Pray.g_01646
OG0000006	Pral.g_00797	Pray.g_00722
OG0000007	Pral.g_00593	Pray.g_00988, Pray.g_00987
OG0000007	Pral.g_00107	Pray.g_01559
OG0000008	Pral.g_00020	Pray.g_01931
OG0000009	Pral.g_01065, Pral.g_01163	Pray.g_01920
OG0000010	Pral.g_01832, Pral.g_01848, Pral.g_00618	Pray.g_00964
OG0000011	Pral.g_00064	Pray.g_01930
OG0000012	Pral.g_00015	Pray.g_01140
OG0000013	Pral.g_00712	Pray.g_00805
OG0000014	Pral.g_00732	Pray.g_00784
OG0000014	Pral.g_01261	Pray.g_01792
OG0000015	Pral.g_01813	Pray.g_00309
OG0000017	Pral.g_00491	Pray.g_01165
OG0000018	Pral.g_01346	Pray.g_00083
OG0000018	Pral.g_01516	Pray.g_00375
OG0000019	Pral.g_00790	Pray.g_00730
OG0000019	Pral.g_01344	Pray.g_00328
OG0000020	Pral.g_01038	Pray.g_00120
OG0000021	Pral.g_01667	Pray.g_01578, Pray.g_00842
OG0000022	Pral.g_00044	Pray.g_00304
OG0000023	Pral.g_01687	Pray.g_00838
OG0000024	Pral.g_01895	Pray.g_00289
OG0000025	Pral.g_01523	Pray.g_00383, Pray.g_00809
OG0000026	Pral.g_01012	Pray.g_01493, Pray.g_00599
OG0000027	Pral.g_01036	Pray.g_00960, Pray.g_01887
OG0000028	Pral.g_00719	Pray.g_00798
OG0000028	Pral.g_00053	Pray.g_01935
OG0000029	Pral.g_01890	Pray.g_00296
OG0000030	Pral.g_00316	Pray.g_01374
OG0000031	Pral.g_01193	Pray.g_01806
OG0000033	Pral.g_00874	Pray.g_00650
OG0000034	Pral.g_01271	Pray.g_01860
OG0000035	Pral.g_01161	Pray.g_01722
OG0000037	Pral.g_00938	Pray.g_00180
OG0000038	Pral.g_00356	Pray.g_01415
OG0000039	Pral.g_01755	Pray.g_01077
OG0000042	Pral.g_00313	Pray.g_01371
OG0000043	Pral.g_01347	Pray.g_00420
OG0000044	Pral.g_01888	Pray.g_00002
OG0000045	Pral.g_01322	Pray.g_00849
OG0000047	Pral.g_00672	Pray.g_00897
OG0000048	Pral.g_00768	Pray.g_00852
OG0000050	Pral.g_01829	Pray.g_00883
OG0000053	Pral.g_00066, Pral.g_01139	Pray.g_01702
OG0000054	Pral.g_00482	Pray.g_01157
OG0000055	Pral.g_01670	Pray.g_00329
OG0000056	Pral.g_01041	Pray.g_01942
OG0000057	Pral.g_01740	Pray.g_01065
OG0000058	Pral.g_01202	Pray.g_01786
OG0000059	Pral.g_00195	Pray.g_01258, Pray.g_01761
OG0000061	Pral.g_01367	Pray.g_00064
OG0000062	Pral.g_01073	Pray.g_01644
OG0000065	Pral.g_00940	Pray.g_00182
OG0000066	Pral.g_00551	Pray.g_01222
OG0000067	Pral.g_01488	Pray.g_00348
OG0000068	Pral.g_01222	Pray.g_01829
OG0000069	Pral.g_01114, Pral.g_01164	Pray.g_01609
OG0000070	Pral.g_00643	Pray.g_00940
OG0000071	Pral.g_01281	Pray.g_01870
OG0000072	Pral.g_00872	Pray.g_00652
OG0000073	Pral.g_00591	Pray.g_00990
OG0000074	Pral.g_01760	Pray.g_01081
