Orthogroup	Syal	Syas
OG0000001	Syal.g_00874, Syal.g_01184	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000004	Syal.g_01809	Syas.g_00176
OG0000004	Syal.g_02718	Syas.g_00174, Syas.g_00311
OG0000004	Syal.g_00691	Syas.g_00072
OG0000005	Syal.g_00606	Syas.g_02665
OG0000005	Syal.g_00565	Syas.g_02704
OG0000006	Syal.g_00674	Syas.g_01684, Syas.g_02565
OG0000007	Syal.g_02918	Syas.g_01232
OG0000007	Syal.g_00587	Syas.g_02681
OG0000008	Syal.g_02512	Syas.g_00886
OG0000008	Syal.g_01783	Syas.g_00887
OG0000009	Syal.g_00818	Syas.g_01450
OG0000010	Syal.g_00464	Syas.g_01334
OG0000014	Syal.g_01305	Syas.g_01816
OG0000015	Syal.g_02210, Syal.g_01183	Syas.g_02007
OG0000016	Syal.g_00111	Syas.g_02048
OG0000016	Syal.g_01734	Syas.g_01086
OG0000017	Syal.g_02745	Syas.g_00856
OG0000017	Syal.g_02752	Syas.g_00849
OG0000018	Syal.g_00410	Syas.g_01290
OG0000019	Syal.g_01209	Syas.g_01696
OG0000022	Syal.g_02587	Syas.g_02758
OG0000025	Syal.g_02459	Syas.g_00231
OG0000026	Syal.g_00132	Syas.g_02070
OG0000027	Syal.g_02543	Syas.g_01480
OG0000028	Syal.g_01319	Syas.g_01793
OG0000030	Syal.g_01511	Syas.g_01644
OG0000030	Syal.g_01512	Syas.g_01645
OG0000031	Syal.g_01404, Syal.g_01432	Syas.g_01827
OG0000033	Syal.g_00912	Syas.g_02328
OG0000034	Syal.g_00881, Syal.g_01586	Syas.g_02371, Syas.g_02838
OG0000035	Syal.g_00020, Syal.g_00370	Syas.g_02814, Syas.g_02818
OG0000037	Syal.g_00824	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Syal.g_01071	Syas.g_01885
OG0000038	Syal.g_01073	Syas.g_01887
OG0000040	Syal.g_01149	Syas.g_01972
OG0000040	Syal.g_01187	Syas.g_02028
OG0000042	Syal.g_01705, Syal.g_01508	Syas.g_01121, Syas.g_02147
OG0000044	Syal.g_01853, Syal.g_01847	Syas.g_00894, Syas.g_02453
OG0000048	Syal.g_01250	Syas.g_01734
OG0000051	Syal.g_01550	Syas.g_01445
OG0000053	Syal.g_00406	Syas.g_01287
OG0000054	Syal.g_02739	Syas.g_00961
OG0000054	Syal.g_02098	Syas.g_00957
OG0000058	Syal.g_01326	Syas.g_01151
OG0000060	Syal.g_02214	Syas.g_00975
OG0000061	Syal.g_01653	Syas.g_01184
OG0000062	Syal.g_00567	Syas.g_02702
OG0000062	Syal.g_02113	Syas.g_00070
OG0000063	Syal.g_00136	Syas.g_02074
OG0000064	Syal.g_02544	Syas.g_02423
OG0000064	Syal.g_01681	Syas.g_00946
OG0000065	Syal.g_00820, Syal.g_02528	Syas.g_02420
OG0000066	Syal.g_02828	Syas.g_00094
OG0000067	Syal.g_02414	Syas.g_00596
OG0000068	Syal.g_02888	Syas.g_00969, Syas.g_01261
OG0000070	Syal.g_00509	Syas.g_00173
OG0000071	Syal.g_02099	Syas.g_02854
OG0000072	Syal.g_00914	Syas.g_02326
OG0000073	Syal.g_02920	Syas.g_01230
OG0000075	Syal.g_01350	Syas.g_01921, Syas.g_02194
OG0000076	Syal.g_01459	Syas.g_02156
OG0000077	Syal.g_00506	Syas.g_02510
OG0000078	Syal.g_00680	Syas.g_02308
OG0000079	Syal.g_01213	Syas.g_01699
OG0000080	Syal.g_01394	Syas.g_02616, Syas.g_02149
OG0000081	Syal.g_02555	Syas.g_00391
OG0000082	Syal.g_02769	Syas.g_00837
OG0000085	Syal.g_00575	Syas.g_02695
OG0000086	Syal.g_00784	Syas.g_02470
OG0000087	Syal.g_00871	Syas.g_02374
OG0000089	Syal.g_00555	Syas.g_01512
OG0000090	Syal.g_02838	Syas.g_00062
OG0000091	Syal.g_02628	Syas.g_00907, Syas.g_00146
OG0000092	Syal.g_00470	Syas.g_00900, Syas.g_00877
OG0000094	Syal.g_01907	Syas.g_00208
OG0000095	Syal.g_01823	Syas.g_01021
OG0000097	Syal.g_01553	Syas.g_01443
OG0000098	Syal.g_02196	Syas.g_00091
OG0000099	Syal.g_01323	Syas.g_01826
OG0000100	Syal.g_02448	Syas.g_00567
OG0000102	Syal.g_01488	Syas.g_02152, Syas.g_01395
OG0000103	Syal.g_01897	Syas.g_02009
OG0000104	Syal.g_00092	Syas.g_02027, Syas.g_02026
OG0000105	Syal.g_01255	Syas.g_01739
OG0000106	Syal.g_02577	Syas.g_01451
OG0000107	Syal.g_00194	Syas.g_01669
OG0000108	Syal.g_02897	Syas.g_01253
OG0000109	Syal.g_02913	Syas.g_01236
OG0000110	Syal.g_02782	Syas.g_00818
OG0000111	Syal.g_01813	Syas.g_01037
OG0000112	Syal.g_02000	Syas.g_00452
OG0000113	Syal.g_02443	Syas.g_00571
OG0000114	Syal.g_02286	Syas.g_00674
OG0000115	Syal.g_00404	Syas.g_02548, Syas.g_01285
OG0000116	Syal.g_01630	Syas.g_01198, Syas.g_00317
OG0000117	Syal.g_01704	Syas.g_01122
OG0000118	Syal.g_01583	Syas.g_02835
OG0000120	Syal.g_01324	Syas.g_01828
OG0000121	Syal.g_00374	Syas.g_02821
OG0000122	Syal.g_02602	Syas.g_00393
OG0000123	Syal.g_00283	Syas.g_01582
OG0000124	Syal.g_01519	Syas.g_02137
OG0000125	Syal.g_01075	Syas.g_01889
OG0000126	Syal.g_00090	Syas.g_01992
OG0000127	Syal.g_00720	Syas.g_02540
OG0000128	Syal.g_00109	Syas.g_02046
OG0000129	Syal.g_01062	Syas.g_01880
OG0000130	Syal.g_00751	Syas.g_02522
OG0000131	Syal.g_00886	Syas.g_02367
OG0000132	Syal.g_00906	Syas.g_02334
OG0000133	Syal.g_01995	Syas.g_00457
OG0000134	Syal.g_00552	Syas.g_01509
OG0000135	Syal.g_01119	Syas.g_01938
OG0000136	Syal.g_00520	Syas.g_02740
OG0000137	Syal.g_00463	Syas.g_01333
OG0000138	Syal.g_02914	Syas.g_01235
OG0000140	Syal.g_02830	Syas.g_00090
OG0000141	Syal.g_02738	Syas.g_00875
OG0000142	Syal.g_02636	Syas.g_00746
OG0000143	Syal.g_02632	Syas.g_00742
OG0000144	Syal.g_02515	Syas.g_00718
OG0000145	Syal.g_02921	Syas.g_00948
OG0000146	Syal.g_02001	Syas.g_00451
OG0000147	Syal.g_02002	Syas.g_00450
OG0000148	Syal.g_02437	Syas.g_00577
OG0000149	Syal.g_02475	Syas.g_00282
OG0000150	Syal.g_02737	Syas.g_00874
OG0000151	Syal.g_02263	Syas.g_00148, Syas.g_00659
OG0000152	Syal.g_01991	Syas.g_00461
OG0000153	Syal.g_01958	Syas.g_00543
OG0000154	Syal.g_01918	Syas.g_00219
OG0000155	Syal.g_01695	Syas.g_01131
OG0000156	Syal.g_01620	Syas.g_01206
OG0000157	Syal.g_01619	Syas.g_01207
OG0000158	Syal.g_01431	Syas.g_02185
OG0000159	Syal.g_01400	Syas.g_01155
