Orthogroup	Syaj	Syad
OG0000001	Syaj.g_02674	Syad.g_00628
OG0000001	Syaj.g_01948	Syad.g_02863
OG0000001	Syaj.g_01947	Syad.g_02862
OG0000001	Syaj.g_01949, Syaj.g_01952	Syad.g_02864
OG0000001	Syaj.g_01950	Syad.g_02865
OG0000001	Syaj.g_02660	Syad.g_01238, Syad.g_00611
OG0000002	Syaj.g_02667	Syad.g_00619
OG0000004	Syaj.g_00441	Syad.g_01304
OG0000004	Syaj.g_01314	Syad.g_02184
OG0000004	Syaj.g_02853	Syad.g_00810
OG0000005	Syaj.g_01736	Syad.g_02639
OG0000005	Syaj.g_00404	Syad.g_01265
OG0000005	Syaj.g_01698	Syad.g_02596
OG0000005	Syaj.g_01155	Syad.g_02028
OG0000006	Syaj.g_02635	Syad.g_00588, Syad.g_00829
OG0000007	Syaj.g_00091	Syad.g_00923
OG0000007	Syaj.g_01721	Syad.g_02623
OG0000008	Syaj.g_00497	Syad.g_01371
OG0000009	Syaj.g_01069	Syad.g_01952
OG0000009	Syaj.g_01885	Syad.g_02799
OG0000010	Syaj.g_01445	Syad.g_02354
OG0000011	Syaj.g_01133	Syad.g_02006
OG0000011	Syaj.g_01780	Syad.g_02680
OG0000012	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831	Syad.g_01702
OG0000012	Syaj.g_00172	Syad.g_01579, Syad.g_01008
OG0000012	Syaj.g_01306	Syad.g_02176
OG0000013	Syaj.g_02782	Syad.g_00737
OG0000013	Syaj.g_02769	Syad.g_00724
OG0000013	Syaj.g_02774	Syad.g_00729
OG0000014	Syaj.g_02522	Syad.g_00480
OG0000015	Syaj.g_02242	Syad.g_00142
OG0000015	Syaj.g_00725	Syad.g_01600, Syad.g_01601
OG0000016	Syaj.g_02276	Syad.g_00176
OG0000016	Syaj.g_00590	Syad.g_01460
OG0000016	Syaj.g_01191	Syad.g_02065
OG0000017	Syaj.g_00255	Syad.g_01091
OG0000017	Syaj.g_00248	Syad.g_01084
OG0000018	Syaj.g_01413	Syad.g_02306
OG0000019	Syaj.g_02613	Syad.g_00569
OG0000021	Syaj.g_00042	Syad.g_00874
OG0000022	Syaj.g_01220	Syad.g_02090
OG0000023	Syaj.g_00829	Syad.g_01701
OG0000023	Syaj.g_01791	Syad.g_01583
OG0000024	Syaj.g_00500	Syad.g_01374
OG0000025	Syaj.g_00383	Syad.g_01241
OG0000026	Syaj.g_02298	Syad.g_00198
OG0000027	Syaj.g_00396	Syad.g_01257
OG0000028	Syaj.g_02506	Syad.g_00463
OG0000029	Syaj.g_01229	Syad.g_02099
OG0000030	Syaj.g_02396	Syad.g_00328
OG0000030	Syaj.g_02395	Syad.g_00327
OG0000031	Syaj.g_02501	Syad.g_00458
OG0000032	Syaj.g_01432	Syad.g_02326
OG0000033	Syaj.g_01990	Syad.g_02903
OG0000034	Syaj.g_01959	Syad.g_02420, Syad.g_02872
OG0000035	Syaj.g_01378	Syad.g_02275
OG0000037	Syaj.g_01891	Syad.g_02805
OG0000038	Syaj.g_02115	Syad.g_03038
