Orthogroup	Prbf	Syad
OG0000001	Prbf.g_00068, Prbf.g_00831	Syad.g_00628
OG0000002	Prbf.g_01182, Prbf.g_01177, Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260, Prbf.g_01285	Syad.g_00619
OG0000004	Prbf.g_01264	Syad.g_01304
OG0000004	Prbf.g_01570	Syad.g_02184, Syad.g_00810
OG0000005	Prbf.g_00240	Syad.g_02596
OG0000006	Prbf.g_01580	Syad.g_00588, Syad.g_00829
OG0000007	Prbf.g_01780	Syad.g_00923
OG0000007	Prbf.g_00693	Syad.g_02623
OG0000008	Prbf.g_00792	Syad.g_01371
OG0000009	Prbf.g_00252	Syad.g_01952, Syad.g_00868
OG0000010	Prbf.g_00847, Prbf.g_01056, Prbf.g_01757	Syad.g_02354
OG0000011	Prbf.g_00347	Syad.g_02680
OG0000012	Prbf.g_00272	Syad.g_01702
OG0000012	Prbf.g_01905	Syad.g_02176
OG0000013	Prbf.g_01665	Syad.g_00737, Syad.g_00724, Syad.g_00729
OG0000014	Prbf.g_01647	Syad.g_00480
OG0000015	Prbf.g_00754, Prbf.g_00708	Syad.g_01600, Syad.g_01601
OG0000016	Prbf.g_00860	Syad.g_01460, Syad.g_02065
OG0000017	Prbf.g_01887	Syad.g_01091
OG0000017	Prbf.g_01880	Syad.g_01084
OG0000018	Prbf.g_00896, Prbf.g_01217	Syad.g_02306
OG0000019	Prbf.g_01588, Prbf.g_00894	Syad.g_00569
OG0000020	Prbf.g_00264, Prbf.g_00811	Syad.g_00845
OG0000021	Prbf.g_01259	Syad.g_00874
OG0000022	Prbf.g_00248	Syad.g_02090
OG0000023	Prbf.g_00287	Syad.g_01701, Syad.g_02337, Syad.g_01583
OG0000024	Prbf.g_01052, Prbf.g_01288	Syad.g_01374
OG0000025	Prbf.g_01209	Syad.g_01241
OG0000026	Prbf.g_01354	Syad.g_00198
OG0000027	Prbf.g_00774, Prbf.g_00817	Syad.g_01257
OG0000028	Prbf.g_00794	Syad.g_00463
OG0000029	Prbf.g_00603, Prbf.g_00804, Prbf.g_00762	Syad.g_02099
OG0000030	Prbf.g_00484	Syad.g_00328, Syad.g_00327
OG0000031	Prbf.g_00116	Syad.g_00294
OG0000032	Prbf.g_00196	Syad.g_02326
OG0000033	Prbf.g_00123	Syad.g_00289
OG0000033	Prbf.g_01503	Syad.g_02903
OG0000034	Prbf.g_00015	Syad.g_02420, Syad.g_02872
OG0000035	Prbf.g_00157	Syad.g_02275
OG0000037	Prbf.g_01437	Syad.g_02805
OG0000038	Prbf.g_00445	Syad.g_03038
OG0000039	Prbf.g_01276	Syad.g_01249, Syad.g_01111
OG0000041	Prbf.g_00646	Syad.g_02498
OG0000042	Prbf.g_00487	Syad.g_00333
OG0000043	Prbf.g_00897	Syad.g_02119
OG0000046	Prbf.g_01666	Syad.g_00723, Syad.g_00730, Syad.g_00736
OG0000047	Prbf.g_01707	Syad.g_00754
OG0000048	Prbf.g_00039, Prbf.g_01611	Syad.g_00534
OG0000050	Prbf.g_00845	Syad.g_02114
OG0000052	Prbf.g_00135	Syad.g_00434
OG0000053	Prbf.g_00748, Prbf.g_00178	Syad.g_02302
OG0000054	Prbf.g_01889	Syad.g_02209
OG0000055	Prbf.g_00869	Syad.g_01255
OG0000057	Prbf.g_01261	Syad.g_01301
OG0000058	Prbf.g_00117	Syad.g_00452
OG0000059	Prbf.g_00606	Syad.g_00642
OG0000061	Prbf.g_00918	Syad.g_01152
OG0000062	Prbf.g_00242	Syad.g_02598
OG0000063	Prbf.g_00808	Syad.g_00202
OG0000064	Prbf.g_01394	Syad.g_00873, Syad.g_00081, Syad.g_02125
OG0000065	Prbf.g_01435	Syad.g_02574, Syad.g_02801
OG0000066	Prbf.g_01820, Prbf.g_00781	Syad.g_00992
OG0000067	Prbf.g_01245	Syad.g_01889
OG0000068	Prbf.g_00095	Syad.g_00891
OG0000070	Prbf.g_01734	Syad.g_02424
OG0000071	Prbf.g_00026	Syad.g_02405
OG0000072	Prbf.g_01505	Syad.g_02905
OG0000073	Prbf.g_01783	Syad.g_00926
OG0000075	Prbf.g_00522	Syad.g_00416
OG0000076	Prbf.g_00496	Syad.g_00348
OG0000077	Prbf.g_01405	Syad.g_02741
OG0000078	Prbf.g_01578	Syad.g_00824
OG0000079	Prbf.g_01591	Syad.g_00565
OG0000081	Prbf.g_01812	Syad.g_00833
OG0000082	Prbf.g_01867, Prbf.g_00704	Syad.g_01063
OG0000084	Prbf.g_00154	Syad.g_02272
OG0000085	Prbf.g_00701, Prbf.g_00822	Syad.g_02612
OG0000086	Prbf.g_01414	Syad.g_02770
OG0000087	Prbf.g_01469	Syad.g_02860
OG0000088	Prbf.g_01500	Syad.g_02899
OG0000089	Prbf.g_01701	Syad.g_00785, Syad.g_02829
