Orthogroup	Prac	Syat
OG0000001	Prac.g_00202	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878
OG0000005	Prac.g_00612	Syat.g_03065
OG0000005	Prac.g_00335	Syat.g_03105
OG0000006	Prac.g_01689	Syat.g_00371, Syat.g_01439, Syat.g_01865
OG0000007	Prac.g_00874	Syat.g_03191
OG0000007	Prac.g_00625	Syat.g_03124
OG0000008	Prac.g_00904	Syat.g_02626
OG0000009	Prac.g_01826	Syat.g_01567
OG0000010	Prac.g_01592, Prac.g_01248	Syat.g_01372
OG0000012	Prac.g_00748	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143
OG0000013	Prac.g_01604	Syat.g_01625, Syat.g_01016, Syat.g_01027
OG0000014	Prac.g_01625	Syat.g_02104
OG0000015	Prac.g_00898	Syat.g_00775, Syat.g_01677
OG0000016	Prac.g_01934	Syat.g_02329
OG0000017	Prac.g_00773	Syat.g_00015
OG0000018	Prac.g_01004	Syat.g_01334
OG0000019	Prac.g_01681, Prac.g_01496	Syat.g_01876
OG0000021	Prac.g_01169	Syat.g_00964
OG0000022	Prac.g_01022	Syat.g_00210
OG0000024	Prac.g_01525, Prac.g_00696	Syat.g_03394
OG0000025	Prac.g_01600, Prac.g_01441	Syat.g_00719
OG0000026	Prac.g_01916, Prac.g_01241	Syat.g_02306
OG0000027	Prac.g_01074	Syat.g_00850
OG0000028	Prac.g_00145, Prac.g_01611	Syat.g_02126
OG0000030	Prac.g_00050	Syat.g_00307, Syat.g_00308
OG0000031	Prac.g_00249	Syat.g_02131, Syat.g_03199, Syat.g_02243
OG0000032	Prac.g_00242	Syat.g_02237
OG0000034	Prac.g_00185	Syat.g_01165, Syat.g_02902
OG0000035	Prac.g_00411	Syat.g_01227, Syat.g_01226
OG0000037	Prac.g_01822	Syat.g_01575, Syat.g_00849, Syat.g_00187
