Orthogroup	Species	Praa	Orthologs
OG0000000	Praf	Praa.g_01300	Praf.g_00815, Praf.g_00814
OG0000000	Prah	Praa.g_01300	Prah.g_01346, Prah.g_01347
OG0000000	Prbj	Praa.g_01300	Prbj.g_00166, Prbj.g_00165
OG0000000	Prbk	Praa.g_01300	Prbk.g_00167, Prbk.g_00166
OG0000000	Prbl	Praa.g_01300	Prbl.g_00118, Prbl.g_00117
OG0000000	Syab	Praa.g_01300	Syab.g_01226
OG0000000	Syal	Praa.g_01300	Syal.g_01111, Syal.g_01832
OG0000000	Pral	Praa.g_01300	Pral.g_01331
OG0000000	Prat	Praa.g_01300	Prat.g_00680, Prat.g_01191
OG0000000	Praj	Praa.g_01300	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308
OG0000000	Prbb	Praa.g_01300	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400
OG0000000	Prbm	Praa.g_01300	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000000	Prbc	Praa.g_01300	Prbc.g_02163, Prbc.g_00103
OG0000000	Pram	Praa.g_01300	Pram.g_01561
OG0000000	Prbh	Praa.g_01300	Prbh.g_01853
OG0000000	Prai	Praa.g_01300	Prai.g_00905, Prai.g_01772
OG0000000	Prab	Praa.g_01300	Prab.g_00915, Prab.g_01617
OG0000000	Pran	Praa.g_01300	Pran.g_00582
OG0000000	Prag	Praa.g_01300	Prag.g_01647, Prag.g_00719, Prag.g_01335
OG0000000	Praw	Praa.g_01300	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000000	Prad	Praa.g_01300	Prad.g_00352
OG0000000	Prav	Praa.g_01300	Prav.g_01736, Prav.g_01415
OG0000000	Prac	Praa.g_01300	Prac.g_00159
OG0000000	Praq	Praa.g_01300	Praq.g_00117
OG0000000	Prar	Praa.g_01300	Prar.g_00971
OG0000000	Prae	Praa.g_01300	Prae.g_01310
OG0000000	Prao	Praa.g_01300	Prao.g_01294
