Orthogroup	Prbi	Other
OG0000038	Prbi.g_01467	Prbm.g_00391
OG0000071	Prbi.g_01330	Pral.g_01881
OG0000132	Prbi.g_01503	Prap.g_00748
OG0000132	Prbi.g_01503	Prbf.g_01210
OG0000132	Prbi.g_01503	Prbg.g_01194
OG0000132	Prbi.g_01503	Prbe.g_01257
OG0000132	Prbi.g_01503	Prak.g_00880
OG0000132	Prbi.g_01503	Prbn.g_01511
OG0000132	Prbi.g_01503	Pram.g_00843
OG0000132	Prbi.g_01503	Prbh.g_00987
OG0000132	Prbi.g_01503	Prbm.g_00848
OG0000132	Prbi.g_01503	Praj.g_00804
OG0000132	Prbi.g_01503	Prbb.g_00817
OG0000132	Prbi.g_01503	Prbc.g_01893
OG0000132	Prbi.g_01503	Prah.g_00605
OG0000132	Prbi.g_01503	Praf.g_01590
OG0000132	Prbi.g_01503	Prbk.g_02530
OG0000132	Prbi.g_01503	Prbj.g_02474
OG0000132	Prbi.g_01503	Prbl.g_01538
OG0000148	Prbi.g_01482	Prbm.g_01792
OG0000148	Prbi.g_01482	Prbb.g_01768
OG0000148	Prbi.g_01482	Praj.g_01714
OG0000148	Prbi.g_01482	Prbc.g_00790
OG0000157	Prbi.g_02011	Prah.g_00116
OG0001269	Prbi.g_01522	Prbg.g_00862
OG0001269	Prbi.g_01522	Prbf.g_01418
OG0001269	Prbi.g_01522	Prap.g_01086
OG0001269	Prbi.g_01522	Prbe.g_01632
OG0001269	Prbi.g_01522	Prbn.g_01329
OG0001269	Prbi.g_01522	Prak.g_00096
OG0001269	Prbi.g_01522	Pram.g_00076
OG0001269	Prbi.g_01522	Prbh.g_00691
OG0001269	Prbi.g_01522	Prah.g_01880
OG0001269	Prbi.g_01522	Praf.g_00261
OG0001269	Prbi.g_01522	Prbj.g_00603
OG0001269	Prbi.g_01522	Prbl.g_00569
OG0001269	Prbi.g_01522	Prbk.g_00028
OG0001269	Prbi.g_01522	Prat.g_01269
OG0001269	Prbi.g_01522	Pral.g_00955
OG0001422	Prbi.g_01760	Prbm.g_01281
OG0001556	Prbi.g_01469	Prba.g_00141
