Orthogroup	Syal	Syad
OG0000001	Syal.g_02215	Syad.g_02864
OG0000001	Syal.g_00874, Syal.g_01184	Syad.g_02865
OG0000003	Syal.g_02153	Syad.g_01998, Syad.g_02748, Syad.g_02240, Syad.g_01927, Syad.g_01929, Syad.g_02601, Syad.g_01996
OG0000004	Syal.g_01809	Syad.g_01304
OG0000004	Syal.g_02718	Syad.g_02184
OG0000004	Syal.g_00691	Syad.g_00810
OG0000005	Syal.g_00606	Syad.g_02639
OG0000005	Syal.g_00565	Syad.g_02596
OG0000005	Syal.g_01664	Syad.g_02028
OG0000006	Syal.g_02611	Syad.g_02130
OG0000006	Syal.g_00674	Syad.g_00588, Syad.g_00829
OG0000007	Syal.g_02918	Syad.g_00923
OG0000007	Syal.g_00587	Syad.g_02623
OG0000008	Syal.g_01783	Syad.g_01371
OG0000009	Syal.g_02089	Syad.g_01952, Syad.g_00868
OG0000009	Syal.g_00818	Syad.g_02799
OG0000010	Syal.g_00464	Syad.g_02354
OG0000011	Syal.g_00702	Syad.g_02680
OG0000012	Syal.g_02535, Syal.g_01639	Syad.g_01579, Syad.g_01008
OG0000013	Syal.g_00315	Syad.g_00729
OG0000013	Syal.g_00322	Syad.g_00737
OG0000013	Syal.g_00310	Syad.g_00724
OG0000014	Syal.g_01305	Syad.g_00480
OG0000015	Syal.g_02210, Syal.g_01183	Syad.g_00142
OG0000016	Syal.g_00111	Syad.g_00176
OG0000016	Syal.g_01734	Syad.g_01460
OG0000017	Syal.g_02752	Syad.g_01084
OG0000017	Syal.g_02745	Syad.g_01091
OG0000018	Syal.g_00410	Syad.g_02306
OG0000019	Syal.g_01209	Syad.g_00569
OG0000022	Syal.g_02587	Syad.g_02090
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Syad.g_01583
OG0000024	Syal.g_02597	Syad.g_01374
OG0000025	Syal.g_02459	Syad.g_01241
OG0000026	Syal.g_00132	Syad.g_00198
OG0000027	Syal.g_02543	Syad.g_01257
OG0000028	Syal.g_01319	Syad.g_00463
OG0000029	Syal.g_03014	Syad.g_02099
OG0000030	Syal.g_01511	Syad.g_00328
OG0000030	Syal.g_01512	Syad.g_00327
OG0000031	Syal.g_01404, Syal.g_01432	Syad.g_00458
OG0000032	Syal.g_00428	Syad.g_02326
OG0000033	Syal.g_00912	Syad.g_02903
OG0000034	Syal.g_00881, Syal.g_01586	Syad.g_02420, Syad.g_02872
OG0000035	Syal.g_00370, Syal.g_00020	Syad.g_02275
OG0000038	Syal.g_01071	Syad.g_03038
OG0000039	Syal.g_01097	Syad.g_01111
OG0000040	Syal.g_01149	Syad.g_00104
OG0000041	Syal.g_00649	Syad.g_02498, Syad.g_01281
OG0000042	Syal.g_01705, Syal.g_01508	Syad.g_00333
OG0000043	Syal.g_02547	Syad.g_02119
OG0000044	Syal.g_01853, Syal.g_01847	Syad.g_02214
OG0000045	Syal.g_01563	Syad.g_00964
OG0000046	Syal.g_00316	Syad.g_00730
OG0000046	Syal.g_00321	Syad.g_00736
OG0000046	Syal.g_00309	Syad.g_00723
OG0000047	Syal.g_01568	Syad.g_00754
OG0000048	Syal.g_01250	Syad.g_00534
OG0000050	Syal.g_01549	Syad.g_02478
OG0000051	Syal.g_01550	Syad.g_00842
OG0000051	Syal.g_03018	Syad.g_01967
OG0000052	Syal.g_01338	Syad.g_00434
OG0000053	Syal.g_00406	Syad.g_02302
OG0000055	Syal.g_01845	Syad.g_01255
OG0000057	Syal.g_01812	Syad.g_01301
OG0000058	Syal.g_01326	Syad.g_00452
OG0000059	Syal.g_00225	Syad.g_00642
OG0000060	Syal.g_00480	Syad.g_02370
OG0000060	Syal.g_02895	Syad.g_00899
OG0000060	Syal.g_02214	Syad.g_01508
OG0000061	Syal.g_01653	Syad.g_01152
OG0000062	Syal.g_00567	Syad.g_02598
OG0000063	Syal.g_00136	Syad.g_00202
OG0000064	Syal.g_01115	Syad.g_00873
OG0000064	Syal.g_02544	Syad.g_00081, Syad.g_02125
OG0000065	Syal.g_02528	Syad.g_02574
OG0000067	Syal.g_02414	Syad.g_01889
OG0000068	Syal.g_02888	Syad.g_00891
OG0000070	Syal.g_00509	Syad.g_02424
OG0000071	Syal.g_01601	Syad.g_02405
OG0000072	Syal.g_00914	Syad.g_02905
OG0000073	Syal.g_02920	Syad.g_00926
OG0000075	Syal.g_01350	Syad.g_00416
OG0000076	Syal.g_01459	Syad.g_00348
OG0000077	Syal.g_00763, Syal.g_00506	Syad.g_02741
OG0000078	Syal.g_00680	Syad.g_00824
OG0000079	Syal.g_01213	Syad.g_00565
OG0000080	Syal.g_01394	Syad.g_02935, Syad.g_02256
OG0000081	Syal.g_02555	Syad.g_00833
OG0000082	Syal.g_02769	Syad.g_01063
OG0000084	Syal.g_01896	Syad.g_02272
OG0000085	Syal.g_00575	Syad.g_02612
OG0000086	Syal.g_00784	Syad.g_02770
OG0000087	Syal.g_00871	Syad.g_02860
OG0000088	Syal.g_00908	Syad.g_02899
OG0000089	Syal.g_00555	Syad.g_00785, Syad.g_02829
OG0000090	Syal.g_02838	Syad.g_00977
OG0000091	Syal.g_02628	Syad.g_02144
OG0000092	Syal.g_00470	Syad.g_01190
OG0000093	Syal.g_02233	Syad.g_01905
OG0000094	Syal.g_01907	Syad.g_01676
OG0000095	Syal.g_01823	Syad.g_01290
