Orthogroup	Prac	Praa
OG0000000	Prac.g_00159	Praa.g_01300
OG0000000	Prac.g_00277	Praa.g_01235
OG0000000	Prac.g_00292	Praa.g_01598
OG0000000	Prac.g_00293, Prac.g_00926	Praa.g_01597
OG0000000	Prac.g_00290	Praa.g_01298
OG0000001	Prac.g_00202	Praa.g_01351
OG0000001	Prac.g_00924	Praa.g_01220, Praa.g_01222
OG0000002	Prac.g_00210	Praa.g_01359
OG0000002	Prac.g_00693	Praa.g_00678
OG0000004	Prac.g_00676	Praa.g_00695
OG0000004	Prac.g_01698	Praa.g_00232
OG0000005	Prac.g_00612	Praa.g_01648
OG0000005	Prac.g_00335	Praa.g_01553
OG0000006	Prac.g_01689	Praa.g_00241, Praa.g_01245
OG0000007	Prac.g_00874	Praa.g_00497
OG0000007	Prac.g_00625	Praa.g_01635
OG0000008	Prac.g_00904	Praa.g_01241
OG0000008	Prac.g_00699	Praa.g_00672
OG0000009	Prac.g_00301	Praa.g_01589
OG0000009	Prac.g_01826	Praa.g_00105
OG0000010	Prac.g_01070	Praa.g_00474
OG0000010	Prac.g_01248	Praa.g_01047
OG0000011	Prac.g_00152	Praa.g_01288
OG0000011	Prac.g_00142	Praa.g_01626
OG0000012	Prac.g_00748	Praa.g_00623
OG0000013	Prac.g_01604	Praa.g_00327
OG0000014	Prac.g_01625	Praa.g_00306
OG0000016	Prac.g_01934	Praa.g_00013
OG0000017	Prac.g_00773	Praa.g_00598
OG0000018	Prac.g_01448	Praa.g_00831
OG0000018	Prac.g_01004	Praa.g_01141
OG0000019	Prac.g_01681	Praa.g_00249
OG0000019	Prac.g_01496	Praa.g_00782
OG0000020	Prac.g_01037	Praa.g_01107
OG0000021	Prac.g_01169	Praa.g_00364
OG0000022	Prac.g_01022	Praa.g_01124
OG0000022	Prac.g_01510	Praa.g_00763
OG0000023	Prac.g_01174	Praa.g_00359
OG0000024	Prac.g_01525	Praa.g_00747
OG0000024	Prac.g_00696	Praa.g_00675
OG0000025	Prac.g_01600	Praa.g_00331
OG0000025	Prac.g_01441	Praa.g_00839
OG0000026	Prac.g_01916	Praa.g_00031
OG0000026	Prac.g_01241	Praa.g_01054
OG0000027	Prac.g_01074	Praa.g_00470
OG0000028	Prac.g_00145	Praa.g_01248
OG0000028	Prac.g_01611	Praa.g_00320
OG0000029	Prac.g_01158	Praa.g_00374
OG0000030	Prac.g_00050	Praa.g_01842
OG0000033	Prac.g_01761	Praa.g_00169
OG0000034	Prac.g_00185	Praa.g_01328
OG0000035	Prac.g_00411	Praa.g_01476
OG0000037	Prac.g_01822	Praa.g_00109
OG0000038	Prac.g_00090	Praa.g_01883
OG0000039	Prac.g_00685	Praa.g_00686
OG0000040	Prac.g_00279	Praa.g_01618
OG0000040	Prac.g_01005	Praa.g_01140
OG0000041	Prac.g_00579	Praa.g_01683
OG0000042	Prac.g_00048	Praa.g_01839
OG0000043	Prac.g_01405	Praa.g_00876
OG0000045	Prac.g_01162	Praa.g_00370
OG0000047	Prac.g_01601	Praa.g_00330
OG0000048	Prac.g_01159	Praa.g_00373
OG0000049	Prac.g_01149	Praa.g_00382
OG0000049	Prac.g_01954	Praa.g_01256
OG0000050	Prac.g_01220	Praa.g_01075
OG0000053	Prac.g_00391	Praa.g_01496
OG0000054	Prac.g_00765	Praa.g_00606
OG0000055	Prac.g_01495	Praa.g_00783
OG0000057	Prac.g_00673	Praa.g_00698
OG0000058	Prac.g_00258, Prac.g_00434	Praa.g_01425
OG0000059	Prac.g_00500	Praa.g_01723
OG0000061	Prac.g_00985	Praa.g_01159
OG0000062	Prac.g_00333	Praa.g_01555
OG0000063	Prac.g_01913	Praa.g_00033
OG0000065	Prac.g_01824	Praa.g_00107
OG0000066	Prac.g_00833	Praa.g_00539
OG0000068	Prac.g_00217	Praa.g_01366
OG0000069	Prac.g_00890, Prac.g_00300	Praa.g_01590
OG0000070	Prac.g_01097	Praa.g_00449
OG0000071	Prac.g_00175	Praa.g_01318
OG0000072	Prac.g_01759	Praa.g_00171
OG0000073	Prac.g_00872	Praa.g_00499
OG0000074	Prac.g_00689	Praa.g_00682
OG0000075	Prac.g_00017	Praa.g_01808
OG0000076	Prac.g_00041	Praa.g_01832
OG0000077	Prac.g_01853	Praa.g_00078
OG0000078	Prac.g_01691	Praa.g_00239
OG0000081	Prac.g_00841	Praa.g_00531
OG0000082	Prac.g_00788	Praa.g_00585
OG0000083	Prac.g_01529	Praa.g_00742
OG0000083	Prac.g_01536	Praa.g_00735
OG0000084	Prac.g_00415	Praa.g_01472
OG0000085	Prac.g_00632	Praa.g_01628
OG0000086	Prac.g_01843	Praa.g_00088
OG0000087	Prac.g_01792	Praa.g_00139
OG0000088	Prac.g_01764	Praa.g_00166
OG0000089	Prac.g_01178	Praa.g_00355
OG0000090	Prac.g_00839	Praa.g_00533
OG0000091	Prac.g_00729	Praa.g_00642
OG0000092	Prac.g_01379	Praa.g_00912
OG0000093	Prac.g_01359	Praa.g_00932
OG0000094	Prac.g_01275	Praa.g_01020
OG0000095	Prac.g_01256	Praa.g_01039
OG0000096	Prac.g_01035	Praa.g_01110
OG0000096	Prac.g_00139	Praa.g_01280
OG0000097	Prac.g_00944	Praa.g_01200
OG0000098	Prac.g_00199	Praa.g_01348
OG0000099	Prac.g_00256	Praa.g_01394
OG0000100	Prac.g_00337	Praa.g_01551
OG0000101	Prac.g_00548	Praa.g_01775
OG0000102	Prac.g_00046	Praa.g_01837
OG0000103	Prac.g_00123	Praa.g_01916
OG0000104	Prac.g_00131	Praa.g_01924
OG0000105	Prac.g_01657	Praa.g_00274
OG0000106	Prac.g_01163	Praa.g_00369
OG0000107	Prac.g_01148	Praa.g_00383
OG0000108	Prac.g_01064	Praa.g_00480
OG0000109	Prac.g_01050	Praa.g_00494
OG0000110	Prac.g_00798	Praa.g_00575
OG0000111	Prac.g_00672	Praa.g_00699
OG0000112	Prac.g_01507	Praa.g_00766
OG0000113	Prac.g_01453	Praa.g_00826
OG0000114	Prac.g_01384	Praa.g_00907
OG0000115	Prac.g_01040	Praa.g_01101
OG0000116	Prac.g_00995	Praa.g_01150
OG0000117	Prac.g_01955	Praa.g_01255
OG0000118	Prac.g_00187	Praa.g_01330
OG0000119	Prac.g_00213	Praa.g_01362
OG0000120	Prac.g_00248	Praa.g_01387
OG0000121	Prac.g_00409	Praa.g_01478
OG0000122	Prac.g_00371	Praa.g_01516
OG0000123	Prac.g_00554	Praa.g_01782
OG0000124	Prac.g_00056	Praa.g_01848
OG0000125	Prac.g_00092	Praa.g_01885
OG0000126	Prac.g_00130	Praa.g_01923
