Orthogroup	Syal	Prar
OG0000000	Syal.g_01111, Syal.g_01832	Prar.g_00971, Prar.g_00713, Prar.g_00729, Prar.g_00730, Prar.g_01204, Prar.g_00973, Prar.g_00727
OG0000001	Syal.g_02193	Prar.g_00926, Prar.g_01202, Prar.g_01203
OG0000004	Syal.g_01809	Prar.g_01525
OG0000004	Syal.g_02718, Syal.g_00691	Prar.g_00095
OG0000005	Syal.g_00606	Prar.g_01130
OG0000005	Syal.g_00565	Prar.g_00771
OG0000006	Syal.g_00674	Prar.g_00086
OG0000007	Syal.g_02918	Prar.g_01328
OG0000007	Syal.g_00587	Prar.g_01143
OG0000008	Syal.g_02512	Prar.g_01185
OG0000009	Syal.g_02089	Prar.g_00737
OG0000009	Syal.g_00818	Prar.g_00223
OG0000010	Syal.g_00464	Prar.g_01567, Prar.g_01912, Prar.g_00524
OG0000012	Syal.g_02535, Syal.g_01639	Prar.g_01453
OG0000013	Syal.g_00322, Syal.g_00310, Syal.g_00315	Prar.g_00260
OG0000014	Syal.g_01305	Prar.g_00281
OG0000016	Syal.g_00111	Prar.g_00025
OG0000017	Syal.g_02752	Prar.g_01428
OG0000018	Syal.g_00410	Prar.g_01282, Prar.g_01711
OG0000019	Syal.g_01209	Prar.g_00078, Prar.g_01663
OG0000022	Syal.g_02587	Prar.g_01649, Prar.g_01300
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Prar.g_00420
OG0000024	Syal.g_02597	Prar.g_01634, Prar.g_01505
OG0000025	Syal.g_02459	Prar.g_01718, Prar.g_00256
OG0000026	Syal.g_00132	Prar.g_00007, Prar.g_01919
OG0000027	Syal.g_02543	Prar.g_00520
OG0000028	Syal.g_01319	Prar.g_00267, Prar.g_00985
OG0000029	Syal.g_03014	Prar.g_00436
OG0000030	Syal.g_01511, Syal.g_01512	Prar.g_00662
OG0000032	Syal.g_00183	Prar.g_00886
OG0000033	Syal.g_00912	Prar.g_00158
OG0000034	Syal.g_00881, Syal.g_01586	Prar.g_00945
OG0000035	Syal.g_00370	Prar.g_00339
OG0000037	Syal.g_00824	Prar.g_00219
OG0000038	Syal.g_01071, Syal.g_01073	Prar.g_00702
OG0000039	Syal.g_01097	Prar.g_01516
OG0000040	Syal.g_01187	Prar.g_00715
OG0000041	Syal.g_00649	Prar.g_00602
OG0000042	Syal.g_01705, Syal.g_01508	Prar.g_00660
OG0000043	Syal.g_02183	Prar.g_01755
OG0000044	Syal.g_01853	Prar.g_01172
OG0000045	Syal.g_01563	Prar.g_01583
OG0000047	Syal.g_01568	Prar.g_00468, Prar.g_00257
OG0000048	Syal.g_01250	Prar.g_00435
OG0000053	Syal.g_00406	Prar.g_00589, Prar.g_00827
OG0000054	Syal.g_02739	Prar.g_01436
OG0000055	Syal.g_01845	Prar.g_01664
OG0000056	Syal.g_02054	Prar.g_00932
OG0000057	Syal.g_01812	Prar.g_01528
OG0000058	Syal.g_01326	Prar.g_00870, Prar.g_00362
OG0000059	Syal.g_00225	Prar.g_01090
OG0000061	Syal.g_01653	Prar.g_01263
OG0000062	Syal.g_02113	Prar.g_00769
OG0000063	Syal.g_00136	Prar.g_00004, Prar.g_00005, Prar.g_01189
OG0000065	Syal.g_00820, Syal.g_02528	Prar.g_00221
OG0000066	Syal.g_02828	Prar.g_01369
OG0000067	Syal.g_02414	Prar.g_01684
OG0000068	Syal.g_02888	Prar.g_00911
OG0000070	Syal.g_00509	Prar.g_00498
OG0000071	Syal.g_01601	Prar.g_00955
OG0000072	Syal.g_00914	Prar.g_00156
OG0000073	Syal.g_02920	Prar.g_01330
OG0000075	Syal.g_01350	Prar.g_00629
OG0000076	Syal.g_01459	Prar.g_00592, Prar.g_00653
OG0000077	Syal.g_00763	Prar.g_00250
OG0000078	Syal.g_00680	Prar.g_00088
OG0000081	Syal.g_02555	Prar.g_01361
OG0000082	Syal.g_02769	Prar.g_01414
OG0000084	Syal.g_00023	Prar.g_00343
OG0000085	Syal.g_00575	Prar.g_01150
OG0000086	Syal.g_00784	Prar.g_00240
OG0000087	Syal.g_00871	Prar.g_00189
OG0000088	Syal.g_00908	Prar.g_00161
OG0000089	Syal.g_00555	Prar.g_00416
OG0000090	Syal.g_02838	Prar.g_01363
OG0000091	Syal.g_02628	Prar.g_01472
OG0000092	Syal.g_00470	Prar.g_01781, Prar.g_00615
OG0000094	Syal.g_01907	Prar.g_01885
OG0000097	Syal.g_01735, Syal.g_01553	Prar.g_01222
OG0000098	Syal.g_02196	Prar.g_00929
OG0000099	Syal.g_01323	Prar.g_00872
OG0000100	Syal.g_02448	Prar.g_00773
OG0000101	Syal.g_00275	Prar.g_01027
OG0000102	Syal.g_01488	Prar.g_00658
OG0000103	Syal.g_01897, Syal.g_00077	Prar.g_00050
OG0000104	Syal.g_00092	Prar.g_00042
OG0000105	Syal.g_01255	Prar.g_00313
OG0000106	Syal.g_02577	Prar.g_00431
OG0000107	Syal.g_00194	Prar.g_00446
OG0000108	Syal.g_02897	Prar.g_00530
OG0000109	Syal.g_02913	Prar.g_00544
OG0000110	Syal.g_02782	Prar.g_01404
OG0000111	Syal.g_01813	Prar.g_01529
OG0000112	Syal.g_02000	Prar.g_01652
OG0000113	Syal.g_02443	Prar.g_01706
OG0000114	Syal.g_02286	Prar.g_01776
OG0000115	Syal.g_00404	Prar.g_01318
OG0000116	Syal.g_01630	Prar.g_01273
OG0000117	Syal.g_01704	Prar.g_01003
OG0000118	Syal.g_01583	Prar.g_00943
OG0000119	Syal.g_02056	Prar.g_00915
OG0000120	Syal.g_01324	Prar.g_00880
OG0000121	Syal.g_00374	Prar.g_00337
OG0000122	Syal.g_02602	Prar.g_00807
OG0000123	Syal.g_00283	Prar.g_01021
OG0000124	Syal.g_01519	Prar.g_00668
OG0000125	Syal.g_01075	Prar.g_00704
OG0000126	Syal.g_00090	Prar.g_00043
OG0000128	Syal.g_00109	Prar.g_00027
OG0000129	Syal.g_01062	Prar.g_00576
OG0000130	Syal.g_00751	Prar.g_00549
OG0000131	Syal.g_00886	Prar.g_00182
OG0000132	Syal.g_00906	Prar.g_00163
OG0000133	Syal.g_01995	Prar.g_00265
OG0000134	Syal.g_00552	Prar.g_00417
OG0000135	Syal.g_01119	Prar.g_00444
OG0000136	Syal.g_00520	Prar.g_00489
OG0000137	Syal.g_00463	Prar.g_00525
OG0000138	Syal.g_02914	Prar.g_00545
OG0000139	Syal.g_02832	Prar.g_01367
OG0000140	Syal.g_02830	Prar.g_01368
OG0000141	Syal.g_02738	Prar.g_01437
OG0000142	Syal.g_02636	Prar.g_01465
OG0000143	Syal.g_02632	Prar.g_01469
OG0000144	Syal.g_02515	Prar.g_01482
OG0000145	Syal.g_02921	Prar.g_01651
OG0000146	Syal.g_02001	Prar.g_01653
OG0000147	Syal.g_02002	Prar.g_01654
OG0000148	Syal.g_02437	Prar.g_01700
OG0000149	Syal.g_02475	Prar.g_01730
OG0000150	Syal.g_02737	Prar.g_01738
OG0000151	Syal.g_02263	Prar.g_01786
OG0000152	Syal.g_01991	Prar.g_01833
OG0000153	Syal.g_01958	Prar.g_01852
OG0000154	Syal.g_01918	Prar.g_01878
OG0000155	Syal.g_01695	Prar.g_01243
OG0000156	Syal.g_01620	Prar.g_00966
OG0000157	Syal.g_01619	Prar.g_00965
OG0000158	Syal.g_01431	Prar.g_00375
