Orthogroup	Syaa	Prbn
OG0000004	Syaa.g_00892	Prbn.g_01565
OG0000004	Syaa.g_01667, Syaa.g_02116	Prbn.g_00318
OG0000005	Syaa.g_00573	Prbn.g_00899
OG0000006	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Prbn.g_00308
OG0000007	Syaa.g_02032	Prbn.g_00617
OG0000007	Syaa.g_00551	Prbn.g_01745
OG0000008	Syaa.g_00918	Prbn.g_01645
OG0000008	Syaa.g_00919	Prbn.g_01646
OG0000010	Syaa.g_01843	Prbn.g_01939, Prbn.g_01357, Prbn.g_00640
OG0000012	Syaa.g_01660	Prbn.g_00492
OG0000013	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212	Prbn.g_00092
OG0000014	Syaa.g_00222	Prbn.g_00074
OG0000015	Syaa.g_01079, Syaa.g_01989	Prbn.g_01684, Prbn.g_01730
OG0000016	Syaa.g_00981, Syaa.g_01481	Prbn.g_01131
OG0000017	Syaa.g_01883	Prbn.g_00510
OG0000017	Syaa.g_01890	Prbn.g_00517
OG0000018	Syaa.g_01801	Prbn.g_01167, Prbn.g_01518
OG0000019	Syaa.g_00307	Prbn.g_00015, Prbn.g_01165
OG0000021	Syaa.g_02627	Prbn.g_01560
OG0000022	Syaa.g_01571	Prbn.g_00891
OG0000023	Syaa.g_01529, Syaa.g_01216	Prbn.g_01030
OG0000024	Syaa.g_00922	Prbn.g_01353, Prbn.g_01589
OG0000025	Syaa.g_00839	Prbn.g_01510
OG0000026	Syaa.g_00038	Prbn.g_00750
OG0000027	Syaa.g_01605, Syaa.g_00854	Prbn.g_01664, Prbn.g_00139
OG0000028	Syaa.g_00205	Prbn.g_01644
OG0000029	Syaa.g_01578	Prbn.g_01836, Prbn.g_00126, Prbn.g_01676
OG0000030	Syaa.g_00099, Syaa.g_00098	Prbn.g_00985
OG0000031	Syaa.g_00480	Prbn.g_00171
OG0000032	Syaa.g_01818	Prbn.g_00251
OG0000033	Syaa.g_00485	Prbn.g_00178
OG0000033	Syaa.g_02478	Prbn.g_01244
OG0000034	Syaa.g_00722, Syaa.g_02444	Prbn.g_01073
OG0000035	Syaa.g_01773	Prbn.g_00212
OG0000037	Syaa.g_02384	Prbn.g_01310
OG0000038	Syaa.g_02596	Prbn.g_00946
OG0000039	Syaa.g_00846	Prbn.g_01577
OG0000041	Syaa.g_00660	Prbn.g_01793
OG0000042	Syaa.g_00103	Prbn.g_00988
OG0000045	Syaa.g_01560	Prbn.g_01145
OG0000046	Syaa.g_02218, Syaa.g_02211, Syaa.g_02205	Prbn.g_00093
OG0000047	Syaa.g_02189	Prbn.g_00690
OG0000048	Syaa.g_02719, Syaa.g_00275	Prbn.g_01097, Prbn.g_00038
OG0000050	Syaa.g_01591	Prbn.g_01937
OG0000052	Syaa.g_00174	Prbn.g_00190
