Orthogroup	Prav	Pras
OG0000000	Prav.g_01466	Pras.g_00243
OG0000000	Prav.g_01276	Pras.g_01554
OG0000001	Prav.g_01694	Pras.g_00117
OG0000001	Prav.g_01821	Pras.g_00117
OG0000001	Prav.g_01694	Pras.g_00469
OG0000001	Prav.g_01821	Pras.g_00469
OG0000002	Prav.g_01458	Pras.g_00235
OG0000002	Prav.g_01734	Pras.g_00118, Pras.g_00120
OG0000003	Prav.g_01698	Pras.g_00471
OG0000003	Prav.g_01019	Pras.g_00136
OG0000003	Prav.g_01413	Pras.g_00182
OG0000004	Prav.g_00330	Pras.g_01631
OG0000004	Prav.g_00338	Pras.g_01638
OG0000005	Prav.g_00973	Pras.g_00493
OG0000005	Prav.g_01695	Pras.g_00470
OG0000006	Prav.g_01095	Pras.g_01375
OG0000006	Prav.g_01761	Pras.g_00550
OG0000007	Prav.g_01270	Pras.g_01548
OG0000008	Prav.g_01000	Pras.g_01237
OG0000008	Prav.g_01016	Pras.g_00151
OG0000009	Prav.g_00375	Pras.g_01681
OG0000009	Prav.g_01896	Pras.g_01101
OG0000010	Prav.g_01400	Pras.g_00163
OG0000011	Prav.g_01976	Pras.g_01182
OG0000012	Prav.g_01194	Pras.g_01474
OG0000013	Prav.g_00961, Prav.g_00363	Pras.g_00127
OG0000014	Prav.g_01416	Pras.g_00185
OG0000015	Prav.g_00998	Pras.g_01235
OG0000016	Prav.g_01469	Pras.g_00246
OG0000017	Prav.g_01598	Pras.g_00370
OG0000018	Prav.g_02001	Pras.g_00148, Pras.g_01093
OG0000019	Prav.g_00984	Pras.g_01218, Pras.g_00507
OG0000020	Prav.g_00993	Pras.g_01227
OG0000021	Prav.g_00377	Pras.g_01683
OG0000022	Prav.g_01736, Prav.g_01415	Pras.g_00184
OG0000023	Prav.g_01688	Pras.g_00463, Pras.g_00157
OG0000024	Prav.g_01952	Pras.g_01158
OG0000026	Prav.g_00101	Pras.g_00875
OG0000027	Prav.g_00333	Pras.g_01634
OG0000027	Prav.g_01309	Pras.g_00440
OG0000028	Prav.g_01578	Pras.g_00350
OG0000029	Prav.g_01689	Pras.g_00464
OG0000029	Prav.g_01881	Pras.g_00538
OG0000031	Prav.g_01410	Pras.g_00179
OG0000033	Prav.g_00081, Prav.g_01385	Pras.g_00855
OG0000034	Prav.g_01533	Pras.g_00285
OG0000036	Prav.g_01182	Pras.g_01462
OG0000037	Prav.g_01221	Pras.g_01499
OG0000038	Prav.g_00360	Pras.g_01662
OG0000039	Prav.g_00872	Pras.g_01017
OG0000040	Prav.g_00979	Pras.g_01213
OG0000041	Prav.g_01022	Pras.g_01296
OG0000042	Prav.g_00306	Pras.g_01606
OG0000043	Prav.g_00381	Pras.g_01686
OG0000044	Prav.g_00065	Pras.g_00056
OG0000045	Prav.g_01512	Pras.g_00291
OG0000046	Prav.g_01754	Pras.g_00543
OG0000047	Prav.g_00689	Pras.g_00743
OG0000048	Prav.g_00696	Pras.g_00750
OG0000050	Prav.g_01324	Pras.g_00873
OG0000051	Prav.g_00881	Pras.g_01008
OG0000052	Prav.g_00989	Pras.g_01223
OG0000053	Prav.g_01137	Pras.g_01416
OG0000054	Prav.g_01325	Pras.g_01656
OG0000055	Prav.g_00419	Pras.g_01723
OG0000056	Prav.g_00021	Pras.g_00011
OG0000057	Prav.g_00801	Pras.g_01089
OG0000058	Prav.g_01073	Pras.g_01353
OG0000059	Prav.g_01296	Pras.g_01574
OG0000060	Prav.g_00335	Pras.g_01636
OG0000061	Prav.g_00576	Pras.g_01880
OG0000062	Prav.g_00033	Pras.g_00023
OG0000063	Prav.g_01390	Pras.g_00150
OG0000064	Prav.g_01729	Pras.g_00504
OG0000065	Prav.g_01438	Pras.g_00209
OG0000066	Prav.g_01513	Pras.g_00273, Pras.g_00271, Pras.g_00272, Pras.g_00330
OG0000067	Prav.g_01334	Pras.g_00142
OG0000068	Prav.g_00632	Pras.g_00687
OG0000069	Prav.g_01499	Pras.g_00326
OG0000070	Prav.g_01421	Pras.g_00191, Pras.g_00881
OG0000071	Prav.g_00079	Pras.g_00853
OG0000072	Prav.g_01968	Pras.g_01174
OG0000073	Prav.g_01267	Pras.g_01545
OG0000074	Prav.g_01289	Pras.g_01567
OG0000075	Prav.g_00404	Pras.g_01708
OG0000076	Prav.g_00933	Pras.g_01934
OG0000078	Prav.g_01514	Pras.g_00294
OG0000079	Prav.g_01656, Prav.g_01551	Pras.g_00431
OG0000080	Prav.g_01705	Pras.g_00477
OG0000081	Prav.g_00663	Pras.g_00717
OG0000082	Prav.g_00751	Pras.g_00131, Pras.g_00806
OG0000083	Prav.g_00789	Pras.g_00845
OG0000084	Prav.g_00792	Pras.g_00848
OG0000085	Prav.g_00091	Pras.g_00865
OG0000086	Prav.g_00110	Pras.g_00892
OG0000087	Prav.g_00120	Pras.g_00902
OG0000088	Prav.g_00178	Pras.g_00964
OG0000089	Prav.g_00186	Pras.g_00972
OG0000090	Prav.g_00204	Pras.g_00990
OG0000091	Prav.g_00869	Pras.g_01020
OG0000092	Prav.g_00868	Pras.g_01021
OG0000093	Prav.g_00854	Pras.g_01035
OG0000094	Prav.g_00836	Pras.g_01053
OG0000095	Prav.g_00831	Pras.g_01058, Pras.g_01059
OG0000096	Prav.g_01898	Pras.g_01103
OG0000097	Prav.g_01920	Pras.g_01126
OG0000098	Prav.g_01930	Pras.g_01136
OG0000099	Prav.g_01940	Pras.g_01145
OG0000100	Prav.g_01943	Pras.g_01148
OG0000101	Prav.g_00976	Pras.g_01210
OG0000102	Prav.g_00999	Pras.g_01236
OG0000103	Prav.g_01074	Pras.g_01354
OG0000104	Prav.g_01078	Pras.g_01358
OG0000105	Prav.g_01097	Pras.g_01377
OG0000106	Prav.g_01130	Pras.g_01409
OG0000107	Prav.g_01131	Pras.g_01410
OG0000108	Prav.g_00954, Prav.g_01141	Pras.g_01420
OG0000109	Prav.g_01150	Pras.g_01429
OG0000110	Prav.g_01166	Pras.g_01445
OG0000111	Prav.g_01249	Pras.g_01527
OG0000112	Prav.g_01250	Pras.g_01528
OG0000113	Prav.g_00328	Pras.g_01628
OG0000114	Prav.g_00395	Pras.g_01699
OG0000115	Prav.g_00556	Pras.g_01859
OG0000116	Prav.g_00560	Pras.g_01863
OG0000117	Prav.g_00930	Pras.g_01931
OG0000118	Prav.g_00261	Pras.g_01982
OG0000119	Prav.g_00036	Pras.g_00026
OG0000120	Prav.g_00071	Pras.g_00062
OG0000121	Prav.g_01856	Pras.g_00081
OG0000122	Prav.g_01837, Prav.g_00955	Pras.g_00101
OG0000123	Prav.g_01824	Pras.g_00114
OG0000124	Prav.g_02003	Pras.g_00122
OG0000125	Prav.g_01450	Pras.g_00221, Pras.g_00222
OG0000126	Prav.g_01473	Pras.g_00250
OG0000127	Prav.g_01565	Pras.g_00337
OG0000128	Prav.g_01579	Pras.g_00351
OG0000129	Prav.g_01615	Pras.g_00388
OG0000130	Prav.g_01759	Pras.g_00548
OG0000131	Prav.g_01797	Pras.g_00586
OG0000132	Prav.g_01800	Pras.g_00589
OG0000133	Prav.g_00591	Pras.g_00646
OG0000134	Prav.g_00627	Pras.g_00682
OG0000135	Prav.g_00629	Pras.g_00684
OG0000136	Prav.g_00674	Pras.g_00728
OG0000137	Prav.g_00706	Pras.g_00761
OG0000138	Prav.g_00741	Pras.g_00797
OG0000139	Prav.g_00768	Pras.g_00824
OG0000140	Prav.g_00787	Pras.g_00843
OG0000141	Prav.g_00788	Pras.g_00844
OG0000142	Prav.g_00790	Pras.g_00846
OG0000143	Prav.g_00791	Pras.g_00847
OG0000144	Prav.g_00793	Pras.g_00849
OG0000145	Prav.g_00794	Pras.g_00850
OG0000146	Prav.g_00795	Pras.g_00851
OG0000147	Prav.g_00078	Pras.g_00852
OG0000148	Prav.g_00080	Pras.g_00854
OG0000149	Prav.g_00082	Pras.g_00856
OG0000150	Prav.g_00083	Pras.g_00857
OG0000151	Prav.g_00084	Pras.g_00858
OG0000152	Prav.g_00085	Pras.g_00859
OG0000153	Prav.g_00086	Pras.g_00860
OG0000154	Prav.g_00087	Pras.g_00861
OG0000155	Prav.g_00088	Pras.g_00862
OG0000156	Prav.g_00089	Pras.g_00863
OG0000157	Prav.g_00090	Pras.g_00864
OG0000158	Prav.g_00092	Pras.g_00866
OG0000159	Prav.g_00093	Pras.g_00867
OG0000160	Prav.g_00094	Pras.g_00868
OG0000161	Prav.g_00095	Pras.g_00869
OG0000162	Prav.g_00096	Pras.g_00870
OG0000163	Prav.g_00097	Pras.g_00871
OG0000164	Prav.g_00100	Pras.g_00874
OG0000165	Prav.g_00103	Pras.g_00877
OG0000166	Prav.g_00104	Pras.g_00878
OG0000167	Prav.g_00105	Pras.g_00879
OG0000168	Prav.g_00111	Pras.g_00893
OG0000169	Prav.g_00113	Pras.g_00895
OG0000170	Prav.g_00114	Pras.g_00896
OG0000171	Prav.g_00115	Pras.g_00897
OG0000172	Prav.g_00116	Pras.g_00898
OG0000173	Prav.g_00117	Pras.g_00899
OG0000174	Prav.g_00118	Pras.g_00900
OG0000175	Prav.g_00119	Pras.g_00901
OG0000176	Prav.g_00121	Pras.g_00903
OG0000177	Prav.g_00122	Pras.g_00904
OG0000178	Prav.g_00123	Pras.g_00905
OG0000179	Prav.g_00129	Pras.g_00916
OG0000180	Prav.g_00130	Pras.g_00917
OG0000181	Prav.g_00131	Pras.g_00918
OG0000182	Prav.g_00134	Pras.g_00921
OG0000183	Prav.g_00135	Pras.g_00922
OG0000184	Prav.g_00138	Pras.g_00924
OG0000185	Prav.g_00142	Pras.g_00928
OG0000186	Prav.g_00143	Pras.g_00929
OG0000187	Prav.g_00144	Pras.g_00930
OG0000188	Prav.g_00145	Pras.g_00931
OG0000189	Prav.g_00146	Pras.g_00932
OG0000190	Prav.g_00147	Pras.g_00933
OG0000191	Prav.g_00148	Pras.g_00934
OG0000192	Prav.g_00149	Pras.g_00935
OG0000193	Prav.g_00150	Pras.g_00936
OG0000194	Prav.g_00151	Pras.g_00937
OG0000195	Prav.g_00153	Pras.g_00939
OG0000196	Prav.g_00154	Pras.g_00940
OG0000197	Prav.g_00155	Pras.g_00941
OG0000198	Prav.g_00156	Pras.g_00942
OG0000199	Prav.g_00159	Pras.g_00945
OG0000200	Prav.g_00160	Pras.g_00946
OG0000201	Prav.g_00161	Pras.g_00947
OG0000202	Prav.g_00162	Pras.g_00948
OG0000203	Prav.g_00163	Pras.g_00949
OG0000204	Prav.g_00164	Pras.g_00950
OG0000205	Prav.g_00165	Pras.g_00951
OG0000206	Prav.g_00166	Pras.g_00952
OG0000207	Prav.g_00167	Pras.g_00953
OG0000208	Prav.g_00168	Pras.g_00954
OG0000209	Prav.g_00169	Pras.g_00955
OG0000210	Prav.g_00171	Pras.g_00957
OG0000211	Prav.g_00172	Pras.g_00958
OG0000212	Prav.g_00173	Pras.g_00959
OG0000213	Prav.g_00174	Pras.g_00960
OG0000214	Prav.g_00176	Pras.g_00962
OG0000215	Prav.g_00177	Pras.g_00963
OG0000216	Prav.g_00179	Pras.g_00965
OG0000217	Prav.g_00180	Pras.g_00966
OG0000218	Prav.g_00181	Pras.g_00967
OG0000219	Prav.g_00182	Pras.g_00968
OG0000220	Prav.g_00185	Pras.g_00971
OG0000221	Prav.g_00187	Pras.g_00973
OG0000222	Prav.g_00188	Pras.g_00974
OG0000223	Prav.g_00189	Pras.g_00975
OG0000224	Prav.g_00192	Pras.g_00978
OG0000225	Prav.g_00194	Pras.g_00980
OG0000226	Prav.g_00195	Pras.g_00981
OG0000227	Prav.g_00196	Pras.g_00982
OG0000228	Prav.g_00197	Pras.g_00983
OG0000229	Prav.g_00198	Pras.g_00984
OG0000230	Prav.g_00199	Pras.g_00985
OG0000231	Prav.g_00201	Pras.g_00987
OG0000232	Prav.g_00202	Pras.g_00988
OG0000233	Prav.g_00205	Pras.g_00991
OG0000234	Prav.g_00207	Pras.g_00993
OG0000235	Prav.g_00212	Pras.g_00996
OG0000236	Prav.g_00213	Pras.g_00997
OG0000237	Prav.g_00214	Pras.g_00998
OG0000238	Prav.g_00215	Pras.g_00999
OG0000239	Prav.g_00216	Pras.g_01000
OG0000240	Prav.g_00887	Pras.g_01002
OG0000241	Prav.g_00886	Pras.g_01003
OG0000242	Prav.g_00885	Pras.g_01004
OG0000243	Prav.g_00884	Pras.g_01005
OG0000244	Prav.g_00883	Pras.g_01006
OG0000245	Prav.g_00882	Pras.g_01007
OG0000246	Prav.g_00880	Pras.g_01009
OG0000247	Prav.g_00879	Pras.g_01010
OG0000248	Prav.g_00878	Pras.g_01011
OG0000249	Prav.g_00877	Pras.g_01012
OG0000250	Prav.g_00876	Pras.g_01013
OG0000251	Prav.g_00875	Pras.g_01014
OG0000252	Prav.g_00874	Pras.g_01015
OG0000253	Prav.g_00873	Pras.g_01016
OG0000254	Prav.g_00871	Pras.g_01018
OG0000255	Prav.g_00870	Pras.g_01019
OG0000256	Prav.g_00867	Pras.g_01022
OG0000257	Prav.g_00865	Pras.g_01024
OG0000258	Prav.g_00864	Pras.g_01025
OG0000259	Prav.g_00863	Pras.g_01026
OG0000260	Prav.g_00862	Pras.g_01027
OG0000261	Prav.g_00861	Pras.g_01028
OG0000262	Prav.g_00860	Pras.g_01029
OG0000263	Prav.g_00859	Pras.g_01030
OG0000264	Prav.g_00857	Pras.g_01032
OG0000265	Prav.g_00856	Pras.g_01033
OG0000266	Prav.g_00855	Pras.g_01034
OG0000267	Prav.g_00853	Pras.g_01036
OG0000268	Prav.g_00852	Pras.g_01037
OG0000269	Prav.g_00851	Pras.g_01038
OG0000270	Prav.g_00850	Pras.g_01039
OG0000271	Prav.g_00849	Pras.g_01040
OG0000272	Prav.g_00848	Pras.g_01041
OG0000273	Prav.g_00847	Pras.g_01042
OG0000274	Prav.g_00846	Pras.g_01043
OG0000275	Prav.g_00845	Pras.g_01044
OG0000276	Prav.g_00844	Pras.g_01045
OG0000277	Prav.g_00843	Pras.g_01046
OG0000278	Prav.g_00842	Pras.g_01047
OG0000279	Prav.g_00841	Pras.g_01048
OG0000280	Prav.g_00840	Pras.g_01049
OG0000281	Prav.g_00838	Pras.g_01051
OG0000282	Prav.g_00837	Pras.g_01052
OG0000283	Prav.g_00834	Pras.g_01055
OG0000284	Prav.g_00833	Pras.g_01056
OG0000285	Prav.g_00832	Pras.g_01057
OG0000286	Prav.g_00830	Pras.g_01060
OG0000287	Prav.g_00829	Pras.g_01061
OG0000288	Prav.g_00828	Pras.g_01062
OG0000289	Prav.g_00827	Pras.g_01063
OG0000290	Prav.g_00826	Pras.g_01064
OG0000291	Prav.g_00825	Pras.g_01065
OG0000292	Prav.g_00824	Pras.g_01066
OG0000293	Prav.g_00823	Pras.g_01067
OG0000294	Prav.g_00822	Pras.g_01068
OG0000295	Prav.g_00821	Pras.g_01069
OG0000296	Prav.g_00820	Pras.g_01070
OG0000297	Prav.g_00819	Pras.g_01071
OG0000298	Prav.g_00818	Pras.g_01072
OG0000299	Prav.g_00817	Pras.g_01073
OG0000300	Prav.g_00816	Pras.g_01074
OG0000301	Prav.g_00815	Pras.g_01075
OG0000302	Prav.g_00814	Pras.g_01076
OG0000303	Prav.g_00813	Pras.g_01077
