Orthogroup	Syat	Prbe
OG0000001	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Prbe.g_00400
OG0000005	Syat.g_03105	Prbe.g_00228
OG0000006	Syat.g_00371, Syat.g_01439, Syat.g_01865	Prbe.g_01794
OG0000007	Syat.g_03191	Prbe.g_00636
OG0000007	Syat.g_03124	Prbe.g_00985
OG0000008	Syat.g_02626	Prbe.g_00036
OG0000008	Syat.g_02627	Prbe.g_00037
OG0000010	Syat.g_01372	Prbe.g_00096, Prbe.g_01411
OG0000012	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143	Prbe.g_00196
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Prbe.g_01879
OG0000014	Syat.g_02104	Prbe.g_01861
OG0000015	Syat.g_00775, Syat.g_01677	Prbe.g_01046, Prbe.g_01000
OG0000016	Syat.g_00909, Syat.g_00222, Syat.g_00832	Prbe.g_01607
OG0000018	Syat.g_01334	Prbe.g_01571
OG0000019	Syat.g_01876	Prbe.g_01802, Prbe.g_01573
OG0000021	Syat.g_00964	Prbe.g_00203, Prbe.g_01208
OG0000024	Syat.g_03394	Prbe.g_01415, Prbe.g_00449
OG0000025	Syat.g_00719	Prbe.g_01258
OG0000026	Syat.g_02306	Prbe.g_00132
OG0000027	Syat.g_00850	Prbe.g_00012, Prbe.g_01121
OG0000028	Syat.g_02126	Prbe.g_00034
OG0000030	Syat.g_00307, Syat.g_00308	Prbe.g_00763
OG0000031	Syat.g_02131, Syat.g_03199, Syat.g_02243	Prbe.g_00352
OG0000032	Syat.g_01354	Prbe.g_00272
OG0000033	Syat.g_02858	Prbe.g_00345
OG0000034	Syat.g_01165, Syat.g_02902	Prbe.g_00882
OG0000035	Syat.g_01227, Syat.g_01226	Prbe.g_00311
OG0000037	Syat.g_01575, Syat.g_00849, Syat.g_00187	Prbe.g_01651
OG0000038	Syat.g_02688, Syat.g_02686	Prbe.g_01156
OG0000039	Syat.g_01278	Prbe.g_00461
OG0000041	Syat.g_00785, Syat.g_03006	Prbe.g_00938
OG0000042	Syat.g_00223, Syat.g_02222	Prbe.g_00766
OG0000045	Syat.g_00935	Prbe.g_01593
OG0000046	Syat.g_01626, Syat.g_01026	Prbe.g_01880
OG0000048	Syat.g_02046	Prbe.g_00906
OG0000052	Syat.g_02140	Prbe.g_00158
OG0000053	Syat.g_01330	Prbe.g_00290, Prbe.g_01040
OG0000054	Syat.g_00987, Syat.g_03390	Prbe.g_00527
OG0000055	Syat.g_00693	Prbe.g_01011
OG0000057	Syat.g_00817, Syat.g_02055	Prbe.g_01206
OG0000058	Syat.g_02133, Syat.g_02238, Syat.g_01189	Prbe.g_00351
OG0000059	Syat.g_01832	Prbe.g_01094
OG0000061	Syat.g_03260	Prbe.g_01549
OG0000062	Syat.g_03107	Prbe.g_00226
OG0000063	Syat.g_02303	Prbe.g_00021
OG0000064	Syat.g_01568	Prbe.g_00172
OG0000065	Syat.g_01571	Prbe.g_01649
OG0000066	Syat.g_03283	Prbe.g_00596, Prbe.g_01114
OG0000067	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874	Prbe.g_01222
OG0000068	Syat.g_00085, Syat.g_01295	Prbe.g_00373
OG0000069	Syat.g_00090, Syat.g_00879	Prbe.g_00678
OG0000070	Syat.g_01032, Syat.g_01040	Prbe.g_01948
OG0000071	Syat.g_01153	Prbe.g_00893
OG0000072	Syat.g_02856, Syat.g_01597	Prbe.g_01719
OG0000073	Syat.g_03201	Prbe.g_00633
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Prbe.g_00800
OG0000076	Syat.g_02206	Prbe.g_00774
OG0000077	Syat.g_01481	Prbe.g_00183
OG0000078	Syat.g_00184	Prbe.g_01792
OG0000079	Syat.g_01879	Prbe.g_01805
OG0000080	Syat.g_02246, Syat.g_02282, Syat.g_01200	Prbe.g_00339, Prbe.g_00337
OG0000081	Syat.g_00980	Prbe.g_00604
OG0000082	Syat.g_00035	Prbe.g_00549, Prbe.g_00996
OG0000085	Syat.g_03113	Prbe.g_00007, Prbe.g_00993
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Prbe.g_00192
OG0000087	Syat.g_02912	Prbe.g_01683
OG0000088	Syat.g_02862	Prbe.g_01714
OG0000089	Syat.g_02953	Prbe.g_01915
OG0000090	Syat.g_03270	Prbe.g_00602
OG0000091	Syat.g_00939, Syat.g_00862	Prbe.g_01477
OG0000094	Syat.g_00698, Syat.g_01034	Prbe.g_01399
OG0000095	Syat.g_00808	Prbe.g_01297
OG0000097	Syat.g_00907, Syat.g_00535	Prbe.g_01503
OG0000098	Syat.g_03281	Prbe.g_00397
OG0000099	Syat.g_02130	Prbe.g_00350
OG0000100	Syat.g_00517	Prbe.g_00232
OG0000101	Syat.g_01661	Prbe.g_00836
OG0000102	Syat.g_00974	Prbe.g_00769
OG0000103	Syat.g_02399	Prbe.g_01195
OG0000104	Syat.g_02385	Prbe.g_01061
OG0000105	Syat.g_02052	Prbe.g_01828
OG0000106	Syat.g_00957	Prbe.g_00740
OG0000107	Syat.g_02009, Syat.g_01862	Prbe.g_00921
OG0000108	Syat.g_03170	Prbe.g_00653
OG0000109	Syat.g_03187	Prbe.g_00639
OG0000110	Syat.g_00049	Prbe.g_00560
OG0000111	Syat.g_00816	Prbe.g_01207
OG0000112	Syat.g_00593	Prbe.g_00487
OG0000113	Syat.g_00509	Prbe.g_01245
OG0000114	Syat.g_00426	Prbe.g_00417
OG0000115	Syat.g_01328	Prbe.g_01618
OG0000116	Syat.g_02641	Prbe.g_01560
OG0000117	Syat.g_00224	Prbe.g_01522
OG0000118	Syat.g_01168	Prbe.g_00880
OG0000119	Syat.g_00309	Prbe.g_01603, Prbe.g_00214
OG0000120	Syat.g_02132	Prbe.g_00353
OG0000121	Syat.g_01223	Prbe.g_00309
OG0000123	Syat.g_01653	Prbe.g_00829
OG0000124	Syat.g_02231	Prbe.g_00745
OG0000125	Syat.g_02684	Prbe.g_01158
OG0000126	Syat.g_00976	Prbe.g_01060
OG0000128	Syat.g_02331	Prbe.g_01076
OG0000129	Syat.g_02693, Syat.g_02694	Prbe.g_00145
OG0000130	Syat.g_01469	Prbe.g_00174
OG0000131	Syat.g_02898	Prbe.g_01692
OG0000132	Syat.g_02864	Prbe.g_01712
OG0000133	Syat.g_00588	Prbe.g_01875
OG0000134	Syat.g_02956	Prbe.g_01917
OG0000135	Syat.g_02501	Prbe.g_00911
OG0000136	Syat.g_01292	Prbe.g_01939
OG0000137	Syat.g_01371	Prbe.g_00658
OG0000138	Syat.g_03188	Prbe.g_00638
OG0000139	Syat.g_03276	Prbe.g_00598
OG0000140	Syat.g_03280	Prbe.g_00597
OG0000141	Syat.g_03398	Prbe.g_00526
OG0000142	Syat.g_00117	Prbe.g_01485
OG0000143	Syat.g_00130	Prbe.g_01481
OG0000144	Syat.g_00369	Prbe.g_01467
OG0000145	Syat.g_03202	Prbe.g_00909
OG0000146	Syat.g_00594	Prbe.g_00488
OG0000147	Syat.g_00595	Prbe.g_00489
OG0000148	Syat.g_00503	Prbe.g_01239
OG0000149	Syat.g_00747	Prbe.g_01271
OG0000150	Syat.g_03399	Prbe.g_01281
OG0000151	Syat.g_00801, Syat.g_00440	Prbe.g_00427
OG0000152	Syat.g_00578	Prbe.g_01350
OG0000153	Syat.g_00542	Prbe.g_01369
OG0000154	Syat.g_00708	Prbe.g_01389
OG0000155	Syat.g_00287	Prbe.g_01528
OG0000156	Syat.g_03228	Prbe.g_00904
OG0000157	Syat.g_02012, Syat.g_03227	Prbe.g_00903
OG0000158	Syat.g_02163	Prbe.g_00792
OG0000159	Syat.g_01187	Prbe.g_00165
OG0000160	Syat.g_01224	Prbe.g_00310
OG0000161	Syat.g_01180	Prbe.g_00304
OG0000162	Syat.g_01281	Prbe.g_00298
OG0000163	Syat.g_02979	Prbe.g_00259
OG0000164	Syat.g_03040	Prbe.g_00961
OG0000165	Syat.g_03033	Prbe.g_00954
OG0000166	Syat.g_01822	Prbe.g_01083
OG0000167	Syat.g_02148	Prbe.g_00802
OG0000168	Syat.g_02164	Prbe.g_00791
OG0000169	Syat.g_02192	Prbe.g_00781
OG0000170	Syat.g_02201	Prbe.g_00778
OG0000171	Syat.g_02230	Prbe.g_00758
OG0000172	Syat.g_02260	Prbe.g_00751
OG0000173	Syat.g_02284	Prbe.g_01143
OG0000174	Syat.g_02504	Prbe.g_01173
OG0000175	Syat.g_02416	Prbe.g_01186
OG0000176	Syat.g_02372	Prbe.g_01069
OG0000177	Syat.g_02338	Prbe.g_01070
OG0000178	Syat.g_02337	Prbe.g_01071
OG0000179	Syat.g_02322	Prbe.g_00116
OG0000180	Syat.g_02321	Prbe.g_00117
OG0000181	Syat.g_02320	Prbe.g_00118
OG0000182	Syat.g_02319	Prbe.g_00119
OG0000183	Syat.g_02315	Prbe.g_00123
OG0000184	Syat.g_02704	Prbe.g_00149
OG0000185	Syat.g_02719	Prbe.g_00152
OG0000186	Syat.g_01463	Prbe.g_00168
OG0000187	Syat.g_01467	Prbe.g_00169
OG0000188	Syat.g_01489	Prbe.g_00186
OG0000189	Syat.g_00386, Syat.g_01557	Prbe.g_01636
OG0000190	Syat.g_00330	Prbe.g_01638
OG0000191	Syat.g_03344, Syat.g_02939	Prbe.g_01661
OG0000192	Syat.g_02933	Prbe.g_01666
OG0000193	Syat.g_02897	Prbe.g_01693
OG0000194	Syat.g_02894	Prbe.g_01696
OG0000195	Syat.g_02892	Prbe.g_01698
OG0000196	Syat.g_02867	Prbe.g_01709
OG0000197	Syat.g_02866	Prbe.g_01710
OG0000198	Syat.g_02865	Prbe.g_01711
OG0000199	Syat.g_02857	Prbe.g_01718
OG0000200	Syat.g_02840	Prbe.g_01732
OG0000201	Syat.g_02821	Prbe.g_01741
OG0000202	Syat.g_02820	Prbe.g_01742
OG0000203	Syat.g_02819	Prbe.g_01743
OG0000204	Syat.g_02818	Prbe.g_01744
OG0000205	Syat.g_02809	Prbe.g_01751
OG0000206	Syat.g_02785	Prbe.g_01756
OG0000207	Syat.g_02778	Prbe.g_01759
OG0000208	Syat.g_02777	Prbe.g_01760
OG0000209	Syat.g_02735	Prbe.g_01769
OG0000210	Syat.g_02734	Prbe.g_01770
OG0000211	Syat.g_01452	Prbe.g_01785
OG0000212	Syat.g_01442	Prbe.g_01793
OG0000213	Syat.g_01889	Prbe.g_01811
OG0000214	Syat.g_02042	Prbe.g_01821
OG0000215	Syat.g_02075	Prbe.g_01848
OG0000216	Syat.g_02079	Prbe.g_01849
OG0000217	Syat.g_02085	Prbe.g_01852
OG0000218	Syat.g_02087	Prbe.g_01854
OG0000219	Syat.g_02088	Prbe.g_01855
OG0000220	Syat.g_02089	Prbe.g_01856
OG0000221	Syat.g_02095	Prbe.g_01857
OG0000222	Syat.g_02109	Prbe.g_01864
OG0000223	Syat.g_02570	Prbe.g_01876
OG0000224	Syat.g_02139	Prbe.g_01878
OG0000225	Syat.g_01595	Prbe.g_01904
OG0000226	Syat.g_01588	Prbe.g_01908
OG0000228	Syat.g_02952	Prbe.g_01914
OG0000229	Syat.g_02970	Prbe.g_01934
OG0000230	Syat.g_02972	Prbe.g_01936
OG0000231	Syat.g_01283	Prbe.g_01947
OG0000232	Syat.g_01313	Prbe.g_00672
OG0000233	Syat.g_01407	Prbe.g_00666
OG0000234	Syat.g_01369	Prbe.g_00657
OG0000235	Syat.g_03169	Prbe.g_00654
OG0000236	Syat.g_03186	Prbe.g_00640
OG0000237	Syat.g_03214	Prbe.g_00627
OG0000238	Syat.g_03219	Prbe.g_00621
OG0000239	Syat.g_01105	Prbe.g_00610
OG0000240	Syat.g_01104	Prbe.g_00609
OG0000241	Syat.g_00111	Prbe.g_00605
OG0000242	Syat.g_01077	Prbe.g_00603
OG0000243	Syat.g_00092	Prbe.g_00592
OG0000244	Syat.g_00082	Prbe.g_00589
OG0000245	Syat.g_00080	Prbe.g_00587
OG0000246	Syat.g_00076	Prbe.g_00583
OG0000247	Syat.g_00065	Prbe.g_00573
OG0000248	Syat.g_00062	Prbe.g_00570
OG0000249	Syat.g_00060	Prbe.g_00568
OG0000250	Syat.g_00053	Prbe.g_00563
OG0000251	Syat.g_00027	Prbe.g_00543
OG0000252	Syat.g_00022	Prbe.g_00540
OG0000253	Syat.g_00021	Prbe.g_00539
OG0000254	Syat.g_03407	Prbe.g_00522
OG0000255	Syat.g_02405	Prbe.g_00516
OG0000256	Syat.g_03306	Prbe.g_00506
OG0000257	Syat.g_00109	Prbe.g_01490
OG0000258	Syat.g_00382	Prbe.g_01476
OG0000259	Syat.g_00342	Prbe.g_01459
OG0000260	Syat.g_00392	Prbe.g_01456
OG0000261	Syat.g_00400	Prbe.g_01453
OG0000262	Syat.g_00407	Prbe.g_01449
OG0000263	Syat.g_00200	Prbe.g_00455
OG0000266	Syat.g_00671	Prbe.g_01430
OG0000267	Syat.g_00636	Prbe.g_01418
OG0000268	Syat.g_00634	Prbe.g_01417
OG0000269	Syat.g_00474, Syat.g_00126	Prbe.g_01217
OG0000270	Syat.g_00477	Prbe.g_01220
OG0000271	Syat.g_00485	Prbe.g_01228
OG0000272	Syat.g_00486	Prbe.g_01229
OG0000273	Syat.g_00520	Prbe.g_01253
OG0000274	Syat.g_00521	Prbe.g_01254
OG0000275	Syat.g_00718	Prbe.g_01257
OG0000276	Syat.g_00725	Prbe.g_01263
