Orthogroup	Syat	Prba
OG0000001	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Prba.g_00211
OG0000005	Syat.g_03065	Prba.g_00607
OG0000005	Syat.g_03105	Prba.g_00312
OG0000006	Syat.g_00371, Syat.g_01439, Syat.g_01865	Prba.g_00460
OG0000007	Syat.g_03191	Prba.g_00964
OG0000007	Syat.g_03124	Prba.g_00226
OG0000008	Syat.g_02626	Prba.g_01131
OG0000009	Syat.g_01567	Prba.g_01893
OG0000010	Syat.g_01372	Prba.g_01256
OG0000012	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143	Prba.g_01694
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Prba.g_00543
OG0000014	Syat.g_02104	Prba.g_00522
OG0000014	Syat.g_02250	Prba.g_00159
OG0000015	Syat.g_00775, Syat.g_01677	Prba.g_01538
OG0000016	Syat.g_02329	Prba.g_01806
OG0000017	Syat.g_00015	Prba.g_01719
OG0000018	Syat.g_01334	Prba.g_00083
OG0000019	Syat.g_01876	Prba.g_00468, Prba.g_01519
OG0000021	Syat.g_00964	Prba.g_00245, Prba.g_00858
OG0000022	Syat.g_00210	Prba.g_00101
OG0000024	Syat.g_03394	Prba.g_01558, Prba.g_01642
OG0000025	Syat.g_00719	Prba.g_00547, Prba.g_01464
OG0000026	Syat.g_02306	Prba.g_01824, Prba.g_01249
OG0000027	Syat.g_00850	Prba.g_00991, Prba.g_01175
OG0000028	Syat.g_02126	Prba.g_01126, Prba.g_00536
OG0000030	Syat.g_00307, Syat.g_00308	Prba.g_00778
OG0000031	Syat.g_02131, Syat.g_03199, Syat.g_02243	Prba.g_00173
OG0000034	Syat.g_01165, Syat.g_02902	Prba.g_01202
OG0000035	Syat.g_01227, Syat.g_01226	Prba.g_00713
OG0000037	Syat.g_01575, Syat.g_00849, Syat.g_00187	Prba.g_01897
OG0000038	Syat.g_02688, Syat.g_02686	Prba.g_00819
OG0000039	Syat.g_01278	Prba.g_01631
OG0000040	Syat.g_02551	Prba.g_00084
OG0000042	Syat.g_00223, Syat.g_02222	Prba.g_00775
OG0000044	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333	Prba.g_00002
OG0000048	Syat.g_02046	Prba.g_00868
OG0000053	Syat.g_01330	Prba.g_00693
OG0000054	Syat.g_00987, Syat.g_03390	Prba.g_01711
OG0000055	Syat.g_00693	Prba.g_01518
OG0000057	Syat.g_00817, Syat.g_02055	Prba.g_01619
OG0000058	Syat.g_02133, Syat.g_02238, Syat.g_01189	Prba.g_00153
OG0000059	Syat.g_01832	Prba.g_00381
OG0000061	Syat.g_03260	Prba.g_00064
OG0000062	Syat.g_03107	Prba.g_00310
OG0000063	Syat.g_02303	Prba.g_01826
OG0000065	Syat.g_01571	Prba.g_01895
OG0000066	Syat.g_03283	Prba.g_00922
OG0000067	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874	Prba.g_01499
OG0000068	Syat.g_00085, Syat.g_01295	Prba.g_00196
OG0000069	Syat.g_00090, Syat.g_00879	Prba.g_00275
OG0000070	Syat.g_01032, Syat.g_01040	Prba.g_01011
OG0000071	Syat.g_01153	Prba.g_01192
OG0000072	Syat.g_02856, Syat.g_01597	Prba.g_00627
OG0000073	Syat.g_03201	Prba.g_00962
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Prba.g_01071
OG0000076	Syat.g_02206	Prba.g_00768
OG0000077	Syat.g_01481	Prba.g_01866
OG0000078	Syat.g_00184	Prba.g_00458
OG0000079	Syat.g_01879	Prba.g_00471
OG0000081	Syat.g_00980	Prba.g_00930
OG0000082	Syat.g_00035	Prba.g_01731
OG0000085	Syat.g_03113	Prba.g_00233
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Prba.g_01876
OG0000087	Syat.g_02912	Prba.g_01927
OG0000088	Syat.g_02862	Prba.g_00622
OG0000089	Syat.g_02953	Prba.g_00850
OG0000090	Syat.g_03270	Prba.g_00928
OG0000091	Syat.g_00939, Syat.g_00862	Prba.g_01675
OG0000092	Syat.g_00825	Prba.g_01057
OG0000094	Syat.g_00698, Syat.g_01034	Prba.g_01283
OG0000095	Syat.g_00808	Prba.g_01264
OG0000097	Syat.g_00907, Syat.g_00535	Prba.g_00022
OG0000098	Syat.g_03281	Prba.g_00214
OG0000099	Syat.g_02130	Prba.g_00155
OG0000100	Syat.g_00517	Prba.g_00314
OG0000101	Syat.g_01661	Prba.g_00429
OG0000102	Syat.g_00974	Prba.g_00773
OG0000103	Syat.g_02399	Prba.g_01781
OG0000104	Syat.g_02385	Prba.g_01789
OG0000105	Syat.g_02052	Prba.g_00491
OG0000106	Syat.g_00957	Prba.g_00864
OG0000107	Syat.g_02009, Syat.g_01862	Prba.g_00880
OG0000108	Syat.g_03170	Prba.g_00981
OG0000109	Syat.g_03187	Prba.g_00967
OG0000110	Syat.g_00049	Prba.g_01741
OG0000111	Syat.g_00816	Prba.g_01618
OG0000112	Syat.g_00593	Prba.g_01534
OG0000113	Syat.g_00509	Prba.g_01477
OG0000114	Syat.g_00426	Prba.g_01395
OG0000115	Syat.g_01328	Prba.g_00743
OG0000116	Syat.g_02641	Prba.g_00074
OG0000117	Syat.g_00224	Prba.g_01135
OG0000118	Syat.g_01168	Prba.g_01204
OG0000119	Syat.g_00309	Prba.g_00200
OG0000120	Syat.g_02132	Prba.g_00175
OG0000121	Syat.g_01223	Prba.g_00711
OG0000123	Syat.g_01653	Prba.g_00436
OG0000124	Syat.g_02231	Prba.g_00784
OG0000125	Syat.g_02684	Prba.g_01089, Prba.g_00821
OG0000126	Syat.g_00976	Prba.g_01788
OG0000127	Syat.g_00175	Prba.g_01118
OG0000128	Syat.g_02331	Prba.g_01804
OG0000129	Syat.g_02693, Syat.g_02694	Prba.g_01838
OG0000130	Syat.g_01469	Prba.g_01857
OG0000131	Syat.g_02898	Prba.g_01933
OG0000132	Syat.g_02864	Prba.g_01952
OG0000133	Syat.g_00588	Prba.g_00538
OG0000134	Syat.g_02956	Prba.g_00851
OG0000135	Syat.g_02501	Prba.g_00877
OG0000136	Syat.g_01292	Prba.g_01020
OG0000137	Syat.g_01371	Prba.g_00986
OG0000138	Syat.g_03188	Prba.g_00966
OG0000139	Syat.g_03276	Prba.g_00924
OG0000140	Syat.g_03280	Prba.g_00923
OG0000141	Syat.g_03398	Prba.g_01710
OG0000142	Syat.g_00117	Prba.g_01682
OG0000143	Syat.g_00130	Prba.g_01678
OG0000144	Syat.g_00369	Prba.g_01665
OG0000145	Syat.g_03202	Prba.g_01541
OG0000146	Syat.g_00594	Prba.g_01533
OG0000147	Syat.g_00595	Prba.g_01532
OG0000148	Syat.g_00503	Prba.g_01483
OG0000149	Syat.g_00747	Prba.g_01452
OG0000150	Syat.g_03399	Prba.g_01444
OG0000151	Syat.g_00801, Syat.g_00440	Prba.g_01385
OG0000152	Syat.g_00578	Prba.g_01337
OG0000153	Syat.g_00542	Prba.g_01318
OG0000154	Syat.g_00708	Prba.g_01290
OG0000155	Syat.g_00287	Prba.g_00043
OG0000156	Syat.g_03228	Prba.g_01181
OG0000157	Syat.g_02012, Syat.g_03227	Prba.g_01182
OG0000158	Syat.g_02163	Prba.g_00154
OG0000160	Syat.g_01224	Prba.g_00712
OG0000161	Syat.g_01180	Prba.g_00706
OG0000162	Syat.g_01281	Prba.g_00700
OG0000163	Syat.g_02979	Prba.g_00341
OG0000164	Syat.g_03040	Prba.g_00596
OG0000165	Syat.g_03033	Prba.g_00589
OG0000166	Syat.g_01822	Prba.g_00393
OG0000167	Syat.g_02148	Prba.g_01069
