Orthogroup	Prax	Syat
OG0000001	Prax.g_01878	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878
OG0000005	Prax.g_01546	Syat.g_03065
OG0000005	Prax.g_01652	Syat.g_03105
OG0000006	Prax.g_01972	Syat.g_00371, Syat.g_01439, Syat.g_01865
OG0000007	Prax.g_00704	Syat.g_03191
OG0000007	Prax.g_01559	Syat.g_03124
OG0000010	Prax.g_01212	Syat.g_01372
OG0000012	Prax.g_00082	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143
OG0000013	Prax.g_00846	Syat.g_01625, Syat.g_01016, Syat.g_01027
OG0000014	Prax.g_00869	Syat.g_02104
OG0000014	Prax.g_01763	Syat.g_02250
OG0000015	Prax.g_00523, Prax.g_00410	Syat.g_00775, Syat.g_01677
OG0000017	Prax.g_00057	Syat.g_00015
OG0000018	Prax.g_00181	Syat.g_01334
OG0000019	Prax.g_00926, Prax.g_00393	Syat.g_01876
OG0000021	Prax.g_01587, Prax.g_00808	Syat.g_00964
OG0000022	Prax.g_00157	Syat.g_00210
OG0000024	Prax.g_00432, Prax.g_00967	Syat.g_03394
OG0000025	Prax.g_00842, Prax.g_00338	Syat.g_00719
OG0000026	Prax.g_00458, Prax.g_00282, Prax.g_01220	Syat.g_02306
OG0000027	Prax.g_01916	Syat.g_00850
OG0000028	Prax.g_00855	Syat.g_02126
OG0000030	Prax.g_01404	Syat.g_00307, Syat.g_00308
OG0000031	Prax.g_01831	Syat.g_02131, Syat.g_03199, Syat.g_02243
OG0000032	Prax.g_01838	Syat.g_02237
OG0000034	Prax.g_01889	Syat.g_01165, Syat.g_02902
OG0000035	Prax.g_01728, Prax.g_01733	Syat.g_01227, Syat.g_01226
OG0000037	Prax.g_01110	Syat.g_01575, Syat.g_00849, Syat.g_00187
OG0000038	Prax.g_01445	Syat.g_02688, Syat.g_02686
OG0000039	Prax.g_00956	Syat.g_01278
OG0000040	Prax.g_00180	Syat.g_02551
OG0000041	Prax.g_01512	Syat.g_00785, Syat.g_03006
OG0000042	Prax.g_01401	Syat.g_00223, Syat.g_02222
OG0000048	Prax.g_00173, Prax.g_00512, Prax.g_00799	Syat.g_02046
OG0000053	Prax.g_01708	Syat.g_01330
OG0000054	Prax.g_00065	Syat.g_00987, Syat.g_03390
OG0000055	Prax.g_00392	Syat.g_00693
OG0000057	Prax.g_00944	Syat.g_00817, Syat.g_02055
OG0000059	Prax.g_01286	Syat.g_01832
OG0000060	Prax.g_00517	Syat.g_01384, Syat.g_01383, Syat.g_01047
OG0000061	Prax.g_00200	Syat.g_03260
OG0000062	Prax.g_01650	Syat.g_03107
OG0000063	Prax.g_00280	Syat.g_02303
OG0000065	Prax.g_01112	Syat.g_01571
OG0000066	Prax.g_00662	Syat.g_03283
OG0000067	Prax.g_00373	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874
OG0000068	Prax.g_01863	Syat.g_00085, Syat.g_01295
OG0000069	Prax.g_01616	Syat.g_00090, Syat.g_00879
OG0000070	Prax.g_00750	Syat.g_01032, Syat.g_01040
OG0000071	Prax.g_01899	Syat.g_01153
OG0000072	Prax.g_01047	Syat.g_02856, Syat.g_01597
OG0000073	Prax.g_00702	Syat.g_03201
OG0000075	Prax.g_01370	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Prax.g_01394	Syat.g_02206
OG0000077	Prax.g_00649	Syat.g_01481
OG0000078	Prax.g_00979	Syat.g_00184
OG0000079	Prax.g_00923	Syat.g_01879
OG0000081	Prax.g_00670	Syat.g_00980
OG0000082	Prax.g_00045	Syat.g_00035
OG0000085	Prax.g_01566	Syat.g_03113
OG0000086	Prax.g_00659	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Prax.g_01079	Syat.g_02912
OG0000088	Prax.g_01052	Syat.g_02862
OG0000089	Prax.g_00817	Syat.g_02953
OG0000090	Prax.g_00668	Syat.g_03270
OG0000091	Prax.g_00101	Syat.g_00939, Syat.g_00862
OG0000094	Prax.g_01185	Syat.g_00698, Syat.g_01034
OG0000095	Prax.g_01204	Syat.g_00808
OG0000097	Prax.g_00241	Syat.g_00907, Syat.g_00535
OG0000098	Prax.g_01881	Syat.g_03281
OG0000099	Prax.g_01825	Syat.g_02130
OG0000100	Prax.g_01654	Syat.g_00517
OG0000101	Prax.g_01338	Syat.g_01661
OG0000102	Prax.g_01399	Syat.g_00974
OG0000103	Prax.g_01478	Syat.g_02399
OG0000104	Prax.g_01486	Syat.g_02385
OG0000105	Prax.g_00901	Syat.g_02052
OG0000106	Prax.g_00803	Syat.g_00957
