Orthogroup	Syar	Other
OG0000013	Syar.g_03167	Syak.g_01275
OG0000013	Syar.g_03167	Syao.g_01844
OG0000013	Syar.g_03167	Syag.g_02806
OG0000013	Syar.g_03167	Syaa.g_02217
OG0000013	Syar.g_03167	Syam.g_00404
OG0000013	Syar.g_03167	Syaf.g_00061
OG0000013	Syar.g_03167	Syai.g_00436
OG0000013	Syar.g_03167	Syab.g_00482
OG0000013	Syar.g_03167	Syal.g_00310
OG0000013	Syar.g_03167	Syae.g_02155
OG0000013	Syar.g_03167	Syad.g_00724
OG0000013	Syar.g_03167	Syaj.g_02769
OG0000013	Syar.g_03167	Syac.g_02062
OG0000013	Syar.g_03167	Syah.g_00817
OG0000017	Syar.g_03181	Praj.g_00585
OG0000017	Syar.g_03181	Prbb.g_00598
OG0000017	Syar.g_03181	Prbc.g_01674
OG0000017	Syar.g_03181	Prbm.g_00628
OG0000017	Syar.g_03181	Prah.g_01405
OG0000017	Syar.g_03181	Praa.g_00598
OG0000017	Syar.g_03181	Prac.g_00773
OG0000017	Syar.g_03181	Prad.g_01387
OG0000017	Syar.g_03181	Prae.g_00572
OG0000017	Syar.g_03181	Prag.g_00576
OG0000017	Syar.g_03181	Prao.g_00036
OG0000017	Syar.g_03181	Praq.g_01004
OG0000017	Syar.g_03181	Prar.g_01428
OG0000017	Syar.g_03181	Pras.g_01474
OG0000017	Syar.g_03181	Prau.g_00636
OG0000017	Syar.g_03181	Prav.g_01194
OG0000017	Syar.g_03181	Praw.g_01944
OG0000017	Syar.g_03181	Prax.g_00057
OG0000017	Syar.g_03181	Pray.g_01165
OG0000017	Syar.g_03181	Praz.g_01732
OG0000017	Syar.g_03181	Prba.g_01719
OG0000017	Syar.g_03181	Prbd.g_00646
OG0000017	Syar.g_03181	Prbi.g_00600
OG0000017	Syar.g_03181	Prab.g_00602
OG0000017	Syar.g_03181	Prai.g_00626
OG0000017	Syar.g_03181	Pran.g_01580
OG0000017	Syar.g_03181	Praj.g_00585
OG0000017	Syar.g_03181	Prbb.g_00598
OG0000017	Syar.g_03181	Prbc.g_01674
OG0000017	Syar.g_03181	Prbm.g_00628
OG0000017	Syar.g_03181	Praf.g_00752
OG0000017	Syar.g_03181	Prbj.g_01769
OG0000017	Syar.g_03181	Prbk.g_01142
OG0000017	Syar.g_03181	Prbl.g_01763
OG0000017	Syar.g_03181	Syak.g_02730
OG0000017	Syar.g_03181	Prak.g_00559
OG0000017	Syar.g_03181	Pral.g_00491
OG0000017	Syar.g_03181	Pram.g_00535
OG0000017	Syar.g_03181	Prap.g_01170
