Orthogroup	Praz	Prav
OG0000000	Praz.g_01198	Prav.g_01736, Prav.g_01415
OG0000000	Praz.g_00921	Prav.g_01695
OG0000000	Praz.g_00694	Prav.g_01694
OG0000000	Praz.g_00922	Prav.g_01694
OG0000000	Praz.g_00694	Prav.g_01821
OG0000000	Praz.g_00922	Prav.g_01821
OG0000000	Praz.g_01200	Prav.g_01413
OG0000000	Praz.g_00920	Prav.g_01698
OG0000001	Praz.g_01154	Prav.g_01458
OG0000001	Praz.g_01940	Prav.g_01820, Prav.g_02007
OG0000002	Praz.g_01146	Prav.g_01466
OG0000002	Praz.g_01652	Prav.g_01276
OG0000004	Praz.g_01635	Prav.g_01293
OG0000004	Praz.g_00592	Prav.g_00806
OG0000005	Praz.g_00864	Prav.g_01774
OG0000005	Praz.g_00965	Prav.g_01654
OG0000006	Praz.g_00601	Prav.g_02001
OG0000007	Praz.g_01831	Prav.g_01095
OG0000007	Praz.g_00877	Prav.g_01761
OG0000008	Praz.g_01241	Prav.g_01749
OG0000008	Praz.g_01658	Prav.g_01270
OG0000009	Praz.g_00929	Prav.g_01688
OG0000009	Praz.g_00465	Prav.g_00170
OG0000010	Praz.g_00074	Prav.g_00218
OG0000010	Praz.g_01854	Prav.g_01072
OG0000011	Praz.g_00768	Prav.g_01014
OG0000011	Praz.g_01207	Prav.g_01407
OG0000011	Praz.g_01240	Prav.g_01334
OG0000012	Praz.g_01707	Prav.g_01221
OG0000013	Praz.g_00684	Prav.g_01973
OG0000014	Praz.g_00663	Prav.g_01952
OG0000015	Praz.g_01551	Prav.g_00961
OG0000016	Praz.g_00378	Prav.g_00081
OG0000017	Praz.g_01732	Prav.g_01194
OG0000018	Praz.g_00011	Prav.g_00046
OG0000018	Praz.g_01485	Prav.g_00424
OG0000019	Praz.g_00609	Prav.g_01896
OG0000019	Praz.g_01532	Prav.g_00375
OG0000020	Praz.g_00048	Prav.g_00014
OG0000021	Praz.g_00896, Praz.g_00810	Prav.g_00984
OG0000022	Praz.g_01556	Prav.g_00360
OG0000022	Praz.g_00029	Prav.g_00029
OG0000023	Praz.g_00814	Prav.g_00979
OG0000024	Praz.g_01571	Prav.g_00343
OG0000024	Praz.g_01655	Prav.g_01273
OG0000025	Praz.g_01477	Prav.g_00431
OG0000025	Praz.g_00688	Prav.g_01977
OG0000026	Praz.g_00396	Prav.g_00099
OG0000026	Praz.g_00081	Prav.g_00226
OG0000027	Praz.g_01858	Prav.g_01068
