Orthogroup	Praj	Prbl
OG0000000	Praj.g_00832	Prbl.g_01582
OG0000000	Praj.g_00670, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492	Prbl.g_01092
OG0000001	Praj.g_01267	Prbl.g_00118
OG0000002	Praj.g_01549	Prbl.g_00725, Prbl.g_02599, Prbl.g_00808, Prbl.g_02598, Prbl.g_00121, Prbl.g_02578
OG0000003	Praj.g_01099, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311, Praj.g_01737	Prbl.g_00117
OG0000004	Praj.g_01121, Praj.g_00411, Praj.g_01222	Prbl.g_01685, Prbl.g_00628, Prbl.g_00679
OG0000006	Praj.g_00489	Prbl.g_00531
OG0000006	Praj.g_01768	Prbl.g_00394
OG0000007	Praj.g_01829	Prbl.g_01855
OG0000007	Praj.g_01830	Prbl.g_01854
OG0000009	Praj.g_00747	Prbl.g_01509
OG0000011	Praj.g_00408	Prbl.g_01574
OG0000011	Praj.g_00370	Prbl.g_00719
OG0000012	Praj.g_00592	Prbl.g_01755, Prbl.g_01763
OG0000013	Praj.g_01113	Prbl.g_01566
OG0000016	Praj.g_01568	Prbl.g_00007, Prbl.g_00046
OG0000017	Praj.g_01651	Prbl.g_00691
OG0000018	Praj.g_00282, Praj.g_01281, Praj.g_01505	Prbl.g_02601
OG0000019	Praj.g_00084	Prbl.g_01768
OG0000020	Praj.g_00308	Prbl.g_01465
OG0000024	Praj.g_00341	Prbl.g_01416
OG0000026	Praj.g_01867	Prbl.g_01981
OG0000028	Praj.g_01632	Prbl.g_00242
OG0000031	Praj.g_01339, Praj.g_01347	Prbl.g_01677
OG0000032	Praj.g_00371	Prbl.g_00835, Prbl.g_00830
OG0000034	Praj.g_00095	Prbl.g_00870
OG0000037	Praj.g_01066	Prbl.g_01618
OG0000038	Praj.g_01189	Prbl.g_01072, Prbl.g_01310
OG0000039	Praj.g_00206	Prbl.g_00281
OG0000040	Praj.g_01365, Praj.g_01329	Prbl.g_02355
OG0000042	Praj.g_00698	Prbl.g_01839, Prbl.g_02567
OG0000043	Praj.g_00909	Prbl.g_01097, Prbl.g_01099
OG0000044	Praj.g_01461	Prbl.g_02084
OG0000045	Praj.g_00839	Prbl.g_00890
OG0000046	Praj.g_01762	Prbl.g_00405
OG0000047	Praj.g_02012	Prbl.g_01285
OG0000048	Praj.g_02020	Prbl.g_01121, Prbl.g_01236
OG0000050	Praj.g_00031	Prbl.g_01977
OG0000051	Praj.g_00197	Prbl.g_00290
OG0000052	Praj.g_01156, Praj.g_01282	Prbl.g_00411
OG0000053	Praj.g_00530	Prbl.g_00752
OG0000054	Praj.g_00042	Prbl.g_01943
OG0000055	Praj.g_00793, Praj.g_01176	Prbl.g_02310
OG0000056	Praj.g_00043	Prbl.g_00138
OG0000058	Praj.g_00467	Prbl.g_01340
OG0000059	Praj.g_01313, Praj.g_00691	Prbl.g_00025
