Orthogroup	Syal	Syaq
OG0000001	Syal.g_02215	Syaq.g_00118, Syaq.g_01435, Syaq.g_00115
OG0000001	Syal.g_00874, Syal.g_01184	Syaq.g_01434
OG0000003	Syal.g_01214, Syal.g_02153	Syaq.g_00887
OG0000004	Syal.g_01809	Syaq.g_02603
OG0000004	Syal.g_02718	Syaq.g_02042
OG0000004	Syal.g_00691	Syaq.g_01567
OG0000005	Syal.g_00606	Syaq.g_01658
OG0000005	Syal.g_00565	Syaq.g_01692
OG0000005	Syal.g_01664	Syaq.g_00236
OG0000006	Syal.g_00674	Syaq.g_00696, Syaq.g_01590
OG0000006	Syal.g_02611	Syaq.g_02108
OG0000007	Syal.g_02918	Syaq.g_01793
OG0000007	Syal.g_00587	Syaq.g_01673
OG0000008	Syal.g_02512	Syaq.g_02162
OG0000008	Syal.g_01783	Syaq.g_02575
OG0000009	Syal.g_00818	Syaq.g_01489
OG0000010	Syal.g_00464	Syaq.g_00443
OG0000011	Syal.g_00702	Syaq.g_01038
OG0000013	Syal.g_00322, Syal.g_00310, Syal.g_00315	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Syal.g_01305	Syaq.g_00862
OG0000014	Syal.g_01393	Syaq.g_00907
OG0000015	Syal.g_02210, Syal.g_01183	Syaq.g_00121, Syaq.g_01171
OG0000016	Syal.g_00111	Syaq.g_01136
OG0000016	Syal.g_01734	Syaq.g_00169
OG0000017	Syal.g_02745	Syaq.g_01999
OG0000017	Syal.g_02752	Syaq.g_01992
OG0000018	Syal.g_00410	Syaq.g_00401
OG0000019	Syal.g_01209	Syaq.g_00717
OG0000022	Syal.g_02587	Syaq.g_02126
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Syaq.g_02540
OG0000025	Syal.g_02459	Syaq.g_02381
OG0000026	Syal.g_00132	Syaq.g_01114
OG0000028	Syal.g_01319	Syaq.g_00878
OG0000030	Syal.g_01511	Syaq.g_01047
OG0000030	Syal.g_01512	Syaq.g_01048
OG0000031	Syal.g_01404, Syal.g_01432	Syaq.g_01009
OG0000032	Syal.g_00428	Syaq.g_00421
OG0000033	Syal.g_00912	Syaq.g_01399
OG0000034	Syal.g_00881, Syal.g_01586	Syaq.g_00312, Syaq.g_01431
OG0000035	Syal.g_00020	Syaq.g_00371
OG0000035	Syal.g_00370	Syaq.g_00372
OG0000037	Syal.g_00824	Syaq.g_01483
OG0000038	Syal.g_01071	Syaq.g_01260
OG0000038	Syal.g_01073	Syaq.g_01258
OG0000039	Syal.g_01097	Syaq.g_01241
OG0000042	Syal.g_01705, Syal.g_01508	Syaq.g_00200, Syaq.g_01044
OG0000043	Syal.g_02547	Syaq.g_01920
OG0000044	Syal.g_01847	Syaq.g_02701
OG0000048	Syal.g_01250	Syaq.g_00749
OG0000052	Syal.g_01338	Syaq.g_00969
OG0000053	Syal.g_00406	Syaq.g_00397
OG0000054	Syal.g_02739	Syaq.g_02005
OG0000055	Syal.g_01845	Syaq.g_02700
OG0000057	Syal.g_01812	Syaq.g_02605
OG0000058	Syal.g_01326	Syaq.g_00944
OG0000059	Syal.g_00225, Syal.g_01332	Syaq.g_00657
OG0000060	Syal.g_00480	Syaq.g_00456
OG0000060	Syal.g_02895	Syaq.g_01770
OG0000060	Syal.g_02214	Syaq.g_00201
OG0000061	Syal.g_01653	Syaq.g_00249
OG0000062	Syal.g_00567	Syaq.g_01690
OG0000063	Syal.g_00136	Syaq.g_01110
OG0000064	Syal.g_02544	Syaq.g_02138
OG0000065	Syal.g_02528	Syaq.g_01908
OG0000066	Syal.g_02828	Syaq.g_01851
OG0000067	Syal.g_02414	Syaq.g_02340
OG0000068	Syal.g_02888	Syaq.g_01763
OG0000070	Syal.g_00509	Syaq.g_00484
OG0000071	Syal.g_01601	Syaq.g_00297
OG0000072	Syal.g_00914	Syaq.g_01397
OG0000073	Syal.g_02920	Syaq.g_01795
OG0000075	Syal.g_01350	Syaq.g_00986
OG0000076	Syal.g_01459	Syaq.g_01028
OG0000077	Syal.g_00763	Syaq.g_01547
OG0000078	Syal.g_00680	Syaq.g_01585
OG0000079	Syal.g_01213	Syaq.g_00721
OG0000081	Syal.g_02555	Syaq.g_01893
OG0000082	Syal.g_02769	Syaq.g_01975
OG0000084	Syal.g_00023	Syaq.g_00367
OG0000085	Syal.g_00575	Syaq.g_01683
OG0000086	Syal.g_00784	Syaq.g_01525
OG0000087	Syal.g_00871	Syaq.g_01438
OG0000088	Syal.g_00908	Syaq.g_01402
OG0000089	Syal.g_00555	Syaq.g_00529
OG0000090	Syal.g_02838	Syaq.g_01838
OG0000091	Syal.g_02628	Syaq.g_02090
OG0000093	Syal.g_02233	Syaq.g_02323
OG0000094	Syal.g_01907	Syaq.g_00056
OG0000095	Syal.g_01823	Syaq.g_02679
OG0000097	Syal.g_01735	Syaq.g_00167
OG0000098	Syal.g_02196	Syaq.g_02221
OG0000099	Syal.g_01323	Syaq.g_00882
OG0000100	Syal.g_02448	Syaq.g_02371
OG0000101	Syal.g_00275	Syaq.g_00607
OG0000102	Syal.g_01488	Syaq.g_01033
OG0000103	Syal.g_01897, Syal.g_00077	Syaq.g_01170
OG0000104	Syal.g_00092	Syaq.g_01154
OG0000105	Syal.g_01255	Syaq.g_00754
