Orthogroup	Syag	Pram
OG0000001	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Pram.g_01954, Pram.g_01953
OG0000004	Syag.g_00988	Pram.g_00789
OG0000004	Syag.g_00370, Syag.g_01790	Pram.g_00219
OG0000005	Syag.g_01667	Pram.g_01295
OG0000006	Syag.g_00435, Syag.g_01772, Syag.g_02678, Syag.g_02687	Pram.g_00229
OG0000007	Syag.g_01507	Pram.g_00433
OG0000007	Syag.g_01687	Pram.g_01632
OG0000008	Syag.g_00496	Pram.g_01263
OG0000008	Syag.g_01017	Pram.g_01262
OG0000009	Syag.g_00220, Syag.g_00231	Pram.g_00390, Pram.g_01284, Pram.g_01573
OG0000010	Syag.g_01355	Pram.g_00704, Pram.g_01000
OG0000011	Syag.g_01299	Pram.g_01579
OG0000012	Syag.g_00377	Pram.g_00561
OG0000013	Syag.g_02811, Syag.g_02820, Syag.g_02806	Pram.g_00315
OG0000014	Syag.g_02559	Pram.g_00295
OG0000015	Syag.g_02252, Syag.g_00596	Pram.g_00696, Pram.g_01545
OG0000016	Syag.g_01066	Pram.g_01193
OG0000017	Syag.g_00336	Pram.g_00535
OG0000017	Syag.g_00344	Pram.g_00542
OG0000018	Syag.g_01387	Pram.g_01162
OG0000019	Syag.g_02663	Pram.g_00237, Pram.g_01164
OG0000020	Syag.g_00085	Pram.g_01275, Pram.g_01595, Pram.g_01516
OG0000021	Syag.g_00229	Pram.g_01274, Pram.g_00794
OG0000023	Syag.g_00261, Syag.g_00234	Pram.g_00689
OG0000024	Syag.g_00455	Pram.g_01004, Pram.g_00765
OG0000025	Syag.g_00718	Pram.g_00844
OG0000026	Syag.g_02309	Pram.g_00018
OG0000028	Syag.g_02540	Pram.g_00363, Pram.g_00308
OG0000029	Syag.g_00195	Pram.g_01529, Pram.g_01723
OG0000030	Syag.g_02375, Syag.g_02374	Pram.g_01844
OG0000031	Syag.g_02510	Pram.g_01413
OG0000032	Syag.g_01366	Pram.g_01339
OG0000034	Syag.g_01225, Syag.g_01947	Pram.g_01240
OG0000035	Syag.g_01420, Syag.g_01421	Pram.g_01381, Pram.g_01378
OG0000037	Syag.g_00173	Pram.g_00093
OG0000038	Syag.g_02130, Syag.g_02132	Pram.g_01884
OG0000039	Syag.g_01325, Syag.g_02155	Pram.g_00777
OG0000041	Syag.g_01750, Syag.g_00962	Pram.g_01680
OG0000042	Syag.g_01094, Syag.g_02378	Pram.g_01841
OG0000043	Syag.g_00564	Pram.g_01161
OG0000044	Syag.g_00945	Pram.g_01620
OG0000046	Syag.g_02812, Syag.g_02819, Syag.g_02805	Pram.g_00316
OG0000047	Syag.g_00768	Pram.g_00359
OG0000048	Syag.g_02611	Pram.g_00259
OG0000052	Syag.g_02451	Pram.g_00040
OG0000053	Syag.g_01391	Pram.g_01357, Pram.g_01580
OG0000054	Syag.g_00350	Pram.g_00544
OG0000055	Syag.g_01799	Pram.g_01617
OG0000057	Syag.g_00985	Pram.g_00792
OG0000059	Syag.g_02721	Pram.g_01719
OG0000061	Syag.g_01141	Pram.g_01140
OG0000062	Syag.g_01669	Pram.g_01293
OG0000063	Syag.g_02313	Pram.g_01258
OG0000064	Syag.g_00076, Syag.g_00487, Syag.g_01589	Pram.g_00052
OG0000065	Syag.g_01885, Syag.g_00182	Pram.g_00091
OG0000066	Syag.g_01443	Pram.g_01558
OG0000067	Syag.g_00667	Pram.g_00809
OG0000068	Syag.g_01537	Pram.g_01468
OG0000070	Syag.g_00049	Pram.g_00385
OG0000071	Syag.g_01192	Pram.g_01230
OG0000072	Syag.g_01980, Syag.g_02859	Pram.g_00156
OG0000073	Syag.g_01505	Pram.g_00437
OG0000075	Syag.g_02434	Pram.g_01807
OG0000076	Syag.g_02393	Pram.g_01833
OG0000077	Syag.g_01831	Pram.g_00063
OG0000078	Syag.g_01778	Pram.g_00227
OG0000079	Syag.g_02659, Syag.g_02652	Pram.g_00240
OG0000080	Syag.g_02499, Syag.g_00124, Syag.g_02500	Pram.g_01408
OG0000081	Syag.g_00167	Pram.g_00469
OG0000082	Syag.g_00318	Pram.g_01559
OG0000084	Syag.g_00212, Syag.g_01425	Pram.g_01384
OG0000085	Syag.g_01676	Pram.g_01265
OG0000086	Syag.g_01853	Pram.g_00072
OG0000087	Syag.g_01939	Pram.g_00125
OG0000088	Syag.g_01974	Pram.g_00151
OG0000089	Syag.g_00005	Pram.g_00352
OG0000090	Syag.g_01454	Pram.g_00471
OG0000091	Syag.g_00418	Pram.g_01068
OG0000093	Syag.g_00649	Pram.g_01038
OG0000094	Syag.g_00881	Pram.g_00987
OG0000095	Syag.g_00974	Pram.g_00888
OG0000097	Syag.g_01065	Pram.g_01093
OG0000098	Syag.g_00578, Syag.g_01445	Pram.g_01478
OG0000099	Syag.g_02536	Pram.g_01445
OG0000100	Syag.g_00704	Pram.g_01298
OG0000101	Syag.g_02773	Pram.g_01770
OG0000102	Syag.g_02387	Pram.g_01838
OG0000103	Syag.g_02253	Pram.g_01925
OG0000104	Syag.g_02268	Pram.g_01934
OG0000105	Syag.g_02606	Pram.g_00262
OG0000106	Syag.g_00462	Pram.g_00677
OG0000107	Syag.g_02689	Pram.g_01696
OG0000108	Syag.g_01528	Pram.g_00416
OG0000109	Syag.g_01512	Pram.g_00430
OG0000110	Syag.g_00303	Pram.g_00513
OG0000111	Syag.g_00984	Pram.g_00793
OG0000112	Syag.g_00801	Pram.g_00935
OG0000113	Syag.g_00699	Pram.g_00832
OG0000114	Syag.g_00609	Pram.g_00734
OG0000115	Syag.g_01397	Pram.g_01201
OG0000116	Syag.g_01156	Pram.g_01151
OG0000117	Syag.g_01097	Pram.g_01112
OG0000118	Syag.g_01232	Pram.g_01242
OG0000120	Syag.g_02535	Pram.g_01446
OG0000121	Syag.g_01414	Pram.g_01376
OG0000122	Syag.g_00446	Pram.g_01204, Pram.g_01334
OG0000123	Syag.g_02781	Pram.g_01777
OG0000124	Syag.g_02367	Pram.g_01850
OG0000125	Syag.g_02136, Syag.g_02134	Pram.g_01886
OG0000126	Syag.g_02266	Pram.g_01933
OG0000128	Syag.g_02284	Pram.g_01949
OG0000129	Syag.g_02121	Pram.g_00029
OG0000130	Syag.g_01819	Pram.g_00054
OG0000131	Syag.g_01951	Pram.g_00130
OG0000132	Syag.g_01972	Pram.g_00149
OG0000133	Syag.g_00806	Pram.g_00310
OG0000134	Syag.g_00008	Pram.g_00354
OG0000135	Syag.g_02171	Pram.g_01589
OG0000136	Syag.g_00038	Pram.g_00376
OG0000137	Syag.g_01356	Pram.g_00411
OG0000138	Syag.g_01511	Pram.g_00431
OG0000139	Syag.g_01448	Pram.g_00475
OG0000140	Syag.g_01446	Pram.g_00476
OG0000141	Syag.g_00351	Pram.g_00545
OG0000142	Syag.g_00410	Pram.g_01075
OG0000143	Syag.g_00414	Pram.g_01072
OG0000144	Syag.g_00493	Pram.g_01058
OG0000145	Syag.g_01504	Pram.g_01534
OG0000146	Syag.g_00800	Pram.g_00934
OG0000147	Syag.g_00799	Pram.g_00933
OG0000148	Syag.g_00693	Pram.g_00826
OG0000149	Syag.g_00731	Pram.g_00858
OG0000150	Syag.g_00352	Pram.g_00868
OG0000151	Syag.g_00623	Pram.g_00744
OG0000152	Syag.g_00810	Pram.g_00943
OG0000153	Syag.g_00845	Pram.g_00961
OG0000154	Syag.g_00870	Pram.g_00978
OG0000155	Syag.g_01107	Pram.g_01118
