Orthogroup	Prbd	Prbm
OG0000000	Prbd.g_01833	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000000	Prbd.g_01914	Prbm.g_00435, Prbm.g_01116, Prbm.g_01406, Prbm.g_01808
OG0000000	Prbd.g_01568	Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436
OG0000001	Prbd.g_01930	Prbm.g_01426
OG0000002	Prbd.g_01771	Prbm.g_00874
OG0000002	Prbd.g_00566	Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576, Prbm.g_01581, Prbm.g_00712
OG0000004	Prbd.g_00549	Prbm.g_01483
OG0000004	Prbd.g_01007	Prbm.g_00291
OG0000005	Prbd.g_01612	Prbm.g_01790
OG0000006	Prbd.g_00998	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588
OG0000007	Prbd.g_00745	Prbm.g_00522
OG0000007	Prbd.g_01525	Prbm.g_01841
OG0000009	Prbd.g_01887	Prbm.g_01235, Prbm.g_01400
OG0000010	Prbd.g_00768	Prbm.g_01066, Prbm.g_00499
OG0000011	Prbd.g_01859	Prbm.g_01202
OG0000011	Prbd.g_00534, Prbd.g_01867	Prbm.g_01174
OG0000012	Prbd.g_00621	Prbm.g_01106
OG0000013	Prbd.g_00912	Prbm.g_00382
OG0000014	Prbd.g_00933	Prbm.g_00362
OG0000015	Prbd.g_00065, Prbd.g_00826	Prbm.g_01427, Prbm.g_01149
OG0000016	Prbd.g_01224	Prbm.g_00013
OG0000017	Prbd.g_00646	Prbm.g_00635
OG0000018	Prbd.g_00449	Prbm.g_01571
OG0000018	Prbd.g_00129	Prbm.g_00843
OG0000019	Prbd.g_00082	Prbm.g_00792
OG0000020	Prbd.g_00406	Prbm.g_01065
OG0000021	Prbd.g_01546, Prbd.g_00874	Prbm.g_01939
OG0000022	Prbd.g_00061	Prbm.g_01204
OG0000022	Prbd.g_00423	Prbm.g_01324
OG0000023	Prbd.g_00879	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284
OG0000024	Prbd.g_00045	Prbm.g_01151
OG0000024	Prbd.g_00569	Prbm.g_00709
OG0000025	Prbd.g_00137, Prbd.g_00908	Prbm.g_00849
OG0000026	Prbd.g_01206, Prbd.g_00355	Prbm.g_00031
OG0000028	Prbd.g_01864	Prbm.g_01656
OG0000029	Prbd.g_00052	Prbm.g_01823
OG0000030	Prbd.g_01325	Prbm.g_02105
OG0000033	Prbd.g_01071	Prbm.g_00228
OG0000034	Prbd.g_01791	Prbm.g_01620
OG0000035	Prbd.g_01689	Prbm.g_01710
OG0000037	Prbd.g_01135	Prbm.g_00166
OG0000038	Prbd.g_01283	Prbm.g_02174
OG0000039	Prbd.g_00558	Prbm.g_00723
OG0000040	Prbd.g_01550	Prbm.g_01409, Prbm.g_01813
OG0000041	Prbd.g_01478	Prbm.g_01886
OG0000042	Prbd.g_01328	Prbm.g_02102
OG0000043	Prbd.g_00174	Prbm.g_00906
OG0000043	Prbd.g_01891	Prbm.g_01173
OG0000045	Prbd.g_00867	Prbm.g_01088
OG0000047	Prbd.g_00909	Prbm.g_00390
OG0000048	Prbd.g_00439, Prbd.g_00864	Prbm.g_00329
OG0000050	Prbd.g_01928	Prbm.g_01485
OG0000050	Prbd.g_00375	Prbm.g_00118
OG0000051	Prbd.g_01544	Prbm.g_01276
OG0000053	Prbd.g_01669	Prbm.g_01729
OG0000054	Prbd.g_00638	Prbm.g_00637
OG0000055	Prbd.g_00083	Prbm.g_00778
OG0000057	Prbd.g_00546	Prbm.g_00735
OG0000058	Prbd.g_01733	Prbm.g_00881
OG0000059	Prbd.g_01439	Prbm.g_01973
OG0000060	Prbd.g_00824	Prbm.g_01422
OG0000061	Prbd.g_00468	Prbm.g_01549
OG0000062	Prbd.g_01610	Prbm.g_01792
OG0000063	Prbd.g_01204	Prbm.g_01947
OG0000065	Prbd.g_01137	Prbm.g_00164
OG0000066	Prbd.g_00703	Prbm.g_00572
OG0000067	Prbd.g_00102	Prbm.g_00814
OG0000068	Prbd.g_01764	Prbm.g_01660
OG0000069	Prbd.g_01575	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753
OG0000070	Prbd.g_00792	Prbm.g_00460
OG0000071	Prbd.g_01801	Prbm.g_00468, Prbm.g_01611
OG0000072	Prbd.g_01069	Prbm.g_00230
OG0000073	Prbd.g_00743	Prbm.g_00533
OG0000074	Prbd.g_00562	Prbm.g_00717
OG0000075	Prbd.g_01359	Prbm.g_02069
OG0000076	Prbd.g_01335	Prbm.g_02094
OG0000077	Prbd.g_01166	Prbm.g_00135
OG0000078	Prbd.g_01000	Prbm.g_00300
OG0000079	Prbd.g_00987	Prbm.g_00311
OG0000081	Prbd.g_00711	Prbm.g_00564
OG0000082	Prbd.g_00658	Prbm.g_01900
OG0000083	Prbd.g_00038, Prbd.g_01855, Prbd.g_00031	Prbm.g_01436, Prbm.g_01988, Prbm.g_00081
OG0000084	Prbd.g_01693	Prbm.g_01706
OG0000085	Prbd.g_01532	Prbm.g_01834
OG0000086	Prbd.g_01156	Prbm.g_00145
OG0000087	Prbd.g_01104, Prbd.g_01103	Prbm.g_00198
OG0000088	Prbd.g_01074	Prbm.g_00225
OG0000089	Prbd.g_00883	Prbm.g_00423
OG0000090	Prbd.g_00709	Prbm.g_00566
OG0000091	Prbd.g_00602	Prbm.g_00673
OG0000092	Prbd.g_00211	Prbm.g_00934
OG0000093	Prbd.g_00232	Prbm.g_00799
