Orthogroup	Syag	Prad
OG0000001	Syag.g_00575	Prad.g_00609, Prad.g_01434, Prad.g_01994
OG0000004	Syag.g_00988	Prad.g_01269
OG0000004	Syag.g_00370, Syag.g_01790	Prad.g_01759
OG0000005	Syag.g_01708	Prad.g_00928
OG0000005	Syag.g_01667	Prad.g_00438
OG0000006	Syag.g_01772, Syag.g_02678, Syag.g_02687	Prad.g_01750
OG0000007	Syag.g_01507	Prad.g_00132
OG0000007	Syag.g_01687	Prad.g_00941
OG0000009	Syag.g_00220, Syag.g_00231	Prad.g_00317, Prad.g_00401
OG0000009	Syag.g_01883	Prad.g_01888
OG0000010	Syag.g_01355	Prad.g_01304, Prad.g_01011, Prad.g_00033
OG0000011	Syag.g_01299	Prad.g_01218, Prad.g_00339, Prad.g_01212
OG0000012	Syag.g_00995, Syag.g_00686, Syag.g_01105, Syag.g_00377	Prad.g_01412
OG0000013	Syag.g_02820, Syag.g_02806, Syag.g_02811	Prad.g_01664
OG0000014	Syag.g_02559	Prad.g_01685
OG0000015	Syag.g_00596	Prad.g_01108
OG0000016	Syag.g_02286	Prad.g_01973
OG0000017	Syag.g_00336	Prad.g_01387
OG0000018	Syag.g_01387	Prad.g_01515, Prad.g_01173
OG0000019	Syag.g_02663	Prad.g_01742, Prad.g_01125
OG0000020	Syag.g_00085	Prad.g_00647, Prad.g_01299
OG0000022	Syag.g_00458	Prad.g_01105, Prad.g_01993
OG0000023	Syag.g_00261, Syag.g_00234	Prad.g_00751
OG0000024	Syag.g_00455	Prad.g_01088, Prad.g_01249
OG0000025	Syag.g_00718	Prad.g_01181, Prad.g_01660
OG0000026	Syag.g_02309	Prad.g_01955, Prad.g_01004
OG0000027	Syag.g_00950, Syag.g_00165	Prad.g_01298, Prad.g_00353
OG0000028	Syag.g_02540	Prad.g_01671, Prad.g_01204
OG0000029	Syag.g_00195	Prad.g_00734, Prad.g_01096
OG0000032	Syag.g_01366	Prad.g_00572
OG0000032	Syag.g_02480	Prad.g_00561
OG0000033	Syag.g_01978	Prad.g_01822
OG0000034	Syag.g_01225, Syag.g_01947	Prad.g_00618
OG0000035	Syag.g_01420	Prad.g_00515
OG0000037	Syag.g_00173	Prad.g_01884
OG0000038	Syag.g_02130, Syag.g_02132	Prad.g_01582
OG0000039	Syag.g_01325, Syag.g_02155	Prad.g_01260
OG0000041	Syag.g_01750	Prad.g_00894
OG0000042	Syag.g_01094, Syag.g_02378	Prad.g_01624
OG0000043	Syag.g_00564	Prad.g_00276
OG0000045	Syag.g_00223	Prad.g_00738
OG0000047	Syag.g_00768	Prad.g_00683, Prad.g_01661
OG0000048	Syag.g_02611	Prad.g_00735
OG0000051	Syag.g_01026	Prad.g_00342
OG0000053	Syag.g_01391	Prad.g_00494
OG0000054	Syag.g_00350	Prad.g_01395
OG0000055	Syag.g_00946	Prad.g_01126
OG0000057	Syag.g_00985	Prad.g_01272
OG0000058	Syag.g_02477	Prad.g_00565
OG0000059	Syag.g_02721	Prad.g_00855
OG0000061	Syag.g_01141	Prad.g_01496
OG0000063	Syag.g_02313	Prad.g_01953, Prad.g_00081
OG0000065	Syag.g_00182, Syag.g_01885	Prad.g_01886
