Orthogroup	Pray	Prbk
OG0000000	Pray.g_01836	Prbk.g_02574
OG0000000	Pray.g_01085	Prbk.g_01649
OG0000002	Pray.g_01844	Prbk.g_01196, Prbk.g_00561, Prbk.g_02701, Prbk.g_00170, Prbk.g_00630
OG0000003	Pray.g_01890	Prbk.g_00166
OG0000004	Pray.g_00277, Pray.g_00284, Pray.g_01891	Prbk.g_01701, Prbk.g_00304, Prbk.g_00355
OG0000006	Pray.g_01559	Prbk.g_00907
OG0000007	Pray.g_01931	Prbk.g_01819
OG0000007	Pray.g_01091	Prbk.g_01820
OG0000009	Pray.g_00328, Pray.g_00730	Prbk.g_01004
OG0000011	Pray.g_00897	Prbk.g_02565
OG0000011	Pray.g_00808	Prbk.g_01202
OG0000012	Pray.g_01165	Prbk.g_01150, Prbk.g_01142
OG0000013	Pray.g_00309	Prbk.g_02558
OG0000016	Pray.g_01833	Prbk.g_01746, Prbk.g_01786
OG0000018	Pray.g_00722	Prbk.g_02695
OG0000019	Pray.g_01578	Prbk.g_01137
OG0000020	Pray.g_00852	Prbk.g_00405
OG0000024	Pray.g_00784	Prbk.g_00454
OG0000026	Pray.g_01495	Prbk.g_01613
OG0000028	Pray.g_01722	Prbk.g_00259
OG0000031	Pray.g_01894	Prbk.g_01709
OG0000032	Pray.g_01806	Prbk.g_00534, Prbk.g_00539
OG0000036	Pray.g_01177	Prbk.g_01122
OG0000037	Pray.g_01140	Prbk.g_02610
OG0000038	Pray.g_00304	Prbk.g_01667, Prbk.g_00212
OG0000039	Pray.g_00647	Prbk.g_01836, Prbk.g_00773
OG0000040	Pray.g_00838	Prbk.g_02448
OG0000042	Pray.g_01040	Prbk.g_01835, Prbk.g_00619
OG0000043	Pray.g_00333	Prbk.g_01644, Prbk.g_01642
OG0000045	Pray.g_01786	Prbk.g_00479
OG0000046	Pray.g_01566	Prbk.g_00919
OG0000047	Pray.g_01364	Prbk.g_00237
OG0000048	Pray.g_01371	Prbk.g_00140, Prbk.g_01495
OG0000050	Pray.g_01493	Prbk.g_01617
OG0000051	Pray.g_00638	Prbk.g_00764
OG0000052	Pray.g_00848	Prbk.g_00925
OG0000053	Pray.g_01222	Prbk.g_01094
OG0000054	Pray.g_00299	Prbk.g_01468
OG0000055	Pray.g_00370	Prbk.g_02493
OG0000056	Pray.g_00110	Prbk.g_00694
OG0000058	Pray.g_00965	Prbk.g_02113
OG0000059	Pray.g_01065	Prbk.g_01765
OG0000062	Pray.g_00097	Prbk.g_02195
OG0000063	Pray.g_01927	Prbk.g_01496
OG0000065	Pray.g_01870	Prbk.g_01183
OG0000066	Pray.g_01808	Prbk.g_00477
OG0000068	Pray.g_01306	Prbk.g_00796, Prbk.g_00944
OG0000069	Pray.g_01782	Prbk.g_00480, Prbk.g_01209
OG0000070	Pray.g_01942	Prbk.g_00094, Prbk.g_00841, Prbk.g_02591
OG0000071	Pray.g_01473	Prbk.g_02290
OG0000072	Pray.g_00800	Prbk.g_00472
OG0000073	Pray.g_01094	Prbk.g_00709
OG0000074	Pray.g_01072	Prbk.g_01815
OG0000075	Pray.g_00355	Prbk.g_02475
OG0000076	Pray.g_00584	Prbk.g_00056
OG0000078	Pray.g_01788	Prbk.g_00476
OG0000079	Pray.g_01644	Prbk.g_00931
OG0000080	Pray.g_01595	Prbk.g_02012
OG0000081	Pray.g_01337	Prbk.g_00512
