Orthogroup	Prbc	Prap
OG0000000	Prbc.g_00609, Prbc.g_00812	Prap.g_00494
OG0000000	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806, Prbc.g_02165	Prap.g_01862
OG0000000	Prbc.g_00618	Prap.g_00493
OG0000000	Prbc.g_02167	Prap.g_00493
OG0000000	Prbc.g_00618	Prap.g_01861
OG0000000	Prbc.g_02167	Prap.g_01861
OG0000000	Prbc.g_00608	Prap.g_01846
OG0000001	Prbc.g_00588	Prap.g_01925
OG0000001	Prbc.g_01530, Prbc.g_00925	Prap.g_00653
OG0000002	Prbc.g_01920	Prap.g_00720
OG0000002	Prbc.g_01475	Prap.g_00486
OG0000002	Prbc.g_01474	Prap.g_01946, Prap.g_00484
OG0000002	Prbc.g_01479, Prbc.g_01473	Prap.g_00491
OG0000002	Prbc.g_01478	Prap.g_00224
OG0000002	Prbc.g_01759	Prap.g_00823
OG0000004	Prbc.g_01381	Prap.g_00802
OG0000004	Prbc.g_00339	Prap.g_01480
OG0000005	Prbc.g_00788	Prap.g_00204
OG0000006	Prbc.g_02202	Prap.g_01470
OG0000007	Prbc.g_01556	Prap.g_01270
OG0000007	Prbc.g_00832	Prap.g_01779
OG0000008	Prbc.g_00893	Prap.g_01888
OG0000008	Prbc.g_00894	Prap.g_01887
OG0000009	Prbc.g_01344	Prap.g_00216
OG0000010	Prbc.g_02115	Prap.g_00669, Prap.g_00318
OG0000010	Prbc.g_01533	Prap.g_01293
OG0000011	Prbc.g_00066	Prap.g_00619
OG0000012	Prbc.g_02155	Prap.g_00236
OG0000013	Prbc.g_01219	Prap.g_01385
OG0000014	Prbc.g_01198	Prap.g_01403
OG0000015	Prbc.g_00599	Prap.g_01840, Prap.g_01794
OG0000016	Prbc.g_00929	Prap.g_00514
OG0000017	Prbc.g_01681	Prap.g_01170
OG0000018	Prbc.g_01468	Prap.g_00478
OG0000018	Prbc.g_01887	Prap.g_00755
OG0000019	Prbc.g_01836	Prap.g_00480
OG0000020	Prbc.g_02114	Prap.g_00228
OG0000020	Prbc.g_00116	Prap.g_01906
OG0000021	Prbc.g_00924	Prap.g_00229
OG0000021	Prbc.g_02189	Prap.g_00797
OG0000022	Prbc.g_00166	Prap.g_00212
OG0000023	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071	Prap.g_00029
OG0000024	Prbc.g_00598	Prap.g_00322
OG0000024	Prbc.g_01755	Prap.g_00826
OG0000025	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894	Prap.g_00747
OG0000026	Prbc.g_01101	Prap.g_00923
OG0000027	Prbc.g_00072	Prap.g_01912
OG0000028	Prbc.g_00653	Prap.g_01889
OG0000030	Prbc.g_00199	Prap.g_01569
OG0000031	Prbc.g_01228	Prap.g_00080
OG0000032	Prbc.g_00746	Prap.g_00160
OG0000033	Prbc.g_00402	Prap.g_01001
OG0000034	Prbc.g_00575	Prap.g_00572
OG0000037	Prbc.g_00464	Prap.g_01067
OG0000038	Prbc.g_00995	Prap.g_01530
OG0000039	Prbc.g_01768	Prap.g_00814
OG0000041	Prbc.g_00877	Prap.g_01731
OG0000042	Prbc.g_00203	Prap.g_01572
OG0000043	Prbc.g_01953	Prap.g_00477
OG0000045	Prbc.g_02137	Prap.g_00500
OG0000046	Prbc.g_01220	Prap.g_01384
OG0000047	Prbc.g_01273	Prap.g_01343
OG0000048	Prbc.g_01165	Prap.g_00548, Prap.g_01439
OG0000051	Prbc.g_00088	Prap.g_00611
OG0000052	Prbc.g_00518, Prbc.g_00517	Prap.g_00897
OG0000053	Prbc.g_00728	Prap.g_01834, Prap.g_00142
OG0000054	Prbc.g_01683	Prap.g_01161
OG0000055	Prbc.g_01822	Prap.g_00505
OG0000055	Prbc.g_00907	Prap.g_01805
OG0000057	Prbc.g_01780, Prbc.g_00055	Prap.g_00799
OG0000058	Prbc.g_01928	Prap.g_00081
OG0000059	Prbc.g_00958	Prap.g_01691
OG0000061	Prbc.g_01446	Prap.g_00456
OG0000062	Prbc.g_00790	Prap.g_00206
OG0000063	Prbc.g_00932	Prap.g_01903
OG0000065	Prbc.g_00466	Prap.g_01069
OG0000066	Prbc.g_01618	Prap.g_01230, Prap.g_01867
OG0000067	Prbc.g_01858	Prap.g_00783
OG0000068	Prbc.g_00657	Prap.g_00059
OG0000069	Prbc.g_02181, Prbc.g_00752	Prap.g_01312
OG0000070	Prbc.g_01511	Prap.g_01316
OG0000071	Prbc.g_00566	Prap.g_00561
OG0000072	Prbc.g_00400	Prap.g_00999
OG0000073	Prbc.g_01579	Prap.g_01267
OG0000074	Prbc.g_01960	Prap.g_00658
OG0000074	Prbc.g_01763	Prap.g_00819
OG0000075	Prbc.g_00236	Prap.g_01606
OG0000076	Prbc.g_00211	Prap.g_01580
OG0000077	Prbc.g_00495	Prap.g_01099
OG0000078	Prbc.g_00330	Prap.g_01472
OG0000079	Prbc.g_01148	Prap.g_01459
OG0000081	Prbc.g_01610	Prap.g_01238
OG0000082	Prbc.g_00891	Prap.g_01790
OG0000084	Prbc.g_00705	Prap.g_00118
OG0000085	Prbc.g_00826	Prap.g_01787, Prap.g_01917
OG0000086	Prbc.g_00485	Prap.g_01090
OG0000087	Prbc.g_00432	Prap.g_01035
