Orthogroup	Prar	Other
OG0000063	Prar.g_01003	Pral.g_01881
OG0000070	Prar.g_00932	Prbc.g_01108
OG0000124	Prar.g_00376	Prau.g_01496
OG0000137	Prar.g_00669	Prah.g_00116
OG0001427	Prar.g_00433	Pral.g_01294
OG0001629	Prar.g_01072	Prai.g_00145
OG0001629	Prar.g_01072	Prbi.g_01885, Prbi.g_01410, Prbi.g_00152
OG0001629	Prar.g_01072	Pray.g_01851
OG0001629	Prar.g_01072	Praz.g_01161
OG0001629	Prar.g_01072	Prba.g_01211
OG0001629	Prar.g_01072	Prae.g_01348
OG0001629	Prar.g_01072	Prab.g_01344
OG0001629	Prar.g_01072	Pran.g_00857
OG0001629	Prar.g_01072	Prav.g_00942
OG0001629	Prar.g_01072	Pras.g_00230
OG0001712	Prar.g_00861	Prax.g_01814
OG0001823	Prar.g_00854	Praf.g_00140
