Orthogroup	Prbk	Praf
OG0000000	Prbk.g_02574	Praf.g_01631
OG0000000	Prbk.g_01649	Praf.g_00948
OG0000001	Prbk.g_00167	Praf.g_00815
OG0000001	Prbk.g_00165	Praf.g_00813
OG0000002	Prbk.g_01196	Praf.g_01895
OG0000002	Prbk.g_00561, Prbk.g_02701	Praf.g_02422
OG0000002	Prbk.g_00170, Prbk.g_00630	Praf.g_01293
OG0000003	Prbk.g_00166	Praf.g_00814
OG0000004	Prbk.g_01701	Praf.g_01014
OG0000004	Prbk.g_00304, Prbk.g_00355	Praf.g_02005
OG0000006	Prbk.g_00907	Praf.g_00480
OG0000007	Prbk.g_01819	Praf.g_01223
OG0000007	Prbk.g_01820	Praf.g_01224
OG0000009	Prbk.g_01004	Praf.g_02214
OG0000011	Prbk.g_02565	Praf.g_01898
OG0000011	Prbk.g_01202	Praf.g_01864
OG0000012	Prbk.g_01150	Praf.g_00760
OG0000012	Prbk.g_01142	Praf.g_00752
OG0000013	Prbk.g_02558	Praf.g_01030, Praf.g_01033, Praf.g_01618
OG0000016	Prbk.g_01746	Praf.g_01108
OG0000016	Prbk.g_01786	Praf.g_01143
OG0000017	Prbk.g_01230	Praf.g_01828
OG0000018	Prbk.g_02695	Praf.g_00396, Praf.g_01719
OG0000019	Prbk.g_01137	Praf.g_00746
OG0000020	Prbk.g_00405	Praf.g_02267
OG0000024	Prbk.g_00454	Praf.g_02319
OG0000026	Prbk.g_01613	Praf.g_00041
OG0000028	Prbk.g_00259	Praf.g_01794
OG0000031	Prbk.g_01709	Praf.g_01022
OG0000032	Prbk.g_00534, Prbk.g_00539	Praf.g_02400
OG0000034	Prbk.g_00499	Praf.g_02366
OG0000036	Prbk.g_01122	Praf.g_00731
OG0000037	Prbk.g_02610	Praf.g_01668
OG0000038	Prbk.g_01667	Praf.g_00965
OG0000038	Prbk.g_00212	Praf.g_00201
OG0000039	Prbk.g_01836	Praf.g_01239
OG0000039	Prbk.g_00773	Praf.g_02454
OG0000042	Prbk.g_01835	Praf.g_01238
OG0000042	Prbk.g_00619	Praf.g_01302
OG0000043	Prbk.g_01644	Praf.g_00943
OG0000043	Prbk.g_01642	Praf.g_00941
OG0000044	Prbk.g_01019	Praf.g_00854
OG0000045	Prbk.g_00479	Praf.g_02345
OG0000046	Prbk.g_00919	Praf.g_00491
OG0000047	Prbk.g_00237	Praf.g_00178
OG0000048	Prbk.g_00140	Praf.g_00920
OG0000048	Prbk.g_01495	Praf.g_00164
OG0000049	Prbk.g_00789	Praf.g_02480, Praf.g_02526
OG0000049	Prbk.g_01243	Praf.g_00332
OG0000049	Prbk.g_00899, Prbk.g_02221	Praf.g_02486
OG0000049	Prbk.g_01100	Praf.g_01194, Praf.g_01259, Praf.g_02726
OG0000050	Prbk.g_01617	Praf.g_00037
OG0000051	Prbk.g_00764	Praf.g_02445
OG0000052	Prbk.g_00925	Praf.g_00496
OG0000053	Prbk.g_01094	Praf.g_00672
OG0000054	Prbk.g_01468	Praf.g_00348
OG0000055	Prbk.g_02493	Praf.g_01556
OG0000056	Prbk.g_00694	Praf.g_02587
OG0000058	Prbk.g_02113	Praf.g_01907
OG0000059	Prbk.g_01765	Praf.g_01125
OG0000062	Prbk.g_02195	Praf.g_01034, Praf.g_02690
OG0000063	Prbk.g_01496	Praf.g_00919
OG0000065	Prbk.g_01183	Praf.g_00796
OG0000066	Prbk.g_00477	Praf.g_02343
OG0000068	Prbk.g_00796, Prbk.g_00944	Praf.g_02119
OG0000069	Prbk.g_00480	Praf.g_02346
OG0000069	Prbk.g_01209	Praf.g_01851
OG0000070	Prbk.g_00841	Praf.g_02084
OG0000070	Prbk.g_02591	Praf.g_01648
OG0000071	Prbk.g_02290	Praf.g_00012
OG0000072	Prbk.g_00472	Praf.g_02336
OG0000073	Prbk.g_00709	Praf.g_01748
OG0000074	Prbk.g_01815	Praf.g_01218, Praf.g_01219
OG0000075	Prbk.g_02475	Praf.g_01537
OG0000076	Prbk.g_00056	Praf.g_01274
OG0000078	Prbk.g_00476	Praf.g_02342
OG0000079	Prbk.g_00931	Praf.g_00501
OG0000080	Prbk.g_02012	Praf.g_00549
OG0000081	Prbk.g_00512	Praf.g_02382, Praf.g_02380, Praf.g_02378
OG0000082	Prbk.g_02204	Praf.g_02699
OG0000083	Prbk.g_02281	Praf.g_00003
OG0000084	Prbk.g_02284	Praf.g_00006
OG0000085	Prbk.g_01626	Praf.g_00028
OG0000087	Prbk.g_02126	Praf.g_00333, Praf.g_02602
OG0000088	Prbk.g_00191	Praf.g_00224
OG0000089	Prbk.g_00206	Praf.g_00212
OG0000090	Prbk.g_00559	Praf.g_02420
OG0000091	Prbk.g_00776	Praf.g_02457
OG0000092	Prbk.g_00777	Praf.g_02468
OG0000093	Prbk.g_01280	Praf.g_02492
OG0000094	Prbk.g_01251	Praf.g_02521
OG0000095	Prbk.g_00632	Praf.g_02532
OG0000096	Prbk.g_01001	Praf.g_02217
OG0000097	Prbk.g_00409	Praf.g_02271
OG0000098	Prbk.g_00422	Praf.g_02284
OG0000099	Prbk.g_00434	Praf.g_02296
OG0000100	Prbk.g_00438	Praf.g_02300
OG0000101	Prbk.g_00361	Praf.g_02012
OG0000102	Prbk.g_02209	Praf.g_02715, Praf.g_02705
OG0000103	Prbk.g_02114	Praf.g_01905
OG0000104	Prbk.g_02061	Praf.g_00595
OG0000105	Prbk.g_01862	Praf.g_00616
OG0000106	Prbk.g_01078	Praf.g_00658
OG0000107	Prbk.g_01080	Praf.g_00660
OG0000108	Prbk.g_02684	Praf.g_00681
OG0000109	Prbk.g_01890	Praf.g_00692
OG0000110	Prbk.g_01871	Praf.g_00711
OG0000111	Prbk.g_00740	Praf.g_01720
OG0000112	Prbk.g_00739	Praf.g_01035, Praf.g_01721
OG0000113	Prbk.g_02370	Praf.g_01435
OG0000114	Prbk.g_02466	Praf.g_01528
OG0000115	Prbk.g_02324	Praf.g_01392
OG0000116	Prbk.g_02316	Praf.g_01383, Praf.g_01384
OG0000117	Prbk.g_00059	Praf.g_01277
OG0000118	Prbk.g_02271	Praf.g_02776
OG0000119	Prbk.g_02197	Praf.g_02692
OG0000120	Prbk.g_00144	Praf.g_00861
OG0000121	Prbk.g_00138	Praf.g_00922
OG0000122	Prbk.g_00185	Praf.g_00901
OG0000123	Prbk.g_00121	Praf.g_00938
OG0000124	Prbk.g_00066	Praf.g_01285
OG0000125	Prbk.g_01169	Praf.g_00779
OG0000126	Prbk.g_02052	Praf.g_00585, Praf.g_00583
OG0000127	Prbk.g_00243	Praf.g_01778, Praf.g_01776
OG0000128	Prbk.g_00260	Praf.g_01795
OG0000129	Prbk.g_01212	Praf.g_01848
OG0000130	Prbk.g_00913	Praf.g_00485
OG0000131	Prbk.g_01417	Praf.g_00437
OG0000132	Prbk.g_01414	Praf.g_00434
OG0000133	Prbk.g_00987	Praf.g_02162
OG0000134	Prbk.g_00950	Praf.g_02125
OG0000135	Prbk.g_00948	Praf.g_02123
OG0000136	Prbk.g_00528	Praf.g_02396
OG0000137	Prbk.g_01540	Praf.g_00152
OG0000138	Prbk.g_02168	Praf.g_02664
OG0000139	Prbk.g_02252	Praf.g_02757
OG0000140	Prbk.g_02279	Praf.g_00001
OG0000141	Prbk.g_02280	Praf.g_00002
OG0000142	Prbk.g_02282	Praf.g_00004
OG0000143	Prbk.g_02283	Praf.g_00005
OG0000144	Prbk.g_02285	Praf.g_00007
OG0000145	Prbk.g_02287	Praf.g_00009
OG0000146	Prbk.g_02288	Praf.g_00010
OG0000147	Prbk.g_02289	Praf.g_00011
OG0000148	Prbk.g_02291	Praf.g_00013
OG0000149	Prbk.g_01639	Praf.g_00015
OG0000150	Prbk.g_01638	Praf.g_00016
OG0000151	Prbk.g_01633	Praf.g_00021
OG0000152	Prbk.g_01632	Praf.g_00022
OG0000153	Prbk.g_01631	Praf.g_00023
OG0000154	Prbk.g_01630	Praf.g_00024
OG0000155	Prbk.g_01629	Praf.g_00025
OG0000156	Prbk.g_01628	Praf.g_00026
OG0000157	Prbk.g_01627	Praf.g_00027
OG0000158	Prbk.g_01625	Praf.g_00029
OG0000159	Prbk.g_01624	Praf.g_00030
OG0000160	Prbk.g_01623	Praf.g_00031
OG0000161	Prbk.g_01622	Praf.g_00032
OG0000162	Prbk.g_01621	Praf.g_00033
OG0000163	Prbk.g_01619	Praf.g_00035
OG0000164	Prbk.g_01614	Praf.g_00040
OG0000165	Prbk.g_01609	Praf.g_00045
OG0000166	Prbk.g_01608	Praf.g_00046
OG0000167	Prbk.g_01607	Praf.g_00047
OG0000168	Prbk.g_01606	Praf.g_00050
OG0000169	Prbk.g_01604	Praf.g_00052
OG0000170	Prbk.g_02158	Praf.g_02654
OG0000171	Prbk.g_02156	Praf.g_02652
OG0000172	Prbk.g_02155	Praf.g_02618
OG0000173	Prbk.g_02148	Praf.g_02611
OG0000174	Prbk.g_02141	Praf.g_02605
