Orthogroup	Syaa	Prbl
OG0000004	Syaa.g_00892	Prbl.g_00021
OG0000004	Syaa.g_01667, Syaa.g_02116	Prbl.g_01771
OG0000005	Syaa.g_00573	Prbl.g_00419
OG0000006	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Prbl.g_02601
OG0000007	Syaa.g_02032	Prbl.g_00531
OG0000007	Syaa.g_00551	Prbl.g_00394
OG0000008	Syaa.g_00918	Prbl.g_01855
OG0000008	Syaa.g_00919	Prbl.g_01854
OG0000009	Syaa.g_02378	Prbl.g_00155, Prbl.g_00554
OG0000010	Syaa.g_01843	Prbl.g_01341
OG0000012	Syaa.g_01660	Prbl.g_01618
OG0000013	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212	Prbl.g_01183
OG0000014	Syaa.g_00222	Prbl.g_01416
OG0000015	Syaa.g_01079, Syaa.g_01989	Prbl.g_01566
OG0000017	Syaa.g_01883	Prbl.g_01755
OG0000017	Syaa.g_01890	Prbl.g_01763
OG0000018	Syaa.g_01801	Prbl.g_00694
OG0000019	Syaa.g_00307	Prbl.g_01097
OG0000021	Syaa.g_02627	Prbl.g_01768
OG0000022	Syaa.g_01571	Prbl.g_01310, Prbl.g_01072
OG0000023	Syaa.g_01529, Syaa.g_01216	Prbl.g_02355
OG0000024	Syaa.g_00922	Prbl.g_00040
OG0000025	Syaa.g_00839	Prbl.g_01539
OG0000026	Syaa.g_00038	Prbl.g_01977
OG0000028	Syaa.g_00205	Prbl.g_00900
OG0000029	Syaa.g_01578	Prbl.g_01163
OG0000030	Syaa.g_00099	Prbl.g_02061
OG0000030	Syaa.g_00098	Prbl.g_02060
OG0000032	Syaa.g_01818	Prbl.g_00712
OG0000033	Syaa.g_02478	Prbl.g_00278
OG0000034	Syaa.g_00722, Syaa.g_02444	Prbl.g_01734
OG0000035	Syaa.g_01773	Prbl.g_00242
OG0000037	Syaa.g_02384	Prbl.g_00548
OG0000038	Syaa.g_02596	Prbl.g_02235
OG0000041	Syaa.g_00660	Prbl.g_00339
OG0000042	Syaa.g_00103	Prbl.g_01236, Prbl.g_01121
OG0000044	Syaa.g_00363	Prbl.g_01937, Prbl.g_01006, Prbl.g_02631, Prbl.g_02612
OG0000045	Syaa.g_01518, Syaa.g_01560	Prbl.g_00609
OG0000046	Syaa.g_02218, Syaa.g_02211, Syaa.g_02205	Prbl.g_01184
OG0000047	Syaa.g_02189	Prbl.g_01574, Prbl.g_00719
OG0000048	Syaa.g_00275	Prbl.g_01465
OG0000051	Syaa.g_01531	Prbl.g_01677
OG0000052	Syaa.g_00174	Prbl.g_00870
OG0000053	Syaa.g_01797	Prbl.g_00691
OG0000054	Syaa.g_01691	Prbl.g_01752
OG0000057	Syaa.g_00889	Prbl.g_00025
OG0000058	Syaa.g_00455	Prbl.g_00890
OG0000059	Syaa.g_02315	Prbl.g_00836
OG0000060	Syaa.g_02053	Prbl.g_00508
OG0000061	Syaa.g_00770	Prbl.g_02084
OG0000062	Syaa.g_00571	Prbl.g_00417
OG0000063	Syaa.g_00042	Prbl.g_01981
OG0000065	Syaa.g_02380	Prbl.g_00552
OG0000066	Syaa.g_01968	Prbl.g_00752
OG0000067	Syaa.g_01154	Prbl.g_02335
OG0000068	Syaa.g_02059	Prbl.g_00502
OG0000070	Syaa.g_00718	Prbl.g_00634
OG0000071	Syaa.g_00735	Prbl.g_01722
OG0000072	Syaa.g_02480	Prbl.g_00276
OG0000073	Syaa.g_02030	Prbl.g_00533
OG0000075	Syaa.g_00157	Prbl.g_00855
OG0000076	Syaa.g_00123	Prbl.g_01285
OG0000077	Syaa.g_00341	Prbl.g_00596
OG0000078	Syaa.g_02103	Prbl.g_00193
OG0000079	Syaa.g_00303	Prbl.g_01505
OG0000081	Syaa.g_01694	Prbl.g_01036
OG0000081	Syaa.g_02089	Prbl.g_00032
OG0000082	Syaa.g_01905	Prbl.g_01783
OG0000084	Syaa.g_01770	Prbl.g_00246
OG0000085	Syaa.g_00564	Prbl.g_00405
OG0000086	Syaa.g_00324	Prbl.g_00583
OG0000087	Syaa.g_02433	Prbl.g_00810
OG0000088	Syaa.g_02474	Prbl.g_01838, Prbl.g_00281
OG0000089	Syaa.g_02149	Prbl.g_02674
OG0000090	Syaa.g_01980	Prbl.g_00766
OG0000091	Syaa.g_01625	Prbl.g_01647
OG0000093	Syaa.g_01139	Prbl.g_02359
OG0000095	Syaa.g_00879	Prbl.g_00927
OG0000097	Syaa.g_00979	Prbl.g_02579
OG0000099	Syaa.g_00202	Prbl.g_00893
OG0000100	Syaa.g_01201	Prbl.g_01914, Prbl.g_02305
OG0000101	Syaa.g_02249	Prbl.g_01000
OG0000102	Syaa.g_00118	Prbl.g_02636
OG0000103	Syaa.g_02740	Prbl.g_02139
OG0000104	Syaa.g_02754	Prbl.g_02125
OG0000105	Syaa.g_00270	Prbl.g_01461
OG0000106	Syaa.g_01439	Prbl.g_00411
OG0000107	Syaa.g_02351	Prbl.g_02681
OG0000108	Syaa.g_02051	Prbl.g_00511
OG0000109	Syaa.g_02036	Prbl.g_00527
OG0000110	Syaa.g_01918	Prbl.g_01795
OG0000111	Syaa.g_00888	Prbl.g_00026
OG0000112	Syaa.g_01366	Prbl.g_02470
OG0000113	Syaa.g_01196	Prbl.g_02310
OG0000114	Syaa.g_01094	Prbl.g_02407
OG0000115	Syaa.g_01795	Prbl.g_00687
OG0000116	Syaa.g_00757	Prbl.g_02069
OG0000117	Syaa.g_01009	Prbl.g_01384
OG0000118	Syaa.g_01874	Prbl.g_01736
OG0000119	Syaa.g_00785	Prbl.g_00007, Prbl.g_00046
OG0000120	Syaa.g_00201	Prbl.g_00892
OG0000121	Syaa.g_01777	Prbl.g_00234, Prbl.g_00240
OG0000122	Syaa.g_01598	Prbl.g_01808
OG0000123	Syaa.g_02242	Prbl.g_01135
OG0000124	Syaa.g_00092	Prbl.g_02054
OG0000125	Syaa.g_02598	Prbl.g_02231
OG0000126	Syaa.g_02752	Prbl.g_02127
OG0000127	Syaa.g_00934	Prbl.g_00745, Prbl.g_01821
OG0000128	Syaa.g_00012	Prbl.g_02109
OG0000129	Syaa.g_02586	Prbl.g_02243
OG0000130	Syaa.g_00354	Prbl.g_00608
OG0000131	Syaa.g_02448	Prbl.g_00303
OG0000132	Syaa.g_02472	Prbl.g_00283
OG0000133	Syaa.g_01361	Prbl.g_00897
OG0000134	Syaa.g_02146	Prbl.g_02677
OG0000135	Syaa.g_02649	Prbl.g_02190
OG0000136	Syaa.g_00708	Prbl.g_00647
OG0000137	Syaa.g_01842	Prbl.g_01340
OG0000138	Syaa.g_02035	Prbl.g_00528
OG0000139	Syaa.g_01974	Prbl.g_00760
OG0000140	Syaa.g_01971	Prbl.g_00754
OG0000141	Syaa.g_01689	Prbl.g_01751
OG0000142	Syaa.g_01633	Prbl.g_01639
OG0000143	Syaa.g_01629	Prbl.g_01643
OG0000144	Syaa.g_01446	Prbl.g_01042
OG0000145	Syaa.g_02029	Prbl.g_00534
OG0000146	Syaa.g_01367	Prbl.g_02469
OG0000147	Syaa.g_01368	Prbl.g_02468
OG0000148	Syaa.g_01190	Prbl.g_02316
OG0000149	Syaa.g_00826	Prbl.g_01552
OG0000150	Syaa.g_01688	Prbl.g_01576
OG0000151	Syaa.g_01107	Prbl.g_02386
OG0000152	Syaa.g_01357	Prbl.g_02478
OG0000153	Syaa.g_01324	Prbl.g_02505
OG0000154	Syaa.g_01298	Prbl.g_02532
OG0000155	Syaa.g_00804	Prbl.g_00185
OG0000156	Syaa.g_00751	Prbl.g_00115
OG0000157	Syaa.g_00750	Prbl.g_00114
OG0000158	Syaa.g_00148	Prbl.g_00843
OG0000160	Syaa.g_01776	Prbl.g_00241
OG0000161	Syaa.g_01782	Prbl.g_00227
OG0000162	Syaa.g_01788	Prbl.g_00221
OG0000163	Syaa.g_00624	Prbl.g_00452
OG0000164	Syaa.g_00507	Prbl.g_00365
OG0000165	Syaa.g_00681	Prbl.g_00356
OG0000166	Syaa.g_02289	Prbl.g_00962
OG0000167	Syaa.g_00160	Prbl.g_00857
OG0000168	Syaa.g_00145	Prbl.g_00842
OG0000169	Syaa.g_00134	Prbl.g_01302
OG0000170	Syaa.g_00128	Prbl.g_01290
OG0000171	Syaa.g_00093	Prbl.g_02055
OG0000172	Syaa.g_00079	Prbl.g_02021
OG0000173	Syaa.g_00060	Prbl.g_02000
OG0000174	Syaa.g_02651	Prbl.g_02188
OG0000175	Syaa.g_02726	Prbl.g_02150
OG0000176	Syaa.g_00004	Prbl.g_02117
OG0000177	Syaa.g_00005	Prbl.g_02116
OG0000178	Syaa.g_00006	Prbl.g_02115
OG0000179	Syaa.g_00023	Prbl.g_01961
OG0000180	Syaa.g_00024	Prbl.g_01962
OG0000181	Syaa.g_00025	Prbl.g_01963
OG0000182	Syaa.g_00026	Prbl.g_01964
OG0000183	Syaa.g_00030	Prbl.g_01968
OG0000184	Syaa.g_02578	Prbl.g_02251
OG0000185	Syaa.g_02575	Prbl.g_02273
OG0000186	Syaa.g_00359	Prbl.g_00614
OG0000187	Syaa.g_00358	Prbl.g_00613
OG0000188	Syaa.g_00334	Prbl.g_00591
OG0000189	Syaa.g_02367	Prbl.g_00565
OG0000190	Syaa.g_02369	Prbl.g_00563
OG0000191	Syaa.g_02404	Prbl.g_01325
OG0000192	Syaa.g_02410	Prbl.g_01316
OG0000193	Syaa.g_02449	Prbl.g_00302
OG0000194	Syaa.g_02452	Prbl.g_00299
OG0000195	Syaa.g_02459	Prbl.g_00297
OG0000196	Syaa.g_02469	Prbl.g_00286
OG0000197	Syaa.g_02470	Prbl.g_00285
OG0000198	Syaa.g_02471	Prbl.g_00284
OG0000199	Syaa.g_02479	Prbl.g_00277
OG0000200	Syaa.g_02496	Prbl.g_00069
OG0000201	Syaa.g_02521	Prbl.g_00088
OG0000202	Syaa.g_02522	Prbl.g_00089
OG0000203	Syaa.g_02523	Prbl.g_00090
OG0000204	Syaa.g_02524	Prbl.g_00091
OG0000205	Syaa.g_02531	Prbl.g_00098
OG0000206	Syaa.g_02538	Prbl.g_01282
OG0000207	Syaa.g_02540	Prbl.g_00130
OG0000208	Syaa.g_02541	Prbl.g_00129
OG0000209	Syaa.g_02556	Prbl.g_01256
OG0000210	Syaa.g_02557	Prbl.g_01257
OG0000211	Syaa.g_02113	Prbl.g_01922
OG0000212	Syaa.g_02102	Prbl.g_00192
OG0000213	Syaa.g_00295	Prbl.g_01496
OG0000214	Syaa.g_00279	Prbl.g_01469
OG0000215	Syaa.g_00248	Prbl.g_01439
OG0000216	Syaa.g_00244	Prbl.g_01436
OG0000217	Syaa.g_00240	Prbl.g_01432
OG0000218	Syaa.g_00238	Prbl.g_01428
OG0000219	Syaa.g_00237	Prbl.g_01427
OG0000220	Syaa.g_00236	Prbl.g_01426
OG0000221	Syaa.g_00229	Prbl.g_01421
OG0000222	Syaa.g_00215	Prbl.g_00911
OG0000223	Syaa.g_00192	Prbl.g_00888
OG0000224	Syaa.g_00183	Prbl.g_00877
OG0000225	Syaa.g_02166	Prbl.g_01218
OG0000226	Syaa.g_02162	Prbl.g_01222
OG0000227	Syaa.g_02160	Prbl.g_01224
OG0000228	Syaa.g_02150	Prbl.g_02673
OG0000229	Syaa.g_00703	Prbl.g_00652
OG0000230	Syaa.g_00705	Prbl.g_00650
OG0000231	Syaa.g_00717	Prbl.g_00635
