Orthogroup	Prav	Prak
OG0000000	Prav.g_01466	Prak.g_00908, Prak.g_00913
OG0000000	Prav.g_01276	Prak.g_00805, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494
OG0000002	Prav.g_01458	Prak.g_01302
OG0000002	Prav.g_00962, Prav.g_01820, Prav.g_02007, Prav.g_01734	Prak.g_00755
OG0000003	Prav.g_01019, Prav.g_01413	Prak.g_01210
OG0000004	Prav.g_00330, Prav.g_00338	Prak.g_01251
OG0000005	Prav.g_00973	Prak.g_01562
OG0000006	Prav.g_01095	Prak.g_00458
OG0000006	Prav.g_01761	Prak.g_01645
OG0000007	Prav.g_01749	Prak.g_01544
OG0000007	Prav.g_01750	Prak.g_01545, Prak.g_01546
OG0000009	Prav.g_00375	Prak.g_01196
OG0000009	Prav.g_01896	Prak.g_00266
OG0000010	Prav.g_01732, Prav.g_01400	Prak.g_00702
OG0000012	Prav.g_01194	Prak.g_00559, Prak.g_00566
OG0000013	Prav.g_00961	Prak.g_01584, Prak.g_01630
OG0000014	Prav.g_01068, Prav.g_01416	Prak.g_01521, Prak.g_01564
OG0000015	Prav.g_00998	Prak.g_01573, Prak.g_01606
OG0000016	Prav.g_01469	Prak.g_01226, Prak.g_01488
OG0000018	Prav.g_02001	Prak.g_00258
OG0000019	Prav.g_00984	Prak.g_00831
OG0000020	Prav.g_00993	Prak.g_01264, Prak.g_00289
OG0000021	Prav.g_00377	Prak.g_01627
OG0000023	Prav.g_01688	Prak.g_01486
OG0000024	Prav.g_01952	Prak.g_00325
OG0000025	Prav.g_01013	Prak.g_00741
OG0000028	Prav.g_01578	Prak.g_01391
OG0000029	Prav.g_01689, Prav.g_01881	Prak.g_00416
OG0000033	Prav.g_01385	Prak.g_01230
OG0000034	Prav.g_01533	Prak.g_01369
OG0000035	Prav.g_01877	Prak.g_00709
OG0000036	Prav.g_01182	Prak.g_01634, Prak.g_00546
OG0000037	Prav.g_01221	Prak.g_01506, Prak.g_00584
OG0000038	Prav.g_00360	Prak.g_01482
OG0000039	Prav.g_00872	Prak.g_00178
OG0000040	Prav.g_00979	Prak.g_00721
OG0000042	Prav.g_00306	Prak.g_00837
OG0000043	Prav.g_00381	Prak.g_00937
OG0000044	Prav.g_00065	Prak.g_01172
OG0000045	Prav.g_01512	Prak.g_01351
OG0000046	Prav.g_01754	Prak.g_01637, Prak.g_01516
OG0000047	Prav.g_00689	Prak.g_01842
OG0000048	Prav.g_00696	Prak.g_01850
OG0000050	Prav.g_01324	Prak.g_00032
OG0000051	Prav.g_00881	Prak.g_00169
OG0000052	Prav.g_00989	Prak.g_00687
OG0000053	Prav.g_01137	Prak.g_00498, Prak.g_01557
OG0000054	Prav.g_01325	Prak.g_00601
OG0000055	Prav.g_00419	Prak.g_00868
OG0000056	Prav.g_00021	Prak.g_01228
OG0000057	Prav.g_00801	Prak.g_00253
OG0000058	Prav.g_01073	Prak.g_00436
OG0000059	Prav.g_01296	Prak.g_00829
OG0000062	Prav.g_00033	Prak.g_01550
OG0000063	Prav.g_01390	Prak.g_01145
OG0000065	Prav.g_01438	Prak.g_01277
OG0000066	Prav.g_01513	Prak.g_01349
OG0000067	Prav.g_01014	Prak.g_00660
OG0000068	Prav.g_00632	Prak.g_01780
OG0000069	Prav.g_01499	Prak.g_01430
OG0000071	Prav.g_00079	Prak.g_00011
OG0000073	Prav.g_01267	Prak.g_01072
OG0000074	Prav.g_01289	Prak.g_00819
OG0000075	Prav.g_00404	Prak.g_00852
OG0000076	Prav.g_00933	Prak.g_00920
OG0000078	Prav.g_01514	Prak.g_01352
OG0000079	Prav.g_01551	Prak.g_01476
OG0000080	Prav.g_01705	Prak.g_00661
OG0000081	Prav.g_00663	Prak.g_01814
OG0000082	Prav.g_00751	Prak.g_00656
OG0000083	Prav.g_00789	Prak.g_00003
OG0000084	Prav.g_00792	Prak.g_00006
OG0000085	Prav.g_00091	Prak.g_00023
OG0000087	Prav.g_00120	Prak.g_00052
OG0000088	Prav.g_00178	Prak.g_00121
OG0000089	Prav.g_00186	Prak.g_00130
OG0000090	Prav.g_00204	Prak.g_00147
OG0000091	Prav.g_00869	Prak.g_00181
OG0000092	Prav.g_00868	Prak.g_00182
OG0000093	Prav.g_00854	Prak.g_00196
OG0000094	Prav.g_00836	Prak.g_00215
OG0000095	Prav.g_00831	Prak.g_00220
OG0000096	Prav.g_01898	Prak.g_00268
OG0000097	Prav.g_01920	Prak.g_00292
OG0000098	Prav.g_01930	Prak.g_00303
OG0000099	Prav.g_01940	Prak.g_00313
OG0000100	Prav.g_01943	Prak.g_00316
OG0000101	Prav.g_00976	Prak.g_00381
OG0000102	Prav.g_00999	Prak.g_01259
OG0000103	Prav.g_01074	Prak.g_00437
OG0000104	Prav.g_01078	Prak.g_00441
OG0000105	Prav.g_01097	Prak.g_00461
OG0000106	Prav.g_01130	Prak.g_00491
OG0000107	Prav.g_01131	Prak.g_00492
OG0000108	Prav.g_00954, Prav.g_01141	Prak.g_00502
OG0000109	Prav.g_01150	Prak.g_00512
OG0000110	Prav.g_01166	Prak.g_00529
OG0000111	Prav.g_01249	Prak.g_01091
OG0000112	Prav.g_01250	Prak.g_01090
OG0000113	Prav.g_00328	Prak.g_01040
OG0000114	Prav.g_00395	Prak.g_00843
OG0000115	Prav.g_00556	Prak.g_00973
OG0000116	Prav.g_00560	Prak.g_00977
OG0000117	Prav.g_00930	Prak.g_00923
OG0000118	Prav.g_00261	Prak.g_01217
OG0000119	Prav.g_00036	Prak.g_01553
OG0000120	Prav.g_00071	Prak.g_01166
OG0000121	Prav.g_01856	Prak.g_01143
OG0000122	Prav.g_01837, Prav.g_00955	Prak.g_01123
OG0000123	Prav.g_01824	Prak.g_00594
OG0000124	Prav.g_02003	Prak.g_01487
OG0000125	Prav.g_01450	Prak.g_01290
OG0000126	Prav.g_01473	Prak.g_01329
OG0000127	Prav.g_01565	Prak.g_01379
OG0000128	Prav.g_01579	Prak.g_01392
OG0000129	Prav.g_01615	Prak.g_01428
OG0000130	Prav.g_01759	Prak.g_01642
OG0000131	Prav.g_01797	Prak.g_01681
OG0000132	Prav.g_01800	Prak.g_01684
OG0000133	Prav.g_00591	Prak.g_01738
OG0000134	Prav.g_00627	Prak.g_01774
OG0000135	Prav.g_00629	Prak.g_01776
OG0000136	Prav.g_00674	Prak.g_01826
OG0000137	Prav.g_00706	Prak.g_01860
OG0000138	Prav.g_00741	Prak.g_01895
OG0000139	Prav.g_00768	Prak.g_01926
OG0000140	Prav.g_00787	Prak.g_00001
OG0000141	Prav.g_00788	Prak.g_00002
OG0000142	Prav.g_00790	Prak.g_00004
OG0000143	Prav.g_00791	Prak.g_00005
OG0000144	Prav.g_00793	Prak.g_00007
OG0000145	Prav.g_00794	Prak.g_00008
OG0000146	Prav.g_00795	Prak.g_00009
OG0000147	Prav.g_00078	Prak.g_00010
OG0000148	Prav.g_00080	Prak.g_00012
OG0000149	Prav.g_00082	Prak.g_00014
OG0000150	Prav.g_00083	Prak.g_00015
OG0000151	Prav.g_00084	Prak.g_00016
OG0000152	Prav.g_00085	Prak.g_00017
OG0000153	Prav.g_00086	Prak.g_00018
OG0000154	Prav.g_00087	Prak.g_00019
OG0000155	Prav.g_00088	Prak.g_00020
OG0000156	Prav.g_00089	Prak.g_00021
OG0000157	Prav.g_00090	Prak.g_00022
OG0000158	Prav.g_00092	Prak.g_00024
OG0000159	Prav.g_00093	Prak.g_00025
OG0000160	Prav.g_00094	Prak.g_00026
OG0000161	Prav.g_00095	Prak.g_00027
OG0000162	Prav.g_00096	Prak.g_00028
OG0000163	Prav.g_00097	Prak.g_00030
OG0000164	Prav.g_00100	Prak.g_00033
OG0000165	Prav.g_00103	Prak.g_00036
OG0000166	Prav.g_00104	Prak.g_00037
OG0000167	Prav.g_00105	Prak.g_00038
OG0000168	Prav.g_00111	Prak.g_00040
OG0000169	Prav.g_00113	Prak.g_00042
OG0000170	Prav.g_00114	Prak.g_00044
OG0000171	Prav.g_00115	Prak.g_00045
OG0000172	Prav.g_00116	Prak.g_00046
OG0000173	Prav.g_00117	Prak.g_00049
OG0000174	Prav.g_00118	Prak.g_00050
OG0000175	Prav.g_00119	Prak.g_00051
OG0000176	Prav.g_00121	Prak.g_00053
OG0000177	Prav.g_00122	Prak.g_00054
OG0000178	Prav.g_00123	Prak.g_00056
OG0000179	Prav.g_00129	Prak.g_00068
OG0000180	Prav.g_00130	Prak.g_00069
OG0000181	Prav.g_00131	Prak.g_00070
OG0000182	Prav.g_00134	Prak.g_00074
OG0000183	Prav.g_00135	Prak.g_00075
OG0000184	Prav.g_00138	Prak.g_00078
OG0000185	Prav.g_00142	Prak.g_00082
OG0000186	Prav.g_00143	Prak.g_00083
OG0000187	Prav.g_00144	Prak.g_00717
OG0000188	Prav.g_00145	Prak.g_00084
OG0000189	Prav.g_00146	Prak.g_00085
OG0000190	Prav.g_00147	Prak.g_00086
OG0000191	Prav.g_00148	Prak.g_00087
OG0000192	Prav.g_00149	Prak.g_00088
OG0000193	Prav.g_00150	Prak.g_00089
OG0000194	Prav.g_00151	Prak.g_00090
OG0000195	Prav.g_00153	Prak.g_00092
OG0000196	Prav.g_00154	Prak.g_00093
OG0000197	Prav.g_00155	Prak.g_00094
OG0000198	Prav.g_00156	Prak.g_00095
OG0000199	Prav.g_00159	Prak.g_00098
OG0000200	Prav.g_00160	Prak.g_00099
OG0000201	Prav.g_00161	Prak.g_00100
OG0000202	Prav.g_00162	Prak.g_00102
OG0000203	Prav.g_00163	Prak.g_00103
OG0000204	Prav.g_00164	Prak.g_00104
OG0000205	Prav.g_00165	Prak.g_00106
OG0000206	Prav.g_00166	Prak.g_00107
OG0000207	Prav.g_00167	Prak.g_00108
OG0000208	Prav.g_00168	Prak.g_00109
OG0000209	Prav.g_00169	Prak.g_00110
OG0000210	Prav.g_00171	Prak.g_00111
OG0000211	Prav.g_00172	Prak.g_00113
OG0000212	Prav.g_00173	Prak.g_00114
OG0000213	Prav.g_00174	Prak.g_00115
OG0000214	Prav.g_00176	Prak.g_00119
OG0000215	Prav.g_00177	Prak.g_00120
OG0000216	Prav.g_00179	Prak.g_00122
OG0000217	Prav.g_00180	Prak.g_00123
OG0000218	Prav.g_00181	Prak.g_00124
OG0000219	Prav.g_00182	Prak.g_00125
OG0000220	Prav.g_00185	Prak.g_00128
OG0000221	Prav.g_00187	Prak.g_00131
OG0000222	Prav.g_00188	Prak.g_00132
OG0000223	Prav.g_00189	Prak.g_00133
OG0000224	Prav.g_00192	Prak.g_00135
OG0000225	Prav.g_00194	Prak.g_00137
OG0000226	Prav.g_00195	Prak.g_00139
OG0000227	Prav.g_00196	Prak.g_00140
OG0000228	Prav.g_00197	Prak.g_00141
OG0000229	Prav.g_00198	Prak.g_00142
OG0000230	Prav.g_00199	Prak.g_00143
OG0000231	Prav.g_00201	Prak.g_01035
OG0000232	Prav.g_00202	Prak.g_00145
OG0000233	Prav.g_00205	Prak.g_00148
OG0000234	Prav.g_00207	Prak.g_00150
OG0000235	Prav.g_00212	Prak.g_00156
OG0000236	Prav.g_00213	Prak.g_00157
OG0000237	Prav.g_00214	Prak.g_00158
OG0000238	Prav.g_00215	Prak.g_00159
OG0000239	Prav.g_00216	Prak.g_00160
OG0000240	Prav.g_00887	Prak.g_00162
OG0000241	Prav.g_00886	Prak.g_00163
OG0000242	Prav.g_00885	Prak.g_00164
OG0000243	Prav.g_00884	Prak.g_00165
OG0000244	Prav.g_00883	Prak.g_00166
OG0000245	Prav.g_00882	Prak.g_00168
OG0000246	Prav.g_00880	Prak.g_00170
OG0000247	Prav.g_00879	Prak.g_00171
OG0000248	Prav.g_00878	Prak.g_00172
